Gene,DisGeNET_Term_categories,GeDiPNet_Term_categories,Orphanet_Term_categories
ADM,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Rare Diseases, Other Diseases",Other Diseases
BDKRB2,"Neurological Diseases, Other Diseases, Associated with Dysbiosis, Cancer",Other Diseases,No information
BIRC3,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer","Rare Diseases, Cancer, Other Diseases, Pathogenic Bacteria"
C10ORF55,No information,Associated with Dysbiosis,Other Diseases
CAMK1G,Neurological Diseases,Neurological Diseases,No information
CCDC39,Other Diseases,Cancer,No information
CCL2,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Rare Diseases, Viral Diseases, Other Diseases, Cancer","Other Diseases, Cancer"
CCL20,"Viral Diseases, Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Associated with Dysbiosis, Cancer",Other Diseases
CCL22,"Viral Diseases, Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",Other Diseases,Other Diseases
CCL4,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Rare Diseases, Other Diseases","Rare Diseases, Other Diseases, Cancer"
CCL5,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Rare Diseases, Viral Diseases, Other Diseases","Cancer, Other Diseases"
CD83,"Other Diseases, Neurological Diseases, Rare Diseases, Cancer, Associated with Dysbiosis",Other Diseases,Other Diseases
CFB,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Rare Diseases, Other Diseases, Cancer, Pathogenic Bacteria",Other Diseases
CHAC1,"Cancer, Other Diseases",No information,No information
CITED2,"Cancer, Other Diseases",Cancer,No information
CSF1,"Other Diseases, Neurological Diseases, Rare Diseases, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",Other Diseases
CSF2,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",No information
CSF3,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",No information
CX3CL1,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",Other Diseases,Other Diseases
CXCL1,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Viral Diseases, Other Diseases",Other Diseases
CXCL10,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",Other Diseases
CXCL11,"Viral Diseases, Other Diseases, Rare Diseases, Cancer, Associated with Dysbiosis",No information,No information
CXCL2,"Viral Diseases, Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",Other Diseases
CXCL3,"Other Diseases, Cancer","Other Diseases, Cancer",Other Diseases
CXCL5,"Viral Diseases, Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",No information,No information
CXCL8,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Rare Diseases, Other Diseases, Cancer","Other Diseases, Cancer"
CYP1A1,"Viral Diseases, Other Diseases, Neurological Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",No information
CYP1B1,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",Other Diseases
DKK1,"Viral Diseases, Neurological Diseases, Other Diseases, Rare Diseases, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",Rare Diseases
