Gene,Disease
ADM,"Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Leukemia, Cervix carcinoma, Liver neoplasms, Mammary Neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Brain Neoplasms, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Endometrial Neoplasms, Carcinoma of lung, Colon Carcinoma, Osteosarcoma of bone, Lip and Oral Cavity Carcinoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Secondary malignant neoplasm of bone, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Myeloid Leukemia, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, Carcinoma of bladder, Carcinoma, Solid Neoplasm, Endometrial Carcinoma, Colorectal Carcinoma, Precursor B-cell lymphoblastic leukemia, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Skin Neoplasms, Carcinoma breast stage IV, tumor vasculature, Kidney Neoplasm, Choriocarcinoma, Conventional (Clear Cell) Renal Cell Carcinoma, Invasive Carcinoma"
BDKRB2,"Neoplasm Metastasis, Stomach Carcinoma, Malignant neoplasm of stomach, Stomach Neoplasms, Adenocarcinoma of lung (disorder)"
BIRC3,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Cervix carcinoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Diffuse Large B-Cell Lymphoma, Malignant neoplasm of lung, Leukemia, Chronic Lymphocytic Leukemia, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Malignant neoplasm of stomach, Osteosarcoma of bone, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Small cell carcinoma of lung, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Renal Cell Carcinoma, Endometrial Carcinoma, Colorectal Carcinoma, Myeloid Leukemia, Colorectal Cancer, Adenocarcinoma Of Esophagus, Chronic Neutrophilic Leukemia, Metastatic Neoplasm, androgen independent prostate cancer, Marginal Zone B-Cell Lymphoma, Malignant lymphoma, T-Cell Lymphoma, Mucosa-Associated Lymphoid Tissue Lymphoma, Splenic Marginal Zone B-Cell Lymphoma, Familial primary gastric lymphoma, Gastric Mucosa-Associated Lymphoid Tissue Lymphoma, B-Cell Lymphoma, Urinary Bladder Cancer, Nasopharyngeal carcinoma ORPHA:150, T-cell large granular lymphocyte leukemia ORPHA:86872, MALT lymphoma ORPHA:52417"
CCDC39,Gastric Cancer
CCL2,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Leukemia, Cervix carcinoma, Liver neoplasms, Mammary Neoplasms, leukemia, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Diffuse Large B-Cell Lymphoma, Brain Neoplasms, Malignant neoplasm of lung, Fibroid Tumor, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Endometrial Neoplasms, Carcinoma of lung, Stomach Carcinoma, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, Osteosarcoma of bone, Lip and Oral Cavity Carcinoma, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Secondary malignant neoplasm of bone, Thyroid carcinoma, M5b Acute differentiated monocytic leukemia, Small cell carcinoma of lung, Acute lymphocytic leukemia, Acute monocytic leukemia, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, Mouth Neoplasms, Carcinoma of bladder, Experimental Organism Basal Cell Carcinoma, Renal Cell Carcinoma, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Metastatic melanoma, Neoplasms, Sarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Secondary malignant neoplasm of lung, Invasive carcinoma of breast, Carcinoma breast stage IV, Precursor Cell Lymphoblastic Leukemia Lymphoma, Secondary malignant neoplasm of liver, Neoplasm Invasiveness, Thyroid Neoplasm, gliosarcoma, Choriocarcinoma, Uveal melanoma, Anaplastic thyroid carcinoma, Stromal Neoplasm, Ovarian adenocarcinoma, Recurrent tumor, Adenocarcinoma of prostate, Invasive Ductal Breast Carcinoma, Giant Cell Tumors, Metastatic malignant neoplasm to brain, Squamous cell carcinoma of mouth, Cancer of Digestive System, Myelomonocytic leukemia, Rhabdomyosarcoma, Thyroid Carcinoma, Carcinoma, Adenocarcinoma of ovary ORPHA:213504"
CCL20,"cervical cancer, Malignant tumor of cervix, Neoplasm Metastasis, Mammary Neoplasms, Cervix carcinoma, Kaposi Sarcoma, Liver neoplasms, Pancreatic carcinoma, Malignant neoplasm of pancreas, Adult T-Cell Lymphoma/Leukemia, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Colonic Neoplasms, Carcinoma of lung, Stomach Carcinoma, Malignant neoplasm of stomach, Lymphoma, Primary malignant neoplasm of lung, Breast Carcinoma, Thyroid carcinoma, Prostate carcinoma, Malignant tumor of colon, Malignant neoplasm of prostate, Endometrial adenocarcinoma, Carcinoma, Colorectal Carcinoma, Colorectal Cancer, Urothelial Carcinoma, Primary malignant neoplasm, Malignant Neoplasms, Malignant neoplasm of thyroid, Secondary malignant neoplasm of liver, Papillary thyroid carcinoma, Adenocarcinoma of large intestine, Breast Cancer, Pancreatic Cancer, Pancreatic Neoplasm"
CCL22,"Ovarian Carcinoma, Malignant neoplasm of ovary, Lung Neoplasms, Neoplasm Metastasis, Leukemia, Mammary Neoplasms, Epithelial ovarian cancer, Adult T-Cell Lymphoma/Leukemia, Diffuse Large B-Cell Lymphoma, Malignant neoplasm of lung, Chronic Lymphocytic Leukemia, Malignant neoplasm of breast, Bladder Neoplasm, Carcinoma of lung, Stomach Carcinoma, Stomach Neoplasms, Primary malignant neoplasm of lung, Breast Carcinoma, Secondary malignant neoplasm of bone, Malignant neoplasm of urinary bladder, Carcinoma of bladder, Classical Hodgkin's Lymphoma, Lymphoma, Secondary malignant neoplasm of lymph node, Skin Neoplasms, Squamous cell carcinoma of the head and neck, Uveal melanoma, Undifferentiated carcinoma, Malignant neoplasm of tongue"
CCL4,"Lymphoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Lung Neoplasms, Liver neoplasms, Mammary Neoplasms, leukemia, Malignant neoplasm of mouth, Malignant neoplasm of lung, Leukemia, Chronic Lymphocytic Leukemia, Malignant neoplasm of breast, Liver carcinoma, Carcinoma of lung, Lip and Oral Cavity Carcinoma, Primary malignant neoplasm of lung, Breast Carcinoma, Hairy Cell Leukemia, Neoplasm, Nasopharyngeal carcinoma ORPHA:150"
CCL5,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Tumor Angiogenesis, Lung Neoplasms, Neoplasm Metastasis, Leukemia, Kaposi Sarcoma, Liver neoplasms, Mammary Neoplasms, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Diffuse Large B-Cell Lymphoma, Brain Neoplasms, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Carcinoma of lung, Stomach Carcinoma, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, Osteosarcoma of bone, Lip and Oral Cavity Carcinoma, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Acute Promyelocytic Leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, Prostatic Neoplasms, Squamous cell carcinoma, Malignant neoplasm of prostate, Experimental Organism Basal Cell Carcinoma, Tumor Immunity, Malignant neoplasm of liver, Solid Neoplasm, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Neoplasms, Chondrosarcoma, Colorectal Cancer, Secondary malignant neoplasm of lung, Primary malignant neoplasm, Malignant Neoplasms, Secondary malignant neoplasm of liver, Neoplasm Invasiveness, Metastatic Neoplasm, Disseminated Malignant Neoplasm, Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma, Carcinomatosis, Squamous cell carcinoma of esophagus, Melanoma, Malignant lymphoma, Childhood Osteosarcoma, Adenocarcinoma of prostate, Rhabdomyosarcoma, Nasopharyngeal carcinoma ORPHA:150, MALT lymphoma ORPHA:52417"
CD83,"Non-Small Cell Lung Carcinoma, cervical cancer, Malignant neoplasm of ovary, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Leukemia, Cervix carcinoma, Malignant neoplasm of pancreas, Diffuse Large B-Cell Lymphoma, Chronic Lymphocytic Leukemia, Malignant neoplasm of breast, Malignant neoplasm of vulva, Osteosarcoma of bone, melanoma, Breast Carcinoma, Secondary malignant neoplasm of bone, Acute lymphocytic leukemia, Prostate carcinoma, Adenocarcinoma, Squamous cell carcinoma, Hematologic Neoplasms, Malignant neoplasm of liver, CARCINOMA OF VULVA, Infiltrating Cervical Carcinoma, Metastatic Neoplasm, Malignant lymphoma"
