Gene,Disease
ADM,"Obesity, Diabetes Mellitus, Diabetes"
BDKRB2,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes"
BIRC3,"Infection caused by Helicobacter pylori, Obesity"
C10ORF55,Inflammatory Bowel Disease
CCL2,"Infection caused by Helicobacter pylori, Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Celiac Disease, Gestational Diabetes, Non-alcoholic Fatty Liver Disease"
CCL20,"Infection caused by Helicobacter pylori, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Streptozotocin Diabetes, Alloxan Diabetes, Irritable Bowel Syndrome, Inflammatory Bowel Disease"
CCL22,"Infection caused by Helicobacter pylori, Obesity"
CCL4,"Obesity, Diabetes Mellitus"
CCL5,"Infection caused by Helicobacter pylori, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes"
CD83,Obesity
CFB,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes"
CSF1,Obesity
CSF2,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Non-alcoholic Fatty Liver Disease"
CSF3,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes"
CX3CL1,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Streptozotocin Diabetes, Alloxan Diabetes"
CXCL1,"Infection caused by Helicobacter pylori, Necrotizing enterocolitis in fetus OR newborn"
CXCL10,"Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes"
CXCL11,Inflammatory Bowel Diseases
CXCL2,Obesity
CXCL5,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes"
CXCL8,"Infection caused by Helicobacter pylori, Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Celiac Disease, Necrotizing enterocolitis in fetus OR newborn, Irritable Bowel Syndrome, psychosocial stressor, Anxiety Disorders, Anxiety, Central Diabetes Insipidus"
