Gene,Disease,Log2FoldChange,FoldChange,Regulation
CCL4,"Obesity, Diabetes Mellitus",5.23607385633261,37.6890586452678,UpRegulated
CSF2,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Non-alcoholic Fatty Liver Disease",5.02517728476931,32.5633514305733,UpRegulated
CSF3,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes",4.95007750589376,30.9116231458627,UpRegulated
CXCL8,"Infection caused by Helicobacter pylori, Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Celiac Disease, Necrotizing enterocolitis in fetus OR newborn, Irritable Bowel Syndrome, psychosocial stressor, Anxiety Disorders, Anxiety, Central Diabetes Insipidus",4.64622612263692,25.041101556812,UpRegulated
CXCL10,"Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes",4.34026401095065,20.2558119464878,UpRegulated
CCL5,"Infection caused by Helicobacter pylori, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes",4.16399225097242,17.9261311417147,UpRegulated
TNF,"Infection caused by Helicobacter pylori, Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Streptozotocin Diabetes, Alloxan Diabetes, Stress, Celiac Disease, Post-Traumatic Stress Disorder, Necrotizing enterocolitis in fetus OR newborn, Irritable Bowel Syndrome, Necrotizing Enterocolitis, Gestational Diabetes, Non-alcoholic Fatty Liver Disease, Anxiety neurosis (finding), Anxiety state, Anxiety Disorders, Anxiety, Prediabetes syndrome, Central Diabetes Insipidus, Inflammatory Bowel Disease",3.88465045591814,14.7705378510313,UpRegulated
PLAU,"Inflammatory Bowel Diseases, Diabetes Mellitus, Inflammatory Bowel Disease",3.36540331374543,10.3059337168001,UpRegulated
LTB,Inflammatory Bowel Diseases,3.07253224726102,8.41248628256885,UpRegulated
CX3CL1,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Streptozotocin Diabetes, Alloxan Diabetes",3.03074080887836,8.17229231543399,UpRegulated
CXCL2,Obesity,3.01027327604049,8.05717044930861,UpRegulated
