Gene,Category
ADM,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
BDKRB2,"Associated with Dysbiosis, Cancer, Neurological Diseases"
BIRC3,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CCL2,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CCL20,"Associated with Dysbiosis, Cancer, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CCL22,"Associated with Dysbiosis, Cancer, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CCL4,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CCL5,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CD83,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases"
CFB,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CSF1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases"
CSF2,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CSF3,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CX3CL1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CXCL1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CXCL10,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CXCL11,"Associated with Dysbiosis, Cancer, Rare Diseases, Viral Diseases"
CXCL2,"Associated with Dysbiosis, Cancer, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CXCL5,"Associated with Dysbiosis, Cancer, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CXCL8,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases"
CYP1A1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Viral Diseases"
CYP1B1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases, Viral Diseases"
DKK1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases, Viral Diseases"
DNAJB1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Viral Diseases"
DNAJB4,"Cancer, Viral Diseases"
DUSP2,"Associated with Dysbiosis, Cancer, Neurological Diseases"
ETS1,"Associated with Dysbiosis, Cancer, Pathogenic Bacteria, Rare Diseases"
