Gene,Category,Log2FoldChange,FoldChange,Regulation
CCL4,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",5.23607385633261,37.6890586452678,UpRegulated
CSF2,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",5.02517728476931,32.5633514305733,UpRegulated
CSF3,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",4.95007750589376,30.9116231458627,UpRegulated
CXCL8,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",4.64622612263692,25.041101556812,UpRegulated
CXCL10,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",4.34026401095065,20.2558119464878,UpRegulated
CCL5,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",4.16399225097242,17.9261311417147,UpRegulated
TNF,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",3.88465045591814,14.7705378510313,UpRegulated
PLAU,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",3.36540331374543,10.3059337168001,UpRegulated
LTB,"Associated with Dysbiosis, Cancer, Pathogenic Bacteria, Rare Diseases, Viral Diseases",3.07253224726102,8.41248628256885,UpRegulated
CX3CL1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",3.03074080887836,8.17229231543399,UpRegulated
CXCL2,"Associated with Dysbiosis, Cancer, Pathogenic Bacteria, Rare Diseases, Viral Diseases",3.01027327604049,8.05717044930861,UpRegulated
TNFSF14,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases, Viral Diseases",2.95100104834556,7.73285439565647,UpRegulated
CXCL5,"Associated with Dysbiosis, Cancer, Pathogenic Bacteria, Rare Diseases, Viral Diseases",2.91962297098245,7.56648351631896,UpRegulated
CSF1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases",2.82996705515294,7.11057907294105,UpRegulated
CXCL11,"Associated with Dysbiosis, Cancer, Rare Diseases, Viral Diseases",2.82128417103167,7.06791245807213,UpRegulated
CXCL1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",2.80678584844439,6.99723938210739,UpRegulated
CYP1B1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases, Viral Diseases",2.60648585086941,6.09018414597829,UpRegulated
CCL2,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",2.54628042579618,5.84126333572391,UpRegulated
BIRC3,"Associated with Dysbiosis, Cancer, Neurological Diseases, Pathogenic Bacteria, Rare Diseases, Viral Diseases",2.51056629770384,5.69843713762084,UpRegulated
