Gene,Disease,Log2FoldChange,FoldChange,Regulation
CCL4,Epilepsy,5.23607385633261,37.6890586452678,UpRegulated
CSF2,"Alzheimer's Disease, Familial Alzheimer Disease (FAD), Parkinson Disease, Alzheimer Disease, Amyotrophic Lateral Sclerosis, Bipolar Disorder, Schizophrenia, PARKINSON DISEASE 2, Autism Spectrum Disorders",5.02517728476931,32.5633514305733,UpRegulated
CSF3,"Alzheimer's Disease, Amyotrophic Lateral Sclerosis",4.95007750589376,30.9116231458627,UpRegulated
CXCL8,"Alzheimer's Disease, Parkinson Disease, Bipolar Disorder, Schizophrenia",4.64622612263692,25.041101556812,UpRegulated
CXCL10,Amyotrophic Lateral Sclerosis,4.34026401095065,20.2558119464878,UpRegulated
CCL5,"Alzheimer's Disease, Parkinson Disease",4.16399225097242,17.9261311417147,UpRegulated
TNF,"Alzheimer's Disease, Familial Alzheimer Disease (FAD), Parkinson Disease, Alzheimer Disease, Paranoid Schizophrenia, Amyotrophic Lateral Sclerosis, Epilepsy, AMYOTROPHIC LATERAL SCLEROSIS 1, Bipolar Disorder, Schizophrenia, Autism Spectrum Disorders",3.88465045591814,14.7705378510313,UpRegulated
PLAU,"Alzheimer's Disease, Familial Alzheimer Disease (FAD), Alzheimer Disease",3.36540331374543,10.3059337168001,UpRegulated
CX3CL1,"Alzheimer's Disease, Parkinson Disease, PARKINSON DISEASE 2",3.03074080887836,8.17229231543399,UpRegulated
TNFSF14,Amyotrophic Lateral Sclerosis,2.95100104834556,7.73285439565647,UpRegulated
CSF1,Alzheimer's Disease,2.82996705515294,7.11057907294105,UpRegulated
CXCL1,Alzheimer's Disease,2.80678584844439,6.99723938210739,UpRegulated
CYP1B1,Autism Spectrum Disorders,2.60648585086941,6.09018414597829,UpRegulated
CCL2,"Alzheimer's Disease, Familial Alzheimer Disease (FAD), Parkinson Disease, Paranoid Schizophrenia, Amyotrophic Lateral Sclerosis, Bipolar Disorder, Schizophrenia, Autism Spectrum Disorders",2.54628042579618,5.84126333572391,UpRegulated
BIRC3,Alzheimer's Disease,2.51056629770384,5.69843713762084,UpRegulated
NANOS3,"Alzheimer's Disease, Bipolar Disorder",2.27422901178562,4.83739052431291,UpRegulated
RGS2,"Alzheimer's Disease, Parkinson Disease, Schizophrenia",-2.11944264440574,4.3452604236889,DownRegulated
RCAN1,Alzheimer's Disease,2.10011035709735,4.2874217984055,UpRegulated
NPTX1,"Alzheimer's Disease, Bipolar Disorder, Schizophrenia",1.84389069062221,3.58976820464901,UpRegulated
FOS,"Alzheimer's Disease, Familial Alzheimer Disease (FAD), AMYOTROPHIC LATERAL SCLEROSIS 1, Amyotrophic Lateral Sclerosis",-1.84272770160375,3.58687557757967,DownRegulated
STAT5A,Amyotrophic Lateral Sclerosis,1.82304952145319,3.53828319313219,UpRegulated
THBS1,"Parkinson Disease, Schizophrenia",1.7764927668638,3.42592309653274,UpRegulated
IL1B,"Alzheimer's Disease, Familial Alzheimer Disease (FAD), Parkinson Disease, Alzheimer Disease, Amyotrophic Lateral Sclerosis, Epilepsy, Chronic Infantile Neurological, Bipolar Disorder, Schizophrenia, PARKINSON DISEASE 2, Autism Spectrum Disorders",1.74670715733247,3.35591728489506,UpRegulated
