Gene,Disease,Log2FoldChange,FoldChange,Regulation
CCL4,"Anti-Basement Membrane Glomerulonephritis, Glomerulonephritis, Acquired Immunodeficiency Syndrome, Charcot-Marie-Tooth disease type 1D ORPHA:101084, Charcot-Marie-Tooth disease type 4E ORPHA:99951, Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813",5.23607385633261,37.6890586452678,UpRegulated
CSF2,"Autoimmune Diseases, Acquired Immunodeficiency Syndrome, Familial lichen amyloidosis, VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding), Amyloidosis, Severe Combined Immunodeficiency, Asymptomatic human immunodeficiency virus infection",5.02517728476931,32.5633514305733,UpRegulated
CSF3,"Autoimmune Diseases, Acquired Immunodeficiency Syndrome, Severe Combined Immunodeficiency, Asymptomatic human immunodeficiency virus infection",4.95007750589376,30.9116231458627,UpRegulated
CXCL8,"Autoimmune Diseases, Glomerulonephritis, IGA Glomerulonephritis, VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding), Amyloidosis, Nephrotic Syndrome, Steroid-sensitive nephrotic syndrome, Glycogen Storage Disease, Charcot-Marie-Tooth disease type 1D ORPHA:101084, Charcot-Marie-Tooth disease type 4E ORPHA:99951",4.64622612263692,25.041101556812,UpRegulated
CXCL10,"Autoimmune Diseases, Glomerulonephritis, Acquired Immunodeficiency Syndrome, Autoimmune, Autoimmune thyroiditis, Autoimmune thyroid disease, Asymptomatic human immunodeficiency virus infection, Polyglandular Type I Autoimmune Syndrome, Membranous glomerulonephritis, Charcot-Marie-Tooth disease type 1D ORPHA:101084, Charcot-Marie-Tooth disease type 4E ORPHA:99951",4.34026401095065,20.2558119464878,UpRegulated
CCL5,"Autoimmune Diseases, Anti-Basement Membrane Glomerulonephritis, Glomerulonephritis, Acquired Immunodeficiency Syndrome, Autoimmune, IGA Glomerulonephritis",4.16399225097242,17.9261311417147,UpRegulated
TNF,"Autoimmune Diseases, Anti-Basement Membrane Glomerulonephritis, Glomerulonephritis, Acquired Immunodeficiency Syndrome, Idiopathic crescentic glomerulonephritis, Autoimmune, Autoimmune thyroiditis, IGA Glomerulonephritis, Familial lichen amyloidosis, VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding), Amyloidosis, Severe Combined Immunodeficiency, Autoimmune thyroid disease, Idiopathic Nephrotic Syndrome, AA amyloidosis, Nephrotic Syndrome, Polyglandular Type I Autoimmune Syndrome, Membranous glomerulonephritis, Steroid-sensitive nephrotic syndrome, Autoimmune arthritis, Autoimmune liver disease, Chronic glomerulonephritis, Autoimmune thrombocytopenia, Charcot-Marie-Tooth disease type 1D ORPHA:101084, Charcot-Marie-Tooth disease type 4E ORPHA:99951, Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813",3.88465045591814,14.7705378510313,UpRegulated
PLAU,"IGA Glomerulonephritis, Amyloidosis, Severe Combined Immunodeficiency, Glomerulonephritis",3.36540331374543,10.3059337168001,UpRegulated
LTB,"Autoimmune Diseases, Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813, Immunodeficiency by defective expression of MHC class I ORPHA:34592",3.07253224726102,8.41248628256885,UpRegulated
CX3CL1,"Anti-Basement Membrane Glomerulonephritis, Glomerulonephritis",3.03074080887836,8.17229231543399,UpRegulated
