Gene,Disease,Category
ADM,Autoimmune Diseases,Rare Diseases
ADM,Ovarian Carcinoma,Cancer
ADM,cervical cancer,Cancer
ADM,Malignant neoplasm of ovary,Cancer
ADM,Tumor Angiogenesis,Cancer
ADM,Malignant tumor of cervix,Cancer
ADM,Lung Neoplasms,Cancer
ADM,Neoplasm Metastasis,Cancer
ADM,Leukemia,Cancer
ADM,Glomerulonephritis,Rare Diseases
ADM,Cervix carcinoma,Cancer
ADM,Liver neoplasms,Cancer
ADM,Mammary Neoplasms,Cancer
ADM,leukemia,Cancer
ADM,Pancreatic carcinoma,Cancer
ADM,Alzheimer's Disease,Neurological Diseases
ADM,Adenocarcinoma of pancreas,Cancer
ADM,Epithelial ovarian cancer,Cancer
ADM,Malignant neoplasm of pancreas,Cancer
ADM,Malignant neoplasm of mouth,Cancer
ADM,Brain Neoplasms,Cancer
ADM,Malignant neoplasm of lung,Cancer
ADM,Tumor Progression,Cancer
ADM,Malignant neoplasm of breast,Cancer
ADM,Bladder Neoplasm,Cancer
ADM,Liver carcinoma,Cancer
ADM,Colonic Neoplasms,Cancer
ADM,Endometrial Neoplasms,Cancer
ADM,Carcinoma of lung,Cancer
ADM,Colon Carcinoma,Cancer
ADM,Osteosarcoma of bone,Cancer
ADM,Lip and Oral Cavity Carcinoma,Cancer
ADM,Primary malignant neoplasm of lung,Cancer
ADM,Breast Carcinoma,Cancer
ADM,Osteosarcoma,Cancer
ADM,Secondary malignant neoplasm of bone,Cancer
ADM,Colorectal Neoplasms,Cancer
ADM,Prostate carcinoma,Cancer
ADM,Adenocarcinoma,Cancer
ADM,Malignant tumor of colon,Cancer
ADM,ovarian neoplasm,Cancer
ADM,Myeloid Leukemia,Cancer
ADM,Prostatic Neoplasms,Cancer
ADM,Malignant neoplasm of endometrium,Cancer
ADM,Uterine Corpus Cancer,Cancer
ADM,Squamous cell carcinoma,Cancer
ADM,Malignant neoplasm of prostate,Cancer
ADM,Malignant neoplasm of urinary bladder,Cancer
ADM,Pancreatic Neoplasm,Cancer
ADM,Carcinoma of bladder,Cancer
ADM,IGA Glomerulonephritis,Rare Diseases
ADM,Carcinoma,Cancer
ADM,Solid Neoplasm,Cancer
ADM,Endometrial Carcinoma,Cancer
ADM,Colorectal Carcinoma,Cancer
ADM,Precursor B-cell lymphoblastic leukemia,Cancer
ADM,Secondary malignant neoplasm of lymph node,Cancer
ADM,Colorectal Cancer,Cancer
ADM,Skin Neoplasms,Cancer
ADM,Carcinoma breast stage IV,Cancer
ADM,tumor vasculature,Cancer
ADM,Kidney Neoplasm,Cancer
ADM,Choriocarcinoma,Cancer
ADM,Bipolar Disorder,Neurological Diseases
ADM,Schizophrenia,Neurological Diseases
ADM,Conventional (Clear Cell) Renal Cell Carcinoma,Cancer
ADM,Invasive Carcinoma,Cancer
ADM,Glomerulonephritis,Rare Diseases
BIRC3,Lymphoma,Cancer
BIRC3,Non-Small Cell Lung Carcinoma,Cancer
BIRC3,Autoimmune Diseases,Rare Diseases
BIRC3,Ovarian Carcinoma,Cancer
BIRC3,cervical cancer,Cancer
BIRC3,Malignant neoplasm of ovary,Cancer
BIRC3,Malignant tumor of cervix,Cancer
BIRC3,Lung Neoplasms,Cancer
BIRC3,Neoplasm Metastasis,Cancer
BIRC3,Cervix carcinoma,Cancer
BIRC3,Liver neoplasms,Cancer
BIRC3,leukemia,Cancer
BIRC3,Pancreatic carcinoma,Cancer
BIRC3,Alzheimer's Disease,Neurological Diseases
BIRC3,Epithelial ovarian cancer,Cancer
BIRC3,Malignant neoplasm of pancreas,Cancer
BIRC3,Diffuse Large B-Cell Lymphoma,Cancer
BIRC3,Malignant neoplasm of lung,Cancer
BIRC3,Leukemia,Cancer
BIRC3,Chronic Lymphocytic Leukemia,Cancer
BIRC3,Malignant neoplasm of breast,Cancer
BIRC3,Bladder Neoplasm,Cancer
BIRC3,Liver carcinoma,Cancer
BIRC3,Colonic Neoplasms,Cancer
BIRC3,Nasopharyngeal carcinoma,Cancer
BIRC3,Carcinoma of lung,Cancer
BIRC3,Stomach Carcinoma,Cancer
BIRC3,B-Cell Lymphomas,Cancer
BIRC3,Colon Carcinoma,Cancer
BIRC3,Malignant neoplasm of stomach,Cancer
BIRC3,Osteosarcoma of bone,Cancer
BIRC3,melanoma,Cancer
BIRC3,Primary malignant neoplasm of lung,Cancer
BIRC3,Breast Carcinoma,Cancer
BIRC3,Osteosarcoma,Cancer
BIRC3,Small cell carcinoma of lung,Cancer
BIRC3,Prostate carcinoma,Cancer
BIRC3,Adenocarcinoma,Cancer
BIRC3,Malignant tumor of colon,Cancer
BIRC3,Prostatic Neoplasms,Cancer
BIRC3,Malignant neoplasm of endometrium,Cancer
BIRC3,Uterine Corpus Cancer,Cancer
BIRC3,Squamous cell carcinoma,Cancer
BIRC3,Malignant neoplasm of prostate,Cancer
BIRC3,Malignant neoplasm of urinary bladder,Cancer
BIRC3,Renal Cell Carcinoma,Cancer
BIRC3,Endometrial Carcinoma,Cancer
BIRC3,Colorectal Carcinoma,Cancer
BIRC3,Myeloid Leukemia,Cancer
BIRC3,Colorectal Cancer,Cancer
BIRC3,Adenocarcinoma Of Esophagus,Cancer
BIRC3,Chronic Neutrophilic Leukemia,Cancer
BIRC3,Metastatic Neoplasm,Cancer
BIRC3,androgen independent prostate cancer,Cancer
BIRC3,Marginal Zone B-Cell Lymphoma,Cancer
BIRC3,Malignant lymphoma,Cancer
BIRC3,T-Cell Lymphoma,Cancer
BIRC3,Mucosa-Associated Lymphoid Tissue Lymphoma,Cancer
BIRC3,Splenic Marginal Zone B-Cell Lymphoma,Cancer
BIRC3,Familial primary gastric lymphoma,Cancer
BIRC3,Gastric Mucosa-Associated Lymphoid Tissue Lymphoma,Cancer
BIRC3,B-Cell Lymphoma,Cancer
