Gene,Disease,Category
ADM,Autoimmune Diseases,Rare Diseases
ADM,Glomerulonephritis,Rare Diseases
ADM,Alzheimer's Disease,Neurological Diseases
ADM,IGA Glomerulonephritis,Rare Diseases
ADM,Bipolar Disorder,Neurological Diseases
ADM,Schizophrenia,Neurological Diseases
ADM,Glomerulonephritis,Rare Diseases
BIRC3,Autoimmune Diseases,Rare Diseases
BIRC3,Alzheimer's Disease,Neurological Diseases
BIRC3,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
BIRC3,Immunodeficiency by defective expression of MHC class I ORPHA:34592,Rare Diseases
CCL2,Autoimmune Diseases,Rare Diseases
CCL2,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CCL2,Glomerulonephritis,Rare Diseases
CCL2,Alzheimer's Disease,Neurological Diseases
CCL2,Acquired Immunodeficiency Syndrome,Rare Diseases
CCL2,Familial Alzheimer Disease (FAD),Neurological Diseases
CCL2,Idiopathic crescentic glomerulonephritis,Rare Diseases
CCL2,Autoimmune,Rare Diseases
CCL2,Parkinson Disease,Neurological Diseases
CCL2,Autoimmune thyroiditis,Rare Diseases
CCL2,IGA Glomerulonephritis,Rare Diseases
CCL2,Familial lichen amyloidosis,Rare Diseases
CCL2,Amyloidosis,Rare Diseases
CCL2,Paranoid Schizophrenia,Neurological Diseases
CCL2,Amyotrophic Lateral Sclerosis,Neurological Diseases
CCL2,Nephrotic Syndrome,Rare Diseases
CCL2,Bipolar Disorder,Neurological Diseases
CCL2,Glomerulonephritis,Rare Diseases
CCL2,Schizophrenia,Neurological Diseases
CCL2,Membranous glomerulonephritis,Rare Diseases
CCL2,Chronic glomerulonephritis,Rare Diseases
CCL2,Autism Spectrum Disorders,Neurological Diseases
CCL2,Glomerulonephritis,Rare Diseases
CCL20,Familial lichen amyloidosis,Rare Diseases
CCL20,Autoimmune,Rare Diseases
CCL22,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CCL22,Glomerulonephritis,Rare Diseases
CCL22,Idiopathic crescentic glomerulonephritis,Rare Diseases
CCL22,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
CCL22,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
CCL4,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CCL4,Glomerulonephritis,Rare Diseases
CCL4,Acquired Immunodeficiency Syndrome,Rare Diseases
CCL4,Epilepsy,Neurological Diseases
CCL4,Glomerulonephritis,Rare Diseases
CCL4,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
CCL4,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
CCL4,Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813,Rare Diseases
