Gene,Disease,Log2FoldChange,FoldChange,Regulation
CCL4,"Hepatitis C, HIV Infections, Hepatitis, Influenza, Hepatitis B, Alcoholic Steatohepatitis, Ebola, Steatohepatitis, Hepatitis A, hiv-infection/aids",5.23607385633261,37.6890586452678,UpRegulated
CSF2,"HIV Infections, Hepatitis C, Influenza, Hepatitis B, Nonalcoholic Steatohepatitis, Viral meningitis, West Nile viral infection, Dengue Fever, HIV Encephalopathy, HIV encephalitis, Adenoviral infections",5.02517728476931,32.5633514305733,UpRegulated
CSF3,"HIV Infections, Influenza, Hepatitis",4.95007750589376,30.9116231458627,UpRegulated
CXCL8,"Hepatitis C, HIV Infections, Hepatitis, Influenza, Hepatitis B, Nonalcoholic Steatohepatitis, Chronic Alcoholic Hepatitis, Severe Dengue, Viral meningitis, Dengue Fever, Viral, Steatohepatitis, Hepatitis A, HIV-Associated Lipodystrophy Syndrome, Chronic active hepatitis C, Parainfluenza",4.64622612263692,25.041101556812,UpRegulated
CXCL10,"Hepatitis C, HIV Infections, Influenza, Hepatitis B, Nonalcoholic Steatohepatitis, Hepatitis, Dengue Fever, Alcoholic Steatohepatitis, Steatohepatitis, Hepatitis A, Fulminant hepatitis",4.34026401095065,20.2558119464878,UpRegulated
CCL5,"Hepatitis C, HIV Infections, Hepatitis, Influenza, Hepatitis B, Viral respiratory infection, Chronic Alcoholic Hepatitis, West Nile viral infection, Dengue Fever, Ebola, hiv-infection/aids, Autoimmune Hepatitis",4.16399225097242,17.9261311417147,UpRegulated
TNF,"Hepatitis C, HIV Infections, Hepatitis, Influenza, Hepatitis B, Nonalcoholic Steatohepatitis, Viral respiratory infection, Chronic Alcoholic Hepatitis, HIV Wasting Syndrome, Severe Dengue, West Nile viral infection, Dengue Fever, Alcoholic Steatohepatitis, Ebola, Viral myocarditis, HIV Encephalopathy, HIV encephalitis, Steatohepatitis, Hepatitis A, HIV-Associated Lipodystrophy Syndrome, Adenoviral infections, Primary HIV infection, hiv-infection/aids, Viral, HIV-1 infection, Fulminant hepatitis",3.88465045591814,14.7705378510313,UpRegulated
PLAU,"Hepatitis C, Hepatitis B",3.36540331374543,10.3059337168001,UpRegulated
LTB,"Hepatitis B, HIV-1 infection",3.07253224726102,8.41248628256885,UpRegulated
CX3CL1,"Hepatitis C, HIV Infections, Hepatitis",3.03074080887836,8.17229231543399,UpRegulated
CXCL2,"Influenza, Hepatitis, Viral, Hepatitis A",3.01027327604049,8.05717044930861,UpRegulated
TNFSF14,Hepatitis,2.95100104834556,7.73285439565647,UpRegulated
CXCL5,Nonalcoholic Steatohepatitis,2.91962297098245,7.56648351631896,UpRegulated
CXCL11,"Hepatitis C, HIV Infections",2.82128417103167,7.06791245807213,UpRegulated
CXCL1,"Hepatitis C, Hepatitis, Viral, Autoimmune Hepatitis",2.80678584844439,6.99723938210739,UpRegulated
CYP1B1,Steatohepatitis,2.60648585086941,6.09018414597829,UpRegulated
