Id,Type
Sleep Apnea Obstructive,Disease
Human rhinovirus B83 1D,Pathogen
Invasive Ductal Breast Carcinoma,Disease
Galactosialidosis ORPHA:351,Disease
keratoacanthoma,Disease
Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency ORPHA:276598,Disease
Congenital contractural arachnodactyly,Disease
Mitral Valve Stenosis,Disease
Echovirus E29 2C,Pathogen
Hemoptysis,Disease
Psychosis Involutional,Disease
Microphthalmia with brain and digit anomalies ORPHA:139471,Disease
Human rhinovirus A36 1D (VP1),Pathogen
Vaccinia virus EEV membrane glycoprotein (gene: B5R),Pathogen
Human rhinovirus A30 1B,Pathogen
Classical Hodgkin Lymphoma,Disease
Skin Abnormalities,Disease
Human rhinovirus A54 1C,Pathogen
Entamoeba histolytica Infection,Disease
Dengue Fever,Disease
Transient Ischemic Attack Vertebrobasilar Circulation,Disease
Mycoplasma-Induced Stevens-Johnson Syndrome,Disease
Crohn`s Disease Of The Ileum,Disease
Echovirus E4 VP3,Pathogen
Spondyloepimetaphyseal dysplasia matrilin-3 type ORPHA:156728,Disease
Angelman Syndrome,Disease
Streptozotocin Diabetes,Disease
Pterygium,Disease
Endometrial adenocarcinoma,Disease
Adenofibroma,Disease
Adenomatous Polyps,Disease
Coxsackievirus A4 full_polyprotein 1..2201,Pathogen
Embryonal Carcinoma,Disease
Pharyngitis,Disease
Nasal Polyps,Disease
Adult type dermatomyositis,Disease
Pain Postoperative,Disease
Adult Acute Lymphocytic Leukemia,Disease
High Grade Cervical Intraepithelial Neoplasia,Disease
Mild hemophilia B ORPHA:169799,Disease
Arthropathy,Disease
Hydronephrosis,Disease
Advanced bone age,Disease
Febrile Convulsions,Disease
Nodular Sclerosis Classical Hodgkin Lymphoma,Disease
Variola virus hypothetical protein (gene: G4R),Pathogen
Mitochondrial myopathy with reversible cytochrome C oxidase deficiency ORPHA:254864,Disease
X-Linked Lymphoproliferative Disorder,Disease
Coronary heart disease,Disease
Intellectual Disability,Disease
Sudden infant death syndrome,Disease
Retinitis Pigmentosa,Disease
Human rhinovirus A40 1B,Pathogen
Bullous keratopathy,Disease
Breast Fibrocystic Disease,Disease
Scoliosis,Disease
Bronchioloalveolar Adenocarcinoma,Disease
Human rhinovirus A95 1C,Pathogen
Hyperlipidemia,Disease
Anaplastic Large Cell Lymphoma ALK-Positive,Disease
Phocomelia Schinzel type ORPHA:2879,Disease
Human rhinovirus A94 1C,Pathogen
Japanese encephalitis virus hypothetical protein,Pathogen
MIR3189,Gene
Thrombotic Infarction Middle Cerebral Artery,Disease
Horsepox virus HSPV003 (Tumor necrosis factor receptor superfamily members),Pathogen
Infiltrating Duct Carcinoma Of Female Breast,Disease
Carcinoma of larynx,Disease
Epidermodysplasia verruciformis ORPHA:302,Disease
Norovirus Hu/Norwalk/10313/2010/VNM capsid protein VP1 (gene: VP1),Pathogen
Senile Dementia,Disease
Mycoses,Disease
Rotavirus Infections,Disease
Atypical Gaucher disease due to saposin C deficiency ORPHA:309252,Disease
Palmar-plantar erythrodysesthesia syndrome,Disease
Malignant neoplasm of brain,Disease
Variola virus hypothetical protein (gene: J9R),Pathogen
Zika virus capsid protein C (gene: flavivirus polyprotein),Pathogen
Burning Mouth Syndrome,Disease
Human alphaherpesvirus 1 tegument protein VP22 (gene: UL49),Pathogen
Gastrointestinal Diseases,Disease
Alveolitis,Disease
Group B Streptococcal Infection,Disease
polyps,Disease
Complement deficiency disease,Disease
Diabetic macular edema,Disease
Increased tendency to bruise,Disease
Clostridium,Disease
Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency ORPHA:70592,Disease
Acne,Disease
Total Hypotrichosis Mari type,Disease
Guillain-Barre Syndrome,Disease
Chronic beryllium disease ORPHA:133,Disease
Pigmented villonodular synovitis,Disease
Anterior synechiae,Disease
Vaccinia virus Ankara 65.4k Ankyrin repeat protein,Pathogen
Human rhinovirus A15 1B (VP2),Pathogen
Human rhinovirus A67 1C,Pathogen
Tooth Loss,Disease
Hyperparathyroidism Secondary,Disease
Drug-Induced Acute Liver Injury,Disease
Ovarian Cysts,Disease
Cystadenoma Mucinous,Disease
Xerostomia,Disease
Disorder characterized by fever,Disease
Fibrosarcoma,Disease
Atherosclerosis of aorta,Disease
SVEINSSON CHORIORETINAL ATROPHY,Disease
Histidinemia ORPHA:2157,Disease
Carcinoma of bladder,Disease
Narcolepsy type 1 ORPHA:2073,Disease
West Nile virus lineage 1 excised_polyprotein 1..787 (gene: flavivirus polyprotein),Pathogen
Creutzfeldt-Jakob Disease Sporadic,Disease
Small head,Disease
Recurrent seizures,Disease
Cowpox virus vCCI or CPXV003 protein (gene: vCCI),Pathogen
Microlissencephaly,Disease
Primary malignant neoplasm,Disease
Glaucoma Congenital,Disease
DOSAGE-SENSITIVE SEX REVERSAL,Disease
Cortical Dysplasia,Disease
Ovarian Insufficiency,Disease
Atypical hemolytic uremic syndrome with complement gene abnormality ORPHA:544472,Disease
Melanoma,Disease
Cowpox,Disease
West Nile virus lineage 2 excised_polyprotein 1..2273 (gene: flavivirus polyprotein),Pathogen
Carotid Circulation Transient Ischemic Attack,Disease
AMYOTROPHIC LATERAL SCLEROSIS 1,Disease
Miscarriage,Disease
Hyperaldosteronism,Disease
Skin Erosion,Disease
AA amyloidosis ORPHA:85445,Disease
Human herpesvirus 4 type 2 BARF1,Pathogen
Actinic keratosis,Disease
Fatigable weakness of swallowing muscles,Disease
Attention Deficit Hyperactivity Disorder,Disease
Petit Mal Status,Disease
B4GALT1-CDG ORPHA:79332,Disease
Neuroepithelioma,Disease
Human rhinovirus B70 1D (VP1),Pathogen
Pneumonitis,Disease
Exanthema,Disease
SIMPSON-GOLABI-BEHMEL SYNDROME TYPE 1,Disease
Vaccinia virus putative ATPase (gene: A32L),Pathogen
Tumor necrosis factor receptor associated periodic syndrome [TRAPS],Disease
Hematopoietic Neoplasms,Disease
Japanese Encephalitis,Disease
Congenital myopathy with internal nuclei and atypical cores ORPHA:319160,Disease
Cancer of Neck,Disease
Hyperglycemia,Disease
Human rhinovirus A22 2C,Pathogen
Infectious Mononucleosis,Disease
Follicular adenoma,Disease
Asthma,Disease
Soft Tissue Neoplasms,Disease
High grade B-cell lymphoma with MYC and/ or BCL2 and/or BCL6 rearrangement ORPHA:480541,Disease
Embryo Disintegration,Disease
Roussy-Levy syndrome ORPHA:3115,Disease
Vaccinia virus Ankara CD47-like protein,Pathogen
Injury wounds,Disease
Human cosavirus D VP2,Pathogen
Lymphatic Metastasis,Disease
Squamous cell carcinoma of skin,Disease
airway disease,Disease
Acute inflammatory demyelinating polyneuropathy,Disease
q26.2) ORPHA:402020,Disease
Solid Neoplasm,Disease
Human rhinovirus B83 1C,Pathogen
Duane retraction syndrome ORPHA:233,Disease
MIXED LINEAGE LEUKEMIA,Disease
Bronchiolitis Obliterans Organizing Pneumonia,Disease
Periodontal Diseases,Disease
Familial apolipoprotein A5 deficiency ORPHA:530849,Disease
Human rhinovirus A21 1D,Pathogen
Human rhinovirus A51 1D,Pathogen
Venous Thrombosis,Disease
Early infantile epileptic encephalopathy ORPHA:1934,Disease
Laryngo-onycho-cutaneous syndrome ORPHA:2407,Disease
Human rhinovirus B79 1C,Pathogen
NCOA7,Gene
Alphapapillomavirus 4 early protein E2 (gene: E2),Pathogen
Chondrodysplasia-disorder of sex development syndrome ORPHA:1422,Disease
Respiratory Distress Syndrome Newborn,Disease
De novo thrombotic microangiopathy after kidney transplantation ORPHA:244275,Disease
Adenoviral infections,Disease
Cowpox virus CPXV211 protein (gene: CPXV211 CDS),Pathogen
Liver neoplasms,Disease
Cholestasis of pregnancy,Disease
Attention deficit hyperactivity disorder,Disease
Human papilloma virus infection,Disease
Primary hypomagnesemia with secondary hypocalcemia ORPHA:30924,Disease
Irido-corneo-trabecular dysgenesis (disorder),Disease
Human rhinovirus A23 1D (VP1),Pathogen
Spinocerebellar ataxia type 42 ORPHA:458803,Disease
Temporary Amnesia,Disease
Hematologic Neoplasms,Disease
Congenital plasminogen activator inhibitor type 1 deficiency ORPHA:465,Disease
Auriculocondylar syndrome ORPHA:137888,Disease
Macrocephaly-developmental delay syndrome ORPHA:397612,Disease
Rhinovirus B14 2C (P2-C),Pathogen
Demyelinating Diseases,Disease
Malaria Falciparum,Disease
Hepatitis,Disease
Human rhinovirus A25 1D,Pathogen
Chronic lung disease,Disease
Urgency frequency syndrome,Disease
Recurrent paroxysmal headache,Disease
Variola virus hypothetical protein (gene: B19R),Pathogen
Obesity Morbid,Disease
Neoplasms,Disease
Echovirus E12 polyprotein region 3,Pathogen
Echovirus E25 VP3,Pathogen
Post MI,Disease
Norovirus Hu/GII.4/NIHIC17.1/2012/USA capsid protein VP1 (gene: VP1),Pathogen
Hematuria,Disease
Hepatitis Toxic,Disease
Norovirus Hu/GII.4/NIHIC17.5/2012/USA NTPase (gene: POL),Pathogen
3-Methylglutaconic aciduria type 2,Disease
Nerve Pain,Disease
Lipoma,Disease
Purpura Fulminans,Disease
Hyperplasia of supraorbital margins,Disease
Wolman Disease,Disease
Echovirus E14 VP1,Pathogen
Niemann-Pick disease type C juvenile neurologic onset ORPHA:216981,Disease
