Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Colorectal Carcinoma	59/2931	2.4275726361416918E-6	0.003460284007302605	0	0	2.130692790129364	27.546914682441937	COL12A1;SETD7;ICA1;KRT23;BBC3;CASP7;CCND1;SLC22A18;ENC1;TIMP2;PDE4B;CTSD;LZTS1;HTATIP2;TGM2;ABCC2;PURPL;ACSL5;TET1;LIFR;KAT2B;GAL;ADAM15;MIR17HG;PRR15;TRIB3;ENG;ABCB1;NOLC1;CORO1A;FHIT;THBS1;SULT1A1;ADAMTS15;ADAMTS14;AANAT;GPNMB;NEU1;LRIG1;SNCG;BMF;MICB;NGFR;AFAP1L2;STN1;SORT1;SORBS1;SMAD7;IL22RA1;NR4A2;CENPE;KITLG;TFAP4;CYP24A1;COL5A2;SNAI2;TNFSF9;HPSE;CPEB4
Mammary Neoplasms	51/2387	2.7022217556261907E-6	0.003460284007302605	0	0	2.226883561643836	28.551845623735172	SETD7;GLI2;CASP7;CCND1;HYAL1;SLC22A18;LAMP3;ENC1;TIMP2;CTSD;RGS6;TGM2;PRMT6;ABCC2;TSC22D1;ITGA2;TET1;LIFR;WNT9A;WNT16;ACTA2;KAT2B;GAL;ADAM15;TRIB3;RHOU;MT1E;ENG;ABCB1;LAMA3;PDGFB;CORO1A;FHIT;THBS1;SULT1A1;GPNMB;NEU1;ZNF703;NRIP1;LRIG1;SNCG;CLSPN;NGFR;PBX1;SMAD7;P2RX7;KITLG;CYP24A1;SNAI2;HPSE;APOBEC3B
Ovarian Carcinoma	48/2203	3.3682193452004592E-6	0.003460284007302605	0	0	2.2559244739579167	28.427189304106395	OGFR;EHF;ABCB1;LAMA3;NOLC1;IQGAP2;CORO1A;FHIT;THBS1;BBC3;GLI2;CHST11;GPNMB;CCND1;HYAL1;LAMP3;NEU1;NRIP1;TIMP2;LRIG1;SNCG;S100A14;CLSPN;CTSD;LZTS1;TGM2;NGFR;ABCC2;PLK2;CYP4F2;ITGA2;TET1;LIFR;SMAD6;PBX1;SMAD7;KAT2B;KITLG;GAL;CYP24A1;ID2;SNAI2;TNFSF9;HPSE;SKAP1;APOBEC3B;ENG;VGLL3
Breast Carcinoma	85/4963	5.5218190849172854E-6	0.004254561604928768	0	0	1.8951466886931643	22.94416800953158	CNTNAP1;COL12A1;SETD7;RTKN2;PRSS23;BBC3;GLI2;DOCK11;CASP7;CCND1;HYAL1;CA2;SLC22A18;LAMP3;SIX2;TIMP2;ME1;OIP5;CTSD;LZTS1;RGS6;HTATIP2;TGM2;PRMT6;ABCC2;ITGA2;P3H2;TET1;LIFR;ISL1;MIR100HG;C1QL1;ACTA2;KAT2B;GAL;ADAM15;MIR17HG;TRIB3;MT1E;ENG;VGLL3;ABCB1;PDGFB;NOLC1;CORO1A;FHIT;THBS1;TRAK2;SULT1A1;ADAMTS15;AANAT;CHST11;GPNMB;NEU1;ZNF703;MKNK2;NRIP1;SUSD4;LRIG1;SNCG;S100A14;CLSPN;KCNN4;E2F7;MICB;FZD1;NGFR;CA11;SORT1;KRT13;SORBS1;EFR3B;PBX1;CEACAM19;SMAD7;NR4A2;P2RX7;CENPE;KITLG;CYP24A1;FGF19;SNAI2;HPSE;CPEB4;APOBEC3B
Invasive carcinoma of breast	15/385	2.8113279631476703E-5	0.014900209578862343	0	0	3.801018409714062	39.83189252117389	FZD1;ABCB1;SORBS1;FHIT;THBS1;KAT2B;KITLG;CHST11;GPNMB;CCND1;TIMP2;SNCG;S100A14;HPSE;CTSD
Epithelioma	13/298	3.052784420620003E-5	0.014900209578862343	0	0	4.254327205573743	44.23169270530892	NGFR;ABCB1;ACSL5;FHIT;PSMB9;KITLG;GPNMB;ADAM15;ID2;NEU1;TIMP2;SNAI2;HPSE
Invasive Ductal Breast Carcinoma	11/218	3.384213726542388E-5	0.014900209578862343	0	0	4.928932847952011	50.737468011708	CCND1;TPM4;NEU1;TET1;SNCG;HPSE;CTSD;FHIT;THBS1;MT1E;GLI2
Colorectal Cancer	60/3298	4.600254866007078E-5	0.014931592881418987	0	0	1.8918857090568024	18.893910226554258	COL12A1;ICA1;KRT23;BBC3;CASP7;CCND1;SLC22A18;TIMP2;ME1;PDE4B;CTSD;LZTS1;HTATIP2;TGM2;ABCC2;PURPL;ACSL5;TET1;LIFR;WNT16;KAT2B;GAL;MIR17HG;PRR15;TRIB3;ENG;ABCB1;NOLC1;CORO1A;FHIT;THBS1;SULT1A1;ADAMTS15;ADAMTS14;AANAT;GPNMB;NEU1;LRIG1;SNCG;BMF;MICB;NGFR;AFAP1L2;STN1;SORT1;SORBS1;SORL1;SMAD7;IL22RA1;NR4A2;P2RX7;CENPE;KITLG;TFAP4;CYP24A1;COL5A2;SNAI2;TNFSF9;HPSE;CPEB4
Tumor Progression	43/2090	4.8679640305624954E-5	0.014931592881418987	0	0	2.0808022641118082	20.662886014901243	OGFR;EHF;ABCB1;RHOBTB3;PRSS23;FHIT;THBS1;BBC3;GLI2;CHST11;GPNMB;CCND1;HYAL1;SLC22A18;LAMP3;SUSD4;SNCG;S100A14;CTSD;RGS6;HTATIP2;MICB;TGM2;PRMT6;NGFR;PLK2;ITGA2;KRT13;SHCBP1;HS3ST1;SMAD7;NR4A2;P2RX7;KITLG;GAL;CYP24A1;ADAM15;FGF19;MIR17HG;SNAI2;HPSE;CPEB4;ENG
Stomach Carcinoma	47/2378	5.482880200632975E-5	0.014931592881418987	0	0	2.010195501624073	19.722620909319204	EHF;ABCB1;SETD7;LAMA3;NOLC1;IQGAP2;FHIT;THBS1;BBC3;GLI2;SULT1A1;CASP7;FRAT2;CCND1;LAMP3;NEU1;TIMP2;SNCG;OIP5;S100A14;CTSD;LZTS1;TGM2;NGFR;CA11;AFAP1L2;ABCC2;ITGA2;TET1;LIFR;ESCO2;ISL1;PBX1;SMAD7;NR4A2;KAT2B;KITLG;GAL;ARL2BP;ADAM15;MIR17HG;SNAI2;TRIB3;RHOU;HPSE;APOBEC3B;ENG
Retroviridae Infections	7/88	5.595192953243467E-5	0.014931592881418987	0	0	7.9172552397358595	77.51798568946194	ABCB1;CCND1;TIMP2;HPSE;PBX1;SMAD7;APOBEC3B
melanoma	48/2454	5.8137285716102486E-5	0.014931592881418987	0	0	1.9918021039355633	19.42545505006149	ABCB1;PDGFB;PRSS23;THBS1;BBC3;GLI2;CASP7;AANAT;GPNMB;CCND1;CA2;LAMP3;NEU1;TIMP2;CTSD;LZTS1;SKIL;HTATIP2;TGM2;PRMT6;NGFR;AFAP1L2;PPP1R14B;STN1;GPR37;ABCC2;ITGA2;P3H2;LIFR;SHCBP1;PBX1;PSMB9;SMAD7;NR4A2;P2RX7;CENPE;KITLG;GAL;CYP24A1;LPAR5;ADAM15;MIR17HG;PIR;SNAI2;HPSE;SCG2;APOBEC3B;ENG
