Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Anomalous Pulmonary Artery	4/14	1.3553201114281594E-5	0.007586126748659452	0	0	36.27155963302752	406.56384203793584	KITLG;B3GLCT;SNAI2;ENG
Congenital Anomalies Of Kidney And Urinary Tract	4/16	2.4215826414772336E-5	0.007586126748659452	0	0	30.223241590214066	321.22784880327765	SIX2;NRIP1;LIFR;PBX1
Breast Carcinoma	24/859	3.214460486720107E-5	0.007586126748659452	0	0	2.7498457630194157	28.44788569219875	H2AX;PLEKHD1;GRAMD1B;CNTNAP1;ABCB1;RTKN2;THBS1;EFR3B;TRAK2;SULT1A1;ACTA2;CASP7;CYP24A1;GPNMB;CCND1;SLC22A18;NRIP1;SNAI2;SNCG;HPSE;KCNN4;APOBEC3B;VGLL3;TGM2
Esophagus Neoplasm	11/234	6.43402171975046E-5	0.01026795905190949	0	0	4.571546978938644	44.12148866547188	ZCCHC12;ABCB1;ABCC2;CCND1;TPM4;CA2;KRT13;SNAI2;LZTS1;BBC3;TGM2
Urinary Tract Cancer	3/8	7.251383511235517E-5	0.01026795905190949	0	0	54.172602739726024	516.3587952614553	SULT1A1;CCND1;FHIT
Marfan Syndrome	17/538	1.1296992047209108E-4	0.013330450615706748	0	0	3.0651093113618275	27.85690564251072	H2AX;PLEKHD1;ABCB1;THBS1;SULT1A1;ACTA2;CASP7;CYP24A1;GPNMB;CCND1;SLC22A18;NRIP1;SNAI2;SNCG;HPSE;APOBEC3B;TGM2
Mammary Neoplasms	17/552	1.5349394722398362E-4	0.015524816376368628	0	0	2.9827307955322544	26.193892717141132	H2AX;PLEKHD1;ABCB1;THBS1;SULT1A1;ACTA2;CASP7;CYP24A1;GPNMB;CCND1;SLC22A18;NRIP1;SNAI2;SNCG;HPSE;APOBEC3B;TGM2
Anaplastic Carcinoma	8/163	4.8386300248301457E-4	0.040228663601076416	0	0	4.732710280373832	36.12813185027722	KITLG;ABCB1;CCND1;TSC22D1;PLK2;SNCG;FHIT;CORO1A
Breast Cancer	26/1159	5.113813169628357E-4	0.040228663601076416	0	0	2.1829799881117498	16.54348469008062	H2AX;PLEKHD1;ABCB1;THBS1;SULT1A1;CASP7;GPNMB;CCND1;SLC22A18;NRIP1;SNCG;CLSPN;TGM2;TPM4;UQCC1;P3H2;SORBS1;SORL1;ACTA2;CYP24A1;PADI3;SNAI2;HPSE;RGL1;KBTBD8;APOBEC3B
Lymphocytic Leukemia	7/132	6.888132321229999E-4	0.04876797683430839	0	0	5.118920930232558	37.26851060950596	ACTA2;P2RX7;GRAMD1B;GPR37;CCND1;BMF;RHOU
Liver Carcinoma	16/581	8.089919139434706E-4	0.052069661370179744	0	0	2.641189105593264	18.804531220074406	ABCB1;PDGFB;LIFR;IQGAP2;FAM111B;CENPE;DEPDC1B;CCND1;CA2;FGF19;ME1;HPSE;CTSD;MT1E;HTATIP2;SPC25
Schizophrenia	30/1471	9.001996262103146E-4	0.05311177794640856	0	0	1.98831106870229	13.943814788361948	H2AX;GRAMD1B;CNTNAP2;ABCB1;RTKN2;IQGAP2;FHIT;THBS1;NRGN;CHST11;CCND1;LAMP3;ALDH3B1;NEU1;NRIP1;PDE4B;RGS6;MICB;TGM2;GABRQ;NGFR;PCDH7;TET1;LIFR;MIR100HG;EFR3B;PSMB9;NR4A2;PLSCR4;SLC26A7
Carcinoma	15/535	9.814635632733315E-4	0.05345201559980913	0	0	2.6836677814938685	18.588332754038593	AFAP1L2;STN1;ABCB1;TSC22D1;PLK2;CORO1A;FHIT;GLI2;KITLG;CCND1;CA2;SNCG;CCN2;LZTS1;APOBEC3B
Pulmonary Fibrosis	7/147	0.0012942778164079592	0.06545347814405965	0	0	4.5669767441860465	30.36949296042404	FAM111B;ACTA2;STN1;PDGFB;CCN2;SKIL;SMAD7
Urologic Neoplasms	3/22	0.0017779416122235547	0.08391884409695179	0	0	14.245854361932228	90.20900906593438	SULT1A1;CCND1;FHIT
Alveolitis	5/83	0.0023176200177251354	0.10255468578433724	0	0	5.819449367836465	35.307847436885915	ACTA2;PDGFB;CCN2;SKIL;SMAD7
Brain Neoplasms	4/57	0.003684422651457181	0.15344536689598143	0	0	6.828803877445041	38.26616839965231	CCND1;PDGFB;IQGAP2;TGM2
Thoracic Aortic Aneurysm And Aortic Dissection	4/59	0.004172782059343836	0.16412942766752422	0	0	6.579816513761468	36.05194841490699	ACTA2;COL5A2;SMAD6;ENG
Arsenic Encephalopathy	4/62	0.00498444914276444	0.18573631542511704	0	0	6.238532110091743	33.07315616099584	NR4A2;ID2;PDE4B;SKIL
Intracranial Neoplasm	3/33	0.005759325624786823	0.2038801271174535	0	0	9.017351598173516	46.5018950734492	CCND1;IQGAP2;TGM2
Endometriosis	7/197	0.006567746669727304	0.2187610616307245	0	0	3.3565728274173807	16.868740300605836	ACTA2;GPNMB;ITGA2;COL12A1;SLC16A6;CALHM3;SKAP1
Partial Agenesis Of Corpus Callosum	3/35	0.006797660107169406	0.2187610616307245	0	0	8.45291095890411	42.189973306414316	CENPE;OSTM1;GLI2
Nasopharyngeal Carcinoma	5/109	0.007402208777358174	0.22785929627693857	0	0	4.358826657213754	21.384302629353346	ACTA2;GRAMD1B;KITLG;CCND1;SMAD7
Subarachnoid Hemorrhage	3/39	0.009189186584810136	0.2627224344149009	0	0	7.512176560121766	35.23006368396513	ACTA2;ITGA2;ENG
Hodgkin Disease	4/74	0.00927692211917023	0.2627224344149009	0	0	5.165923984272608	24.1776889318073	GRAMD1B;GAL;BMF;MICB
Dermatologic Disorders	4/77	0.010634809346913498	0.2895940391390291	0	0	4.9528716853085335	22.503980504038704	NR4A2;ID2;PDE4B;SKIL
Tumoral Calcinosis	3/42	0.011266460017304688	0.2954316182315451	0	0	6.933263083948016	31.102098941641216	PDGFB;TIMP2;SNAI2
African Burkitt`s Lymphoma	2/15	0.011709959692237919	0.2960946950751588	0	0	13.821678321678322	61.46936483786906	PBX1;BBC3
Blood Coagulation Disorders	3/44	0.012789478729833818	0.30947162805610384	0	0	6.594386902773137	28.745805739842837	OSTM1;COL5A2;ENG
Hyperbilirubinemia	3/45	0.013592930756514687	0.30947162805610384	0	0	6.437051532941944	27.667769779320867	ABCC2;OSTM1;KCNN4
