Source,Target,Pvalue_Adjusted
AANAT,Colorectal Carcinoma,0.0034602840073026
AANAT,Breast Carcinoma,0.0042545616049287
ABCB1,Colorectal Carcinoma,0.0034602840073026
ABCB1,Mammary Neoplasms,0.0034602840073026
ABCB1,Ovarian Carcinoma,0.0034602840073026
ABCB1,Breast Carcinoma,0.0042545616049287
ABCB1,Breast Carcinoma,0.0075861267486594
ABCC2,Colorectal Carcinoma,0.0034602840073026
ABCC2,Mammary Neoplasms,0.0034602840073026
ABCC2,Ovarian Carcinoma,0.0034602840073026
ABCC2,Breast Carcinoma,0.0042545616049287
ABCC2,Autosomal recessive infantile hypercalcemia ORPHA:300547,0.0083045131203191
ACSL5,Colorectal Carcinoma,0.0034602840073026
ACTA2,Mammary Neoplasms,0.0034602840073026
ACTA2,Breast Carcinoma,0.0042545616049287
ACTA2,Breast Carcinoma,0.0075861267486594
ADAM15,Colorectal Carcinoma,0.0034602840073026
ADAM15,Mammary Neoplasms,0.0034602840073026
ADAM15,Breast Carcinoma,0.0042545616049287
ADAMTS14,Colorectal Carcinoma,0.0034602840073026
ADAMTS15,Colorectal Carcinoma,0.0034602840073026
ADAMTS15,Breast Carcinoma,0.0042545616049287
ADAMTS15,SIX2-related frontonasal dysplasia ORPHA:488437,0.00518481975049
ADAMTS15,Peters anomaly ORPHA:708,0.00518481975049
ADAMTS15,Atrial septal defect ostium secundum type ORPHA:99103,0.00518481975049
ADAMTS15,Familial porencephaly ORPHA:99810,0.0083045131203191
ADAMTS15,Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584,0.0083045131203191
AFAP1L2,Colorectal Carcinoma,0.0034602840073026
AMOTL2,Atrial septal defect ostium primum type ORPHA:99106,0.0040361447187818
AMOTL2,Arnold-Chiari malformation type I ORPHA:268882,0.00518481975049
AMOTL2,Autosomal recessive nail dysplasia ORPHA:280654,0.00518481975049
AMOTL2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,0.00518481975049
AMOTL2,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,0.00518481975049
AMOTL2,SIX2-related frontonasal dysplasia ORPHA:488437,0.00518481975049
AMOTL2,Auriculocondylar syndrome ORPHA:137888,0.00518481975049
AMOTL2,Peters anomaly ORPHA:708,0.00518481975049
AMOTL2,Atrial septal defect ostium secundum type ORPHA:99103,0.00518481975049
AMOTL2,Familial porencephaly ORPHA:99810,0.0083045131203191
AMOTL2,Severe generalized junctional epidermolysis bullosa ORPHA:79404,0.0083045131203191
AMOTL2,20p12.3 microdeletion syndrome ORPHA:261295,0.0083045131203191
AMOTL2,Chondrosarcoma ORPHA:55880,0.0083045131203191
AMOTL2,Familial progressive hyper- and hypopigmentation ORPHA:280628,0.0083045131203191
AMOTL2,Familial progressive hyperpigmentation ORPHA:79146,0.0083045131203191
AMOTL2,Greig cephalopolysyndactyly syndrome ORPHA:380,0.0083045131203191
AMOTL2,Isolated hyperchlorhidrosis ORPHA:542657,0.0083045131203191
AMOTL2,Kindler epidermolysis bullosa ORPHA:2908,0.0083045131203191
AMOTL2,Laryngo-onycho-cutaneous syndrome ORPHA:2407,0.0083045131203191
AMOTL2,Pallister-Hall syndrome ORPHA:672,0.0083045131203191
AMOTL2,Polysyndactyly ORPHA:93338,0.0083045131203191
AMOTL2,Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584,0.0083045131203191
AMOTL2,Sensorineural deafness with dilated cardiomyopathy ORPHA:217622,0.0083045131203191
AMOTL2,Tibial hemimelia ORPHA:93322,0.0083045131203191
AMOTL2,Ulnar-mammary syndrome ORPHA:3138,0.0083045131203191
AMOTL2,Axenfeld anomaly ORPHA:98978,0.0083045131203191
AMOTL2,Axenfeld-Rieger syndrome ORPHA:782,0.0083045131203191
