Genes,DisGeNET_Term,DisGeNET_Pvalue_Adjusted,GeDiPNet_Term,GeDiPNet_Pvalue_Adjusted,Orphanet_Term,Orphanet_Pvalue_Adjusted,Virus_Host_Term,Virus_Host_Pvalue_Adjusted,Host organism(s)_Intact,Confidence value(s)_Intact,Taxid interactor A_Intact,Taxid interactor B_Intact
AANAT,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer; melanoma; Malignant neoplasm of breast,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999,,,,,,,,,,
ABCB1,"Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Epithelioma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; Retroviridae Infections; melanoma; Adenocarcinoma; Proliferative vitreoretinopathy; Squamous cell carcinoma; Esophageal Neoplasms; Malignant mesothelioma; ovarian neoplasm; Malignant neoplasm of breast; Fibrosarcoma; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Carcinoma, Spindle-Cell; Hematopoietic Neoplasms; Medulloblastoma; Epithelial ovarian cancer; Brain Tumor, Primary",0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0308703957553632; 0.0334891258932371; 0.0354767239335874; 0.0387439397151409; 0.044151975756427,Breast Carcinoma; Esophagus Neoplasm; Marfan Syndrome; Mammary Neoplasms; Anaplastic Carcinoma; Breast Cancer,0.0075861267486594; 0.0102679590519094; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764; 0.0402286636010764,,,,,,,,
ABCC2,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Stomach Carcinoma; melanoma; Adenocarcinoma; Squamous cell carcinoma; Malignant neoplasm of breast; Fibrosarcoma; Carcinogenesis; Malignant neoplasm of ovary; Hematopoietic Neoplasms; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0334891258932371; 0.0387439397151409,Esophagus Neoplasm,0.0102679590519094,Autosomal recessive infantile hypercalcemia ORPHA:300547,0.0083045131203191,,,,,,
ACSL5,Colorectal Carcinoma; Epithelioma; Colorectal Cancer; Adenocarcinoma; Carcinogenesis,0.0034602840073026; 0.0149002095788623; 0.0149315928814189; 0.0155921563748247; 0.0228075668512991,,,,,,,In vitro,0.35,chemical synthesis,Homo sapiens
ACTA2,Mammary Neoplasms; Breast Carcinoma; Adenocarcinoma; Malignant neoplasm of breast,0.0034602840073026; 0.0042545616049287; 0.0155921563748247; 0.0191435238361999,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer; Lymphocytic Leukemia,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764; 0.0487679768343083,,,,,Homo sapiens HEK293 embryonic kidney cell;In vitro;yeasx,0.35;0.37,Dengue virus 2;Homo sapiens;chemical synthesis;hhv11,Homo sapiens;Yersinia pestis
ADAM15,Colorectal Carcinoma; Mammary Neoplasms; Breast Carcinoma; Epithelioma; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Squamous cell carcinoma; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of stomach,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999,,,,,,,yeasx,0.37,Homo sapiens,Bacillus anthracis
ADAMTS14,Colorectal Carcinoma; Colorectal Cancer,0.0034602840073026; 0.0149315928814189,,,,,,,,,,
ADAMTS15,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer,0.0034602840073026; 0.0042545616049287; 0.0149315928814189,,,"SIX2-related frontonasal dysplasia ORPHA:488437; Peters anomaly ORPHA:708; Atrial septal defect, ostium secundum type ORPHA:99103; Familial porencephaly ORPHA:99810; Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584; Early-onset nuclear cataract ORPHA:98991; Craniosynostosis, Boston type ORPHA:1541; NON RARE IN EUROPE: Exfoliation syndrome ORPHA:529819; Parietal foramina with clavicular hypoplasia ORPHA:251290; Congenital cataract microcornea with corneal opacity ORPHA:289499; Dermatofibrosarcoma protuberans ORPHA:31112; Tetralogy of Fallot ORPHA:3303",0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0179885731122231; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0277610005156803,,,,,,
AFAP1L2,Colorectal Carcinoma; Colorectal Cancer; Stomach Carcinoma; melanoma; Malignant neoplasm of stomach; Carcinogenesis,0.0034602840073026; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999; 0.0228075668512991,,,,,,,,,,
AMOTL2,,,,,"Atrial septal defect, ostium primum type ORPHA:99106; Arnold-Chiari malformation type I ORPHA:268882; Autosomal recessive nail dysplasia ORPHA:280654; Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504; Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118; SIX2-related frontonasal dysplasia ORPHA:488437; Auriculocondylar syndrome ORPHA:137888; Peters anomaly ORPHA:708; Atrial septal defect, ostium secundum type ORPHA:99103; Familial porencephaly ORPHA:99810; Severe generalized junctional epidermolysis bullosa ORPHA:79404; 20p12.3 microdeletion syndrome ORPHA:261295; Chondrosarcoma ORPHA:55880; Familial progressive hyper- and hypopigmentation ORPHA:280628; Familial progressive hyperpigmentation ORPHA:79146; Greig cephalopolysyndactyly syndrome ORPHA:380; Isolated hyperchlorhidrosis ORPHA:542657; Kindler epidermolysis bullosa ORPHA:2908; Laryngo-onycho-cutaneous syndrome ORPHA:2407; Pallister-Hall syndrome ORPHA:672; Polysyndactyly ORPHA:93338; Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584; Sensorineural deafness with dilated cardiomyopathy ORPHA:217622; Tibial hemimelia ORPHA:93322; Ulnar-mammary syndrome ORPHA:3138; Axenfeld anomaly ORPHA:98978; Axenfeld-Rieger syndrome ORPHA:782; Branchiootic syndrome ORPHA:52429; Myelodysplastic syndrome ORPHA:52688; Papillary renal cell carcinoma ORPHA:319298; Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289; Rieger anomaly ORPHA:91483; Brachydactyly type A2 ORPHA:93396; Unverricht-Lundborg disease ORPHA:308; Waardenburg syndrome type 2 ORPHA:895; Early-onset nuclear cataract ORPHA:98991; Bruck syndrome ORPHA:2771; Acute inflammatory demyelinating polyradiculoneuropathy ORPHA:98916; Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945; Autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome ORPHA:476093; Autosomal recessive spastic paraplegia type 66 ORPHA:401815; CHST3-related skeletal dysplasia ORPHA:263463; COL4A1-related familial vascular leukoencephalopathy ORPHA:36383; Charcot-Marie-Tooth disease type 1A ORPHA:101081; Charcot-Marie-Tooth disease type 1E ORPHA:90658; Cobblestone lissencephaly without muscular or ocular involvement ORPHA:352682; Craniosynostosis, Boston type ORPHA:1541; Diaphanospondylodysostosis ORPHA:66637; FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome ORPHA:404451; Familial schizencephaly ORPHA:481986; GAPO syndrome ORPHA:2067; HANAC syndrome ORPHA:73229; Hereditary neuropathy with liability to pressure palsies ORPHA:640; Hereditary papillary renal cell carcinoma ORPHA:47044; Ischiovertebral syndrome ORPHA:85200; Lethal occipital encephalocele-skeletal dysplasia syndrome ORPHA:293925; Mandibulofacial dysostosis with alopecia ORPHA:443995; Myopathic Ehlers-Danlos syndrome ORPHA:536516; NON RARE IN EUROPE: Exfoliation syndrome ORPHA:529819; Nance-Horan syndrome ORPHA:627; Neonatal ichthyosis-sclerosing cholangitis syndrome ORPHA:59303; Oculocutaneous albinism type 3 ORPHA:79433; Osteofibrous dysplasia ORPHA:488265; Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255; Parietal foramina with clavicular hypoplasia ORPHA:251290; Pontine autosomal dominant microangiopathy with leukoencephalopathy ORPHA:477749; Primary CD59 deficiency ORPHA:169464; Retinal arterial tortuosity ORPHA:75326; Sorsby pseudoinflammatory fundus dystrophy ORPHA:59181; Steel syndrome ORPHA:438117; Synpolydactyly type 2 ORPHA:295197; Uveal coloboma-cleft lip and palate-intellectual disability ORPHA:1473; Woolly hair-palmoplantar keratoderma syndrome ORPHA:420686; X-linked osteoporosis with fractures ORPHA:391330; Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form ORPHA:79408; Congenital cataract microcornea with corneal opacity ORPHA:289499; Congenital diaphragmatic hernia ORPHA:2140; Dermatofibrosarcoma protuberans ORPHA:31112; Hypoplastic left heart syndrome ORPHA:2248; Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403; Matthew-Wood syndrome ORPHA:2470; Neonatal inflammatory skin and bowel disease ORPHA:294023; Pediatric hepatocellular carcinoma ORPHA:33402; Posterior hypospadias ORPHA:95706; Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721; Trichorhinophalangeal syndrome type 2 ORPHA:502; BOR syndrome ORPHA:107; Erythrokeratodermia variabilis ORPHA:317; Tetralogy of Fallot ORPHA:3303",0.0040361447187818; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083744975290613; 0.0083744975290613; 0.0092060390928213; 0.0179885731122231; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.0183145313768111; 0.0277610005156803,,,yeasx,0.37;0.56,Homo sapiens,Homo sapiens;Saccharomyces cerevisiae
