Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Atrial septal defect, ostium primum type ORPHA:99106	9/101	1.8755319325194526E-6	0.004036144718781862	0	0	9.041334966319656	119.22463259377385	KITLG;PCDH7;COL12A1;COL5A2;PLSCR4;LAMA3;SNAI2;LIFR;AMOTL2
Arnold-Chiari malformation type I ORPHA:268882	8/101	1.6929153191211127E-5	0.005184819750490018	0	0	7.912772585669782	86.93346538481532	RPSAP52;KITLG;CCND1;PLK2;ITGA2;COL12A1;SNAI2;AMOTL2
Autosomal recessive nail dysplasia ORPHA:280654	8/101	1.6929153191211127E-5	0.005184819750490018	0	0	7.912772585669782	86.93346538481532	KITLG;CCND1;PLK2;ITGA2;COL12A1;LAMA3;SNAI2;AMOTL2
Hereditary arterial and articular multiple calcification syndrome ORPHA:289601	8/101	1.6929153191211127E-5	0.005184819750490018	0	0	7.912772585669782	86.93346538481532	ITGA2;COL12A1;PLSCR4;SNAI2;PRSS23;THBS1;TGM2;MT1E
Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504	8/101	1.6929153191211127E-5	0.005184819750490018	0	0	7.912772585669782	86.93346538481532	CCND1;PLK2;ITGA2;COL12A1;LAMA3;AMOTL2;PRSS23;CPA4
Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118	8/101	1.6929153191211127E-5	0.005184819750490018	0	0	7.912772585669782	86.93346538481532	KITLG;COL12A1;COL5A2;PLSCR4;LIFR;AMOTL2;RGL1;PRSS23
SIX2-related frontonasal dysplasia ORPHA:488437	8/101	1.6929153191211127E-5	0.005184819750490018	0	0	7.912772585669782	86.93346538481532	ADAMTS15;KITLG;SIX2;COL12A1;SNAI2;AMOTL2;WNT9A;GLI2
Auriculocondylar syndrome ORPHA:137888	8/103	1.954268736543191E-5	0.005184819750490018	0	0	7.745400885391048	83.9826799841783	KITLG;CCND1;PLK2;ITGA2;COL12A1;AMOTL2;PRSS23;THBS1
Peters anomaly ORPHA:708	8/105	2.248685175134143E-5	0.005184819750490018	0	0	7.584931110897004	81.17833038697565	ADAMTS15;KITLG;SIX2;PCDH7;COL12A1;SNAI2;AMOTL2;GLI2
Atrial septal defect, ostium secundum type ORPHA:99103	8/106	2.409302858034395E-5	0.005184819750490018	0	0	7.507152393667748	79.82796583148706	ADAMTS15;COL5A2;SNAI2;LIFR;AMOTL2;SMAD6;RBM24;GLI2
Familial porencephaly ORPHA:99810	7/100	1.2610208076165806E-4	0.008304513120319134	0	0	6.891472868217054	61.87452965785251	ADAMTS15;COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Severe generalized junctional epidermolysis bullosa ORPHA:79404	7/100	1.2610208076165806E-4	0.008304513120319134	0	0	6.891472868217054	61.87452965785251	IL22RA1;EHF;ITGA2;COL12A1;LAMA3;AMOTL2;S100A14
20p12.3 microdeletion syndrome ORPHA:261295	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	KITLG;COL12A1;COL5A2;PLSCR4;P3H2;SNAI2;AMOTL2
Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	EHF;ITGA2;COL12A1;LAMA3;S100A14;PRSS23;THBS1
Chondrosarcoma ORPHA:55880	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	CCND1;PLK2;COL12A1;COL5A2;SNAI2;AMOTL2;THBS1
Familial progressive hyper- and hypopigmentation ORPHA:280628	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	KITLG;CCND1;PLK2;PCDH7;COL12A1;LIFR;AMOTL2
Familial progressive hyperpigmentation ORPHA:79146	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	KITLG;CCND1;PLK2;PCDH7;COL12A1;LIFR;AMOTL2
Greig cephalopolysyndactyly syndrome ORPHA:380	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	PCDH7;COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	FAM111B;CENPE;DEPDC1B;ESCO2;CLSPN;SHCBP1;SPC25
Isolated hyperchlorhidrosis ORPHA:542657	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	KITLG;CCND1;ITGA2;COL12A1;LAMA3;SNAI2;AMOTL2
Kindler epidermolysis bullosa ORPHA:2908	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	IL22RA1;KITLG;CCND1;ITGA2;LAMA3;AMOTL2;S100A14
Laryngo-onycho-cutaneous syndrome ORPHA:2407	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	EHF;KITLG;ITGA2;COL12A1;LAMA3;AMOTL2;S100A14
Pallister-Hall syndrome ORPHA:672	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	PCDH7;COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Polysyndactyly ORPHA:93338	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	PCDH7;COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	ADAMTS15;COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Sensorineural deafness with dilated cardiomyopathy ORPHA:217622	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	SIX2;PCDH7;COL12A1;SNAI2;LIFR;AMOTL2;GLI2
Tibial hemimelia ORPHA:93322	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	PCDH7;COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Ulnar-mammary syndrome ORPHA:3138	7/101	1.3423202566688978E-4	0.008304513120319134	0	0	6.817812963879268	60.78721622984028	KITLG;CCND1;COL12A1;SNAI2;LIFR;AMOTL2;SMAD6
Autosomal recessive infantile hypercalcemia ORPHA:300547	7/102	1.4278205643671374E-4	0.008304513120319134	0	0	6.745703794369645	59.72775097936251	IL22RA1;EHF;ABCC2;CYP24A1;PADI3;KRT13;S100A14
Axenfeld anomaly ORPHA:98978	7/102	1.4278205643671374E-4	0.008304513120319134	0	0	6.745703794369645	59.72775097936251	KITLG;CCND1;SIX2;COL12A1;SNAI2;AMOTL2;GLI2
Axenfeld-Rieger syndrome ORPHA:782	7/102	1.4278205643671374E-4	0.008304513120319134	0	0	6.745703794369645	59.72775097936251	KITLG;CCND1;SIX2;COL12A1;SNAI2;AMOTL2;GLI2
Branchiootic syndrome ORPHA:52429	7/102	1.4278205643671374E-4	0.008304513120319134	0	0	6.745703794369645	59.72775097936251	SIX2;PCDH7;SNAI2;LIFR;AMOTL2;RBM24;GLI2
Congenital short bowel syndrome ORPHA:2301	7/102	1.4278205643671374E-4	0.008304513120319134	0	0	6.745703794369645	59.72775097936251	TPM4;COL12A1;COL5A2;SNAI2;THBS1;GLI2;VGLL3
Myelodysplastic syndrome ORPHA:52688	7/102	1.4278205643671374E-4	0.008304513120319134	0	0	6.745703794369645	59.72775097936251	ITGA2;COL12A1;LAMA3;RHOBTB3;LIFR;AMOTL2;SMAD6
Papillary renal cell carcinoma ORPHA:319298	7/102	1.4278205643671374E-4	0.008304513120319134	0	0	6.745703794369645	59.72775097936251	KITLG;COL12A1;PLSCR4;LAMA3;ME1;SNAI2;AMOTL2
Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289	7/102	1.4278205643671374E-4	0.008304513120319134	0	0	6.745703794369645	59.72775097936251	KITLG;ITGA2;COL12A1;LAMA3;SNAI2;AMOTL2;SMAD6
Rieger anomaly ORPHA:91483	7/102	1.4278205643671374E-4	0.008304513120319134	0	0	6.745703794369645	59.72775097936251	KITLG;CCND1;SIX2;COL12A1;SNAI2;AMOTL2;GLI2
Brachydactyly type A2 ORPHA:93396	7/103	1.517683102385662E-4	0.008374497529061397	0	0	6.6750968992248065	58.69516484392459	KITLG;PCDH7;COL12A1;COL5A2;SNAI2;LIFR;AMOTL2
Unverricht-Lundborg disease ORPHA:308	7/103	1.517683102385662E-4	0.008374497529061397	0	0	6.6750968992248065	58.69516484392459	FZD1;KITLG;CCND1;ME1;TIMP2;SNAI2;AMOTL2
Waardenburg syndrome type 2 ORPHA:895	7/105	1.7111596826805566E-4	0.009206039092821394	0	0	6.538205980066445	56.70696577704008	KITLG;PCDH7;COL12A1;PLSCR4;SNAI2;LIFR;AMOTL2
Hereditary breast cancer ORPHA:227535	7/108	2.0383486333532566E-4	0.010698844534088313	0	0	6.343034768593139	53.90438051500731	CENPE;DEPDC1B;SLC22A18;ESCO2;CLSPN;SHCBP1;SPC25
Early-onset nuclear cataract ORPHA:98991	7/118	3.510780997738709E-4	0.0179885731122231	0	0	5.768657029122146	45.88679302615278	ADAMTS15;KITLG;BFSP1;CCND1;SNAI2;AMOTL2;GLI2
Bruck syndrome ORPHA:2771	6/100	8.751177044059128E-4	0.018006422428388378	0	0	5.81678486997636	40.9568673592404	CCND1;COL12A1;COL5A2;SNAI2;LIFR;AMOTL2
Acute inflammatory demyelinating polyradiculoneuropathy ORPHA:98916	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	KITLG;COL12A1;PLSCR4;TIMP2;LIFR;AMOTL2
Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	KITLG;COL12A1;SNCG;LIFR;AMOTL2;RBM24
Autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome ORPHA:476093	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	KITLG;COL12A1;SNCG;LIFR;AMOTL2;RBM24
Autosomal recessive brachyolmia ORPHA:448242	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	KITLG;COL12A1;PLSCR4;PRSS23;THBS1;TGM2
Autosomal recessive spastic paraplegia type 66 ORPHA:401815	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	COL12A1;COL5A2;P3H2;SNAI2;AMOTL2;GLI2
Bamforth-Lazarus syndrome ORPHA:1226	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	CYP24A1;SIX2;LAMA3;PADI3;KRT13;CPA4
CHST3-related skeletal dysplasia ORPHA:263463	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	CCND1;COL12A1;SNAI2;LIFR;AMOTL2;GLI2
COL4A1-related familial vascular leukoencephalopathy ORPHA:36383	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Charcot-Marie-Tooth disease type 1A ORPHA:101081	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	KITLG;COL12A1;PLSCR4;TIMP2;LIFR;AMOTL2
Charcot-Marie-Tooth disease type 1E ORPHA:90658	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	KITLG;COL12A1;PLSCR4;TIMP2;LIFR;AMOTL2
Chronic atrial and intestinal dysrhythmia syndrome ORPHA:435988	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	CENPE;DEPDC1B;OIP5;ESCO2;CLSPN;SHCBP1
Cobblestone lissencephaly without muscular or ocular involvement ORPHA:352682	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	CCND1;COL12A1;COL5A2;SNAI2;LIFR;AMOTL2
Congenital dyserythropoietic anemia type III ORPHA:98870	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	CENPE;DEPDC1B;ESCO2;CLSPN;SHCBP1;E2F7
Congenital plasminogen activator inhibitor type 1 deficiency ORPHA:465	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	RPSAP52;TPM4;COL12A1;SNAI2;THBS1;TGM2
Craniosynostosis, Boston type ORPHA:1541	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	ADAMTS15;KITLG;BFSP1;CCND1;ZNF703;AMOTL2
Diaphanospondylodysostosis ORPHA:66637	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	COL12A1;COL5A2;PLSCR4;SNAI2;LIFR;AMOTL2
FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome ORPHA:404451	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Familial drusen ORPHA:75376	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	COL12A1;COL5A2;PLSCR4;SNAI2;LIFR;TGM2
Familial multiple nevi flammei ORPHA:624	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	ARRDC4;TSC22D1;SORT1;NRIP1;TIMP2;RHOU
Familial schizencephaly ORPHA:481986	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Filippi syndrome ORPHA:3255	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	CENPE;DEPDC1B;ESCO2;CLSPN;SHCBP1;E2F7
GAPO syndrome ORPHA:2067	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
HANAC syndrome ORPHA:73229	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	COL12A1;COL5A2;SNAI2;LIFR;AMOTL2;GLI2
Hereditary neuropathy with liability to pressure palsies ORPHA:640	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	KITLG;COL12A1;PLSCR4;TIMP2;LIFR;AMOTL2
Hereditary papillary renal cell carcinoma ORPHA:47044	6/101	9.219106765563282E-4	0.018006422428388378	0	0	5.755263157894737	40.2238922983475	KITLG;CCND1;ITGA2;COL12A1;LAMA3;AMOTL2
