Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Norovirus Hu/Norwalk/10074/2009/VNM capsid protein VP1 (gene: VP1)	3/51	0.01900816410806073	0.6362779693488597	0	0	5.630707762557078	22.31385691625698	TRIB3;THBS1;PSMB9
Norovirus Hu/Norwalk/20047/2009/VNM capsid protein VP1 (gene: VP1)	3/51	0.01900816410806073	0.6362779693488597	0	0	5.630707762557078	22.31385691625698	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CBNU2/2007/KR capsid protein	3/52	0.020010529923056998	0.6362779693488597	0	0	5.5155157953592395	21.573921544577733	TRIB3;THBS1;PSMB9
Norovirus Hu/Norwalk/10247/2009/VNM capsid protein VP1 (gene: VP1)	3/52	0.020010529923056998	0.6362779693488597	0	0	5.5155157953592395	21.573921544577733	TRIB3;THBS1;PSMB9
Lujo mammarenavirus multifunctional matrix-like protein	2/20	0.020433933923869125	0.6362779693488597	0	0	9.97979797979798	38.82698618651823	TRIB3;SMAD7
Norovirus Hu/GII-4/CGMH13/2007/TW major viral capsid protein (gene: VP1)	3/53	0.021041545813572708	0.6362779693488597	0	0	5.404931506849315	20.86982649985667	TRIB3;THBS1;PSMB9
Norovirus Hu/Norwalk/10051/2009/VNM capsid protein VP1 (gene: VP1)	3/53	0.021041545813572708	0.6362779693488597	0	0	5.404931506849315	20.86982649985667	TRIB3;THBS1;PSMB9
Norovirus Hu/Norwalk/10116/2009/VNM capsid protein VP1 (gene: VP1)	3/53	0.021041545813572708	0.6362779693488597	0	0	5.404931506849315	20.86982649985667	TRIB3;THBS1;PSMB9
Norovirus Hu/Norwalk/10183/2009/VNM capsid protein VP1 (gene: VP1)	3/53	0.021041545813572708	0.6362779693488597	0	0	5.404931506849315	20.86982649985667	TRIB3;THBS1;PSMB9
Norovirus Hu/Norwalk/10236/2009/VNM capsid protein VP1 (gene: VP1)	3/53	0.021041545813572708	0.6362779693488597	0	0	5.404931506849315	20.86982649985667	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH02/2006/TW major viral capsid protein (gene: VP1)	3/55	0.02318958958630309	0.6362779693488597	0	0	5.196522655426765	19.559980588685704	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH03/2006/TW major viral capsid protein (gene: VP1)	3/55	0.02318958958630309	0.6362779693488597	0	0	5.196522655426765	19.559980588685704	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH04/2006/TW major viral capsid protein (gene: VP1)	3/55	0.02318958958630309	0.6362779693488597	0	0	5.196522655426765	19.559980588685704	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH06/2006/TW major viral capsid protein	3/55	0.02318958958630309	0.6362779693488597	0	0	5.196522655426765	19.559980588685704	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH07/2006/TW major viral capsid protein (gene: VP1)	3/55	0.02318958958630309	0.6362779693488597	0	0	5.196522655426765	19.559980588685704	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH09/2006/TW major viral capsid protein (gene: VP1)	3/55	0.02318958958630309	0.6362779693488597	0	0	5.196522655426765	19.559980588685704	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH12/2007/TW major viral capsid protein (gene: VP1)	3/55	0.02318958958630309	0.6362779693488597	0	0	5.196522655426765	19.559980588685704	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH17/2007/TW major viral capsid protein (gene: VP1)	3/55	0.02318958958630309	0.6362779693488597	0	0	5.196522655426765	19.559980588685704	TRIB3;THBS1;PSMB9
Norovirus Hu/GII.4/SGU-110421/KOR/2011 VP1	3/55	0.02318958958630309	0.6362779693488597	0	0	5.196522655426765	19.559980588685704	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH05/2006/TW major viral capsid protein (gene: VP1)	3/56	0.0243066178021359	0.6362779693488597	0	0	5.098216593434996	18.95010486967634	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH08/2006/TW major viral capsid protein (gene: VP1)	3/56	0.0243066178021359	0.6362779693488597	0	0	5.098216593434996	18.95010486967634	TRIB3;THBS1;PSMB9
Norovirus Hu/GII.4/GZ2010-L26/Guangzhou/CHN/2010 major viral capsid protein (gene: VP1)	3/56	0.0243066178021359	0.6362779693488597	0	0	5.098216593434996	18.95010486967634	TRIB3;THBS1;PSMB9
Norovirus Hu/GII/Shanghai/SH2/2008/CHN VP1	3/56	0.0243066178021359	0.6362779693488597	0	0	5.098216593434996	18.95010486967634	TRIB3;THBS1;PSMB9
Human adenovirus 18 IVa2 protein (gene: IVa2)	3/56	0.0243066178021359	0.6362779693488597	0	0	5.098216593434996	18.95010486967634	ABCC2;ABCB1;TRIB3
Human adenovirus 31 IVa2 protein (gene: IVa2)	3/56	0.0243066178021359	0.6362779693488597	0	0	5.098216593434996	18.95010486967634	ABCC2;ABCB1;TRIB3
Norovirus Hu/Shanghai/SH5/2009/CHN VP1	3/56	0.0243066178021359	0.6362779693488597	0	0	5.098216593434996	18.95010486967634	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH14/2007/TW major viral capsid protein (gene: VP1)	3/57	0.025452297473713713	0.6362779693488597	0	0	5.0035514967021815	18.367783694431246	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH15/2007/TW major viral capsid protein	3/57	0.025452297473713713	0.6362779693488597	0	0	5.0035514967021815	18.367783694431246	TRIB3;THBS1;PSMB9
Norovirus Hu/Norwalk/20123/2009/VNM capsid protein VP1 (gene: VP1)	3/57	0.025452297473713713	0.6362779693488597	0	0	5.0035514967021815	18.367783694431246	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH10/2006/TW major viral capsid protein (gene: VP1)	3/58	0.026626599818358108	0.6362779693488597	0	0	4.912328767123288	17.811340584772644	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH22/2010/TW major viral capsid protein (gene: VP1)	3/58	0.026626599818358108	0.6362779693488597	0	0	4.912328767123288	17.811340584772644	TRIB3;THBS1;PSMB9
Norovirus Hu/GII.4/Miranda/NSW850K/2011/AU VP1	3/58	0.026626599818358108	0.6362779693488597	0	0	4.912328767123288	17.811340584772644	TRIB3;THBS1;PSMB9
Yaba-like disease virus 140R protein (gene: 140R)	6/205	0.027166348108844822	0.6362779693488597	0	0	2.7329704075935233	9.854479851952066	ZBTB18;ENC1;RHOBTB3;TRIB3;ZBTB45;KBTBD8
Norovirus Hu/GII-4/CGMH18/2008/TW major viral capsid protein (gene: VP1)	3/59	0.027829485081529035	0.6362779693488597	0	0	4.824363992172211	17.279227705157616	TRIB3;THBS1;PSMB9
Norovirus Hu/GII-4/CGMH28/2010/TW major viral capsid protein (gene: VP1)	3/59	0.027829485081529035	0.6362779693488597	0	0	4.824363992172211	17.279227705157616	TRIB3;THBS1;PSMB9
Human alphaherpesvirus 2 helicase-primase helicase subunit (gene: UL5)	3/59	0.027829485081529035	0.6362779693488597	0	0	4.824363992172211	17.279227705157616	ABCC2;ABCB1;TRIB3
Macacine alphaherpesvirus 1 helicase-primase helicase subunit (gene: UL5)	3/60	0.029060902881535303	0.6362779693488597	0	0	4.739485700552752	16.770013977944874	ABCC2;ABCB1;TRIB3
Human adenovirus B3 protein IVa2 (gene: IVa2)	3/60	0.029060902881535303	0.6362779693488597	0	0	4.739485700552752	16.770013977944874	ABCC2;ABCB1;TRIB3
Yaba monkey tumor virus kelch-like protein	6/209	0.029476379880164875	0.6362779693488597	0	0	2.6785714285714284	9.439730406379644	ZBTB18;FRMD8;ENC1;RHOBTB3;ZBTB45;KBTBD8
Norovirus Hu/GII.4/Guangzhou/GZ2010-L88/CHN/2011 major viral capsid protein	3/61	0.030320792529477156	0.6362779693488597	0	0	4.657534246575342	16.28237448086243	TRIB3;THBS1;PSMB9
Norovirus Hu/GII.4/Guangzhou/GZ2010-L91/CHN/2011 major viral capsid protein	3/61	0.030320792529477156	0.6362779693488597	0	0	4.657534246575342	16.28237448086243	TRIB3;THBS1;PSMB9
Human gammaherpesvirus 4 hypothetical protein (gene: BHRF1)	2/29	0.04091913643111088	0.6362779693488597	0	0	6.65016835016835	21.25498506264714	BMF;BBC3
Human herpesvirus 4 type 2 BHRF1	2/29	0.04091913643111088	0.6362779693488597	0	0	6.65016835016835	21.25498506264714	BMF;BBC3
Hepatovirus A 3D mature peptide	2/29	0.04091913643111088	0.6362779693488597	0	0	6.65016835016835	21.25498506264714	ACBD7;TRIB3
Vaccinia virus Ankara 64.7k Kelch-like protein f1	5/176	0.046808798942726534	0.6362779693488597	0	0	2.641954348236182	8.088829573718844	ZBTB18;ENC1;RHOBTB3;ZBTB45;KBTBD8
Yaba monkey tumor virus monoglyceride lipase	2/33	0.05171049310264203	0.6362779693488597	0	0	5.790909090909091	17.15322029649881	NCEH1;ABHD14B
Cercopithecine betaherpesvirus 5 helicase-primase helicase subunit (gene: UL105)	3/77	0.05426641179168399	0.6362779693488597	0	0	3.647537948907812	10.628377762333741	ABCC2;ABCB1;TPM4
Human mastadenovirus B encapsidation protein IVa2 (gene: IVa2)	3/77	0.05426641179168399	0.6362779693488597	0	0	3.647537948907812	10.628377762333741	ABCC2;ABCB1;TRIB3
Yaba monkey tumor virus anti-apoptotic membrane protein	2/34	0.05455080181725413	0.6362779693488597	0	0	5.609659090909091	16.316382713799513	TPM4;BBC3
Vaccinia virus Kelch-like protein (gene: F3L)	6/245	0.05613003875904491	0.6362779693488597	0	0	2.2709205020920504	6.540442165571512	ZBTB18;ENC1;RHOBTB3;TRIB3;ZBTB45;KBTBD8
Vaccinia virus Ankara Kelch-like protein	6/245	0.05613003875904491	0.6362779693488597	0	0	2.2709205020920504	6.540442165571512	ZBTB18;ENC1;RHOBTB3;TRIB3;ZBTB45;KBTBD8
Guanarito mammarenavirus Z protein	2/35	0.057444935770007616	0.6362779693488597	0	0	5.4393939393939394	15.539959180844095	TRIB3;SMAD7
Horsepox virus HSPV008	5/187	0.05782422509333973	0.6362779693488597	0	0	2.480883172127412	7.071379077623161	ZBTB18;ENC1;RHOBTB3;ZBTB45;KBTBD8
Monkeypox virus Zaire-96-I-16 Kelch-like protein (gene: C9L)	6/248	0.05884482956090949	0.6362779693488597	0	0	2.242424242424242	6.352454446143641	ZBTB18;ENC1;RHOBTB3;TRIB3;ZBTB45;KBTBD8
Horsepox virus HSPV176 (kelch-like protein; Provisional)	5/188	0.05889335440277181	0.6362779693488597	0	0	2.4672005237843417	6.987178554926732	ZBTB18;ENC1;RHOBTB3;ZBTB45;KBTBD8
