Gene,Disease
AANAT,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, melanoma, Malignant neoplasm of breast"
ABCB1,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Carcinoma, Hematopoietic Neoplasms, Epithelial ovarian cancer, Brain Tumor, Esophagus Neoplasm, Anaplastic Carcinoma, Breast Cancer"
ABCC2,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of ovary, Hematopoietic Neoplasms, Epithelial ovarian cancer, Esophagus Neoplasm"
ACSL5,"Colorectal Carcinoma, Colorectal Cancer, Adenocarcinoma"
ACTA2,"Mammary Neoplasms, Breast Carcinoma, Adenocarcinoma, Malignant neoplasm of breast, Breast Cancer, Lymphocytic Leukemia"
ADAM15,"Colorectal Carcinoma, Mammary Neoplasms, Breast Carcinoma, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of stomach"
ADAMTS14,"Colorectal Carcinoma, Colorectal Cancer"
ADAMTS15,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, Dermatofibrosarcoma protuberans ORPHA:31112"
AFAP1L2,"Colorectal Carcinoma, Colorectal Cancer, Stomach Carcinoma, melanoma, Malignant neoplasm of stomach"
AMOTL2,"Chondrosarcoma ORPHA:55880, Papillary renal cell carcinoma ORPHA:319298, Hereditary papillary renal cell carcinoma ORPHA:47044, Dermatofibrosarcoma protuberans ORPHA:31112, Pediatric hepatocellular carcinoma ORPHA:33402"
APOBEC3B,"Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Epithelial ovarian cancer, Breast Cancer"
APOLD1,Adenocarcinoma
