Gene,Disease
AMOTL2,"Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118, Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255"
CCND1,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255
COL12A1,"Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118, Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255"
COL5A2,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118
KITLG,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118
LAMA3,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255
LIFR,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118
PLSCR4,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118
PRSS23,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118
RGL1,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118
SMAD6,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255
SNAI2,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255
