Gene,Disease
AMOTL2,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945, Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658, Myopathic Ehlers-Danlos syndrome ORPHA:536516, Autosomal recessive generalized dystrophic epidermolysis bullosa, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403"
CCND1,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Kindler epidermolysis bullosa ORPHA:2908, Autosomal recessive generalized dystrophic epidermolysis bullosa"
COL12A1,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Severe generalized junctional epidermolysis bullosa ORPHA:79404, Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945, Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658, Myopathic Ehlers-Danlos syndrome ORPHA:536516, Autosomal recessive generalized dystrophic epidermolysis bullosa, Familial primary localized cutaneous amyloidosis ORPHA:353220"
COL5A2,"Myopathic Ehlers-Danlos syndrome ORPHA:536516, Autosomal recessive generalized dystrophic epidermolysis bullosa"
CPA4,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Familial primary localized cutaneous amyloidosis ORPHA:353220"
EHF,"Severe generalized junctional epidermolysis bullosa ORPHA:79404, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403"
IL22RA1,"Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403"
ITGA2,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Autosomal recessive generalized dystrophic epidermolysis bullosa, Familial primary localized cutaneous amyloidosis ORPHA:353220, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403"
KITLG,"Kindler epidermolysis bullosa ORPHA:2908, Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945, Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658, Myopathic Ehlers-Danlos syndrome ORPHA:536516"
LAMA3,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403"
LIFR,"Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945, Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658, Myopathic Ehlers-Danlos syndrome ORPHA:536516"
PLK2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504
PLSCR4,"Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658"
PRSS23,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Familial primary localized cutaneous amyloidosis ORPHA:353220"
S100A14,"Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403"
SNAI2,"Myopathic Ehlers-Danlos syndrome ORPHA:536516, Autosomal recessive generalized dystrophic epidermolysis bullosa, Familial primary localized cutaneous amyloidosis ORPHA:353220"
THBS1,Familial primary localized cutaneous amyloidosis ORPHA:353220
