Gene,Disease,Category
AMOTL2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
AMOTL2,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
AMOTL2,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
AMOTL2,Chondrosarcoma ORPHA:55880,Cancer
AMOTL2,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
AMOTL2,Papillary renal cell carcinoma ORPHA:319298,Cancer
AMOTL2,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
AMOTL2,Hereditary papillary renal cell carcinoma ORPHA:47044,Cancer
AMOTL2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
AMOTL2,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Associated with Dysbiosis
AMOTL2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
AMOTL2,Dermatofibrosarcoma protuberans ORPHA:31112,Cancer
AMOTL2,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
AMOTL2,Pediatric hepatocellular carcinoma ORPHA:33402,Cancer
AMOTL2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
CCND1,Colorectal Carcinoma,Cancer
CCND1,Mammary Neoplasms,Cancer
CCND1,Ovarian Carcinoma,Cancer
CCND1,Breast Carcinoma,Cancer
CCND1,Invasive carcinoma of breast,Cancer
CCND1,Invasive Ductal Breast Carcinoma,Cancer
CCND1,Colorectal Cancer,Cancer
CCND1,Tumor Progression,Cancer
CCND1,Stomach Carcinoma,Cancer
CCND1,melanoma,Cancer
CCND1,Adenocarcinoma,Cancer
CCND1,Squamous cell carcinoma,Cancer
CCND1,Esophageal Neoplasms,Cancer
CCND1,Pre B-cell acute lymphoblastic leukemia,Cancer
CCND1,ovarian neoplasm,Cancer
CCND1,Malignant neoplasm of breast,Cancer
CCND1,Fibrosarcoma,Cancer
CCND1,Malignant neoplasm of stomach,Cancer
CCND1,Malignant neoplasm of esophagus,Cancer
CCND1,Malignant neoplasm of ovary,Cancer
CCND1,Carcinoma,Cancer
CCND1,Urologic Neoplasms,Cancer
CCND1,Hematopoietic Neoplasms,Cancer
CCND1,Epithelial ovarian cancer,Cancer
CCND1,Brain Tumor,Cancer
CCND1,Skin carcinoma,Cancer
CCND1,Cancer of Urinary Tract,Cancer
CCND1,Breast Carcinoma,Cancer
CCND1,Esophagus Neoplasm,Cancer
CCND1,Urinary Tract Cancer,Cancer
CCND1,Mammary Neoplasms,Cancer
CCND1,Anaplastic Carcinoma,Cancer
CCND1,Breast Cancer,Cancer
CCND1,Lymphocytic Leukemia,Cancer
CCND1,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
CCND1,Chondrosarcoma ORPHA:55880,Cancer
CCND1,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
CCND1,Hereditary papillary renal cell carcinoma ORPHA:47044,Cancer
CCND1,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Associated with Dysbiosis
CCND1,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
CCND1,Dermatofibrosarcoma protuberans ORPHA:31112,Cancer
CCND1,Pediatric hepatocellular carcinoma ORPHA:33402,Cancer
COL12A1,Colorectal Carcinoma,Cancer
COL12A1,Breast Carcinoma,Cancer
COL12A1,Colorectal Cancer,Cancer
COL12A1,Malignant neoplasm of breast,Cancer
COL12A1,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
COL12A1,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
COL12A1,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
COL12A1,Chondrosarcoma ORPHA:55880,Cancer
COL12A1,Papillary renal cell carcinoma ORPHA:319298,Cancer
COL12A1,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
COL12A1,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
COL12A1,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
COL12A1,Hereditary papillary renal cell carcinoma ORPHA:47044,Cancer
COL12A1,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
COL12A1,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Associated with Dysbiosis
COL12A1,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
COL12A1,Dermatofibrosarcoma protuberans ORPHA:31112,Cancer
COL12A1,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
COL12A1,Pediatric hepatocellular carcinoma ORPHA:33402,Cancer
COL12A1,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
COL5A2,Colorectal Carcinoma,Cancer
COL5A2,Colorectal Cancer,Cancer
COL5A2,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
COL5A2,Chondrosarcoma ORPHA:55880,Cancer
COL5A2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
COL5A2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
COL5A2,Dermatofibrosarcoma protuberans ORPHA:31112,Cancer
COL5A2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
CPA4,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
CPA4,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
EHF,Ovarian Carcinoma,Cancer
EHF,Tumor Progression,Cancer
EHF,Stomach Carcinoma,Cancer
EHF,Malignant neoplasm of stomach,Cancer
EHF,Epithelial ovarian cancer,Cancer
EHF,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
EHF,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
IL22RA1,Colorectal Carcinoma,Cancer
IL22RA1,Colorectal Cancer,Cancer
IL22RA1,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
IL22RA1,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
IL22RA1,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
ITGA2,Mammary Neoplasms,Cancer
ITGA2,Ovarian Carcinoma,Cancer
ITGA2,Breast Carcinoma,Cancer
ITGA2,Tumor Progression,Cancer
ITGA2,Stomach Carcinoma,Cancer
ITGA2,melanoma,Cancer
ITGA2,Adenocarcinoma,Cancer
ITGA2,Malignant neoplasm of breast,Cancer
ITGA2,Fibrosarcoma,Cancer
ITGA2,Malignant neoplasm of stomach,Cancer
ITGA2,Malignant neoplasm of ovary,Cancer
ITGA2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
ITGA2,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
ITGA2,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
ITGA2,Hereditary papillary renal cell carcinoma ORPHA:47044,Cancer
ITGA2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
ITGA2,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
ITGA2,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
ITGA2,Pediatric hepatocellular carcinoma ORPHA:33402,Cancer
KITLG,Colorectal Carcinoma,Cancer
KITLG,Mammary Neoplasms,Cancer
KITLG,Ovarian Carcinoma,Cancer
KITLG,Breast Carcinoma,Cancer
KITLG,Invasive carcinoma of breast,Cancer
KITLG,Colorectal Cancer,Cancer
KITLG,Tumor Progression,Cancer
KITLG,Stomach Carcinoma,Cancer
KITLG,melanoma,Cancer
KITLG,Adenocarcinoma,Cancer
KITLG,Squamous cell carcinoma,Cancer
KITLG,ovarian neoplasm,Cancer
KITLG,Malignant neoplasm of breast,Cancer
KITLG,Fibrosarcoma,Cancer
KITLG,Malignant neoplasm of stomach,Cancer
KITLG,Malignant neoplasm of ovary,Cancer
KITLG,Carcinoma,Cancer
KITLG,Anaplastic Carcinoma,Cancer
KITLG,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
KITLG,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
KITLG,Papillary renal cell carcinoma ORPHA:319298,Cancer
KITLG,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
KITLG,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
KITLG,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
KITLG,Hereditary papillary renal cell carcinoma ORPHA:47044,Cancer
KITLG,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
KITLG,Pediatric hepatocellular carcinoma ORPHA:33402,Cancer
LAMA3,Mammary Neoplasms,Cancer
LAMA3,Ovarian Carcinoma,Cancer
LAMA3,Stomach Carcinoma,Cancer
