Gene,Disease,Category
AMOTL2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
AMOTL2,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
AMOTL2,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
AMOTL2,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
AMOTL2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
AMOTL2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
AMOTL2,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
AMOTL2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
CCND1,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
CCND1,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
CCND1,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
COL12A1,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
COL12A1,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
COL12A1,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
COL12A1,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
COL12A1,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
COL12A1,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
COL12A1,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
COL12A1,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
COL12A1,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
COL5A2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
COL5A2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
COL5A2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
CPA4,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
CPA4,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
EHF,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
EHF,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
IL22RA1,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
IL22RA1,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
IL22RA1,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
ITGA2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
ITGA2,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
ITGA2,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
ITGA2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
ITGA2,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
ITGA2,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
KITLG,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
KITLG,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
KITLG,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
KITLG,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
KITLG,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
LAMA3,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
LAMA3,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
LAMA3,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
LAMA3,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
PLK2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
PRSS23,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
PRSS23,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
S100A14,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
S100A14,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
S100A14,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
SNAI2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
SNAI2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
SNAI2,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
THBS1,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
AMOTL2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
AMOTL2,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
AMOTL2,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
AMOTL2,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
AMOTL2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
AMOTL2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
AMOTL2,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
AMOTL2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
COL12A1,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
COL12A1,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
COL12A1,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
COL12A1,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
COL12A1,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
COL12A1,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
COL12A1,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
COL12A1,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
COL12A1,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
COL5A2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
COL5A2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
COL5A2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
LIFR,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
LIFR,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
LIFR,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
LIFR,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
LIFR,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
PCDH7,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
PLSCR4,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
PLSCR4,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
PLSCR4,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
