Id,Type
ADAM15,Gene
Adenocarcinoma,Disease
GRAMD1B,Gene
SPAG1,Gene
ACTA2,Gene
FHIT,Gene
Odonto-onycho-dermal dysplasia ORPHA:2721,Disease
AMOTL2,Gene
PADI3,Gene
SKIL,Gene
Retinal arterial tortuosity ORPHA:75326,Disease
GPR15,Gene
LIFR,Gene
Autosomal recessive infantile hypercalcemia ORPHA:300547,Disease
Hereditary breast cancer ORPHA:227535,Disease
Dermatofibrosarcoma protuberans ORPHA:31112,Disease
RTKN2,Gene
Invasive carcinoma of breast,Disease
Ondine syndrome ORPHA:661,Disease
Familial progressive hyper- and hypopigmentation ORPHA:280628,Disease
Craniosynostosis Boston type ORPHA:1541,Disease
RGL1,Gene
BOR syndrome ORPHA:107,Disease
Epithelioma,Disease
ISL1,Gene
ME1,Gene
FZD1,Gene
HYAL1,Gene
CPEB4,Gene
LAMA3,Gene
Acute inflammatory demyelinating polyradiculoneuropathy ORPHA:98916,Disease
Pediatric hepatocellular carcinoma ORPHA:33402,Disease
Cobblestone lissencephaly without muscular or ocular involvement ORPHA:352682,Disease
Congenital dyserythropoietic anemia type III ORPHA:98870,Disease
PLK2,Gene
CENPE,Gene
CPA4,Gene
RGS6,Gene
EFR3B,Gene
PSMB9,Gene
Mammary Neoplasms,Disease
CCND1,Gene
ITGA2,Gene
PDGFB,Gene
ZCCHC12,Gene
KCNN4,Gene
ovarian neoplasm,Disease
CEACAM19,Gene
Waardenburg syndrome type 2 ORPHA:895,Disease
Invasive Ductal Breast Carcinoma,Disease
Stomach Carcinoma,Disease
TRIB3,Gene
Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Disease
PLSCR4,Gene
LAMP3,Gene
Breast Cancer,Disease
SNCG,Gene
NOLC1,Gene
Congenital diaphragmatic hernia ORPHA:2140,Disease
PDE4B,Gene
Autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome ORPHA:476093,Disease
CA11,Gene
Epithelial ovarian cancer,Disease
Axenfeld anomaly ORPHA:98978,Disease
ENC1,Gene
Charcot-Marie-Tooth disease type 1E ORPHA:90658,Disease
Brachydactyly type A2 ORPHA:93396,Disease
Pontine autosomal dominant microangiopathy with leukoencephalopathy ORPHA:477749,Disease
Fibrosarcoma,Disease
Familial progressive hyperpigmentation ORPHA:79146,Disease
SIX2,Gene
EHF,Gene
Ulnar-mammary syndrome ORPHA:3138,Disease
Erythrokeratodermia variabilis ORPHA:317,Disease
GAL,Gene
AANAT,Gene
melanoma,Disease
SKAP1,Gene
PPP1R14B,Gene
Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Disease
Carcinoma Spindle-Cell,Disease
SUSD4,Gene
Neonatal inflammatory skin and bowel disease ORPHA:294023,Disease
Anaplastic Carcinoma,Disease
OIP5,Gene
NEU1,Gene
TPM4,Gene
SMAD6,Gene
Trichorhinophalangeal syndrome type 2 ORPHA:502,Disease
PLEKHD1,Gene
NR4A2,Gene
Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta ORPHA:566243,Disease
Breast Carcinoma,Disease
GLI2,Gene
Hematopoietic Neoplasms,Disease
Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Disease
PCDH7,Gene
Atrial septal defect ostium primum type ORPHA:99106,Disease
Filippi syndrome ORPHA:3255,Disease
RIN2 syndrome ORPHA:217335,Disease
Stromme syndrome ORPHA:506307,Disease
Malignant neoplasm of ovary,Disease
SPC25,Gene
Familial schizencephaly ORPHA:481986,Disease
IQGAP2,Gene
Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897,Disease
BMF,Gene
APOLD1,Gene
SMAD7,Gene
Cancer of Urinary Tract,Disease
BFSP1,Gene
SNAI2,Gene
Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069,Disease
FGF19,Gene
Chondrosarcoma ORPHA:55880,Disease
