Source,Target,Pvalue_Adjusted
AANAT,Colorectal Carcinoma,0.0034602840073026
AANAT,Breast Carcinoma,0.0042545616049287
AANAT,Colorectal Cancer,0.0149315928814189
AANAT,melanoma,0.0149315928814189
AANAT,Malignant neoplasm of breast,0.0191435238361999
AANAT,Malignant Neoplasms,0.0991201145654548
AANAT,Malignant neoplasm of large intestine,0.13167400689206
AANAT,Unipolar Depression,0.13167400689206
AANAT,Major Depressive Disorder,0.21122597829463
AANAT,Neoplasms,0.2714542429024338
AANAT,Primary malignant neoplasm,0.383941725017158
AANAT,Diabetes Mellitus Non-Insulin-Dependent,0.3933196962529684
AANAT,Shift-Work Sleep Disorder,0.3933196962529684
AANAT,Sleep Disorders Circadian Rhythm,0.3933196962529684
AANAT,Non-24 Hour Sleep-Wake Disorder,0.3933196962529684
AANAT,Nonorganic Sleep Wake Cycle Disorders,0.3933196962529684
AANAT,Asthma,0.3933196962529684
AANAT,Advanced Sleep Phase Syndrome,0.3941558617476422
AANAT,Autism Spectrum Disorders,0.3941558617476422
AANAT,Mental Depression,0.3941558617476422
AANAT,Delayed Sleep Phase Syndrome,0.3941558617476422
AANAT,Depressive disorder,0.3975960596292668
AANAT,Retinoblastoma,0.4115056600660309
AANAT,Depression Bipolar,0.4115056600660309
AANAT,Reticulocyte count (procedure),0.425419812815905
AANAT,Shift-Work Sleep Disorder,0.4286813331685578
AANAT,Non-24 Hour Sleep-Wake Disorder,0.4286813331685578
AANAT,Nonorganic Sleep Wake Cycle Disorders,0.4286813331685578
AANAT,Delayed Sleep Phase Syndrome,0.4286813331685578
AANAT,Advanced Sleep Phase Syndrome,0.4541466895915311
AANAT,Mental Depression,0.4560460337187313
AANAT,Bipolar Disorder,0.4875380732267193
ABCB1,Colorectal Carcinoma,0.0034602840073026
ABCB1,Mammary Neoplasms,0.0034602840073026
ABCB1,Ovarian Carcinoma,0.0034602840073026
ABCB1,Breast Carcinoma,0.0042545616049287
ABCB1,Invasive carcinoma of breast,0.0149002095788623
ABCB1,Epithelioma,0.0149002095788623
ABCB1,Colorectal Cancer,0.0149315928814189
ABCB1,Tumor Progression,0.0149315928814189
ABCB1,Stomach Carcinoma,0.0149315928814189
ABCB1,Retroviridae Infections,0.0149315928814189
ABCB1,melanoma,0.0149315928814189
ABCB1,Adenocarcinoma,0.0155921563748247
ABCB1,Proliferative vitreoretinopathy,0.0182265588252201
ABCB1,Squamous cell carcinoma,0.0182265588252201
ABCB1,Esophageal Neoplasms,0.0182265588252201
ABCB1,Malignant mesothelioma,0.0182265588252201
ABCB1,ovarian neoplasm,0.0191435238361999
ABCB1,Malignant neoplasm of breast,0.0191435238361999
ABCB1,Fibrosarcoma,0.0191435238361999
ABCB1,Malignant neoplasm of stomach,0.0191435238361999
ABCB1,Carcinogenesis,0.0228075668512991
ABCB1,Malignant neoplasm of esophagus,0.0248454592431097
ABCB1,Malignant neoplasm of ovary,0.0277695594716545
ABCB1,Carcinoma Spindle-Cell,0.0308703957553632
ABCB1,Hematopoietic Neoplasms,0.0334891258932371
ABCB1,Medulloblastoma,0.0354767239335874
ABCB1,Epithelial ovarian cancer,0.0387439397151409
ABCB1,Brain Tumor Primary,0.044151975756427
ABCB1,Malignant neoplasm of prostate,0.0569142010728473
ABCB1,Carcinoma,0.0593779966354549
ABCB1,Central neuroblastoma,0.0593779966354549
ABCB1,Carcinomatosis,0.0617471306652618
ABCB1,Primary malignant neoplasm of brain,0.064548079316548
ABCB1,Mammary Neoplasms Human,0.064548079316548
ABCB1,Brain Neoplasms,0.064548079316548
ABCB1,Neoplasm Metastasis,0.0648809611869375
ABCB1,Mucoepidermoid Carcinoma,0.0648809611869375
ABCB1,Renal Cell Carcinoma,0.0648809611869375
ABCB1,Neuroblastoma,0.0688152422187159
ABCB1,Malignant neoplasm of pancreas,0.0726340460169901
ABCB1,Glioma,0.0739788831250619
