Id,Type
Pointed front tooth,Disease
Ptosis,Disease
Primary hypereosinophilic syndrome ORPHA:314950,Disease
Human parvovirus 4 G1 ORF2,Pathogen
Spinocerebellar ataxia type 31 ORPHA:217012,Disease
SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME,Disease
Renal dysplasia,Disease
Human T-lymphotropic virus 2 Gag-Pro-Pol,Pathogen
Abnormality of the metacarpal bones,Disease
Vaccinia virus Ankara Profilin-1-like,Pathogen
Precancerous Conditions,Disease
Hernia,Disease
TRIM6,Gene
Human parechovirus 3 full_polyprotein 1..2177,Pathogen
Echovirus 9 strain Hill polyprotein region 11,Pathogen
Echovirus E15 VP3,Pathogen
ALK-positive large B-cell lymphoma ORPHA:364043,Disease
Rabies (disorder),Disease
Acidosis Lactic,Disease
HS3ST1,Gene
Hyperkeratosis,Disease
Abnormality of cardiovascular system morphology,Disease
Schwartz-Jampel syndrome ORPHA:800,Disease
Hypotension Orthostatic,Disease
Ovarian Endometrioid Carcinoma,Disease
Human enteric coronavirus strain 4408 nucleocapsid protein,Pathogen
Asthma chronic,Disease
Leukoplakia Oral,Disease
Congenital ptosis ORPHA:91411,Disease
PADI3,Gene
Shprintzen-Goldberg syndrome ORPHA:2462,Disease
Recurrent infection due to specific granule deficiency ORPHA:169142,Disease
Gliosarcoma ORPHA:251576,Disease
Primary ciliary dyskinesia ORPHA:244,Disease
Cardiomyopathy Hypertrophic Familial,Disease
Bradykinesia,Disease
Adenocarcinoma Basal Cell,Disease
Adenomatous polyp of colon,Disease
Trichomegaly-retina pigmentary degeneration-dwarfism syndrome ORPHA:3363,Disease
Echovirus E33 VP3,Pathogen
Coxsackievirus B5 polyprotein region 11 (gene: 1A),Pathogen
DOORS syndrome ORPHA:79500,Disease
Metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome ORPHA:2504,Disease
Pathologic Neovascularization,Disease
Merkel cell polyomavirus large T antigen,Pathogen
Seizures Sensory,Disease
CLN13 disease ORPHA:352709,Disease
Human papillomavirus type 32 early protein (gene: E2),Pathogen
Mohr-Tranebjaerg syndrome ORPHA:52368,Disease
Immunoblastic Large-Cell Lymphoma,Disease
Human rhinovirus A61 1D,Pathogen
Norovirus Hu/GII.14/8610/Saga/2008/JPN full_polyprotein 1..1697,Pathogen
Human herpesvirus 4 type 2 BALF1,Pathogen
Seminoma,Disease
Human papillomavirus type 6 E5B (gene: E5B),Pathogen
Vogt-Koyanagi-Harada disease ORPHA:3437,Disease
Osteosarcoma ORPHA:668,Disease
Variola virus hypothetical protein (gene: D6L),Pathogen
3-Methylglutaconic aciduria type 2,Disease
Storage disease,Disease
Anemia,Disease
TRAK2,Gene
Childhood Brain Neoplasm,Disease
Cushing Syndrome,Disease
Hypercalcemia Infantile,Disease
Turner Syndrome Male,Disease
SPAG1,Gene
Degenerative Diseases Spinal Cord,Disease
Cortical Dysplasia,Disease
pediatric AIDS,Disease
Cardiovascular Abnormalities,Disease
Aneurysm-osteoarthritis syndrome ORPHA:284984,Disease
Autosomal dominant generalized epidermolysis bullosa simplex intermediate form ORPHA:79399,Disease
Aortic aneurysm without mention of rupture NOS,Disease
Human papillomavirus 15 early protein (gene: E2),Pathogen
NIK deficiency ORPHA:447731,Disease
Sarcomatoid Renal Cell Carcinoma,Disease
CNS disorder,Disease
Thrombocythemia Essential,Disease
Isolated sedoheptulokinase deficiency ORPHA:440713,Disease
CYP4F2,Gene
Cannabis Dependence,Disease
Lupus Nephritis,Disease
Human rhinovirus A9 1D,Pathogen
