Gene,Category
AMOTL2,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases"
CCND1,"Associated with Dysbiosis, Cancer, Rare Diseases"
COL12A1,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases"
COL5A2,"Associated with Dysbiosis, Cancer, Neurological Diseases, Rare Diseases"
EHF,"Cancer, Rare Diseases"
IL22RA1,"Cancer, Rare Diseases"
ITGA2,"Cancer, Rare Diseases"
KITLG,"Associated with Dysbiosis, Cancer, Rare Diseases"
LAMA3,"Associated with Dysbiosis, Cancer, Rare Diseases"
LIFR,"Associated with Dysbiosis, Cancer, Neurological Diseases"
PLK2,"Cancer, Rare Diseases"
PLSCR4,"Associated with Dysbiosis, Cancer, Neurological Diseases"
PRSS23,"Associated with Dysbiosis, Cancer, Rare Diseases"
RGL1,"Associated with Dysbiosis, Cancer"
S100A14,"Cancer, Rare Diseases"
SMAD6,"Associated with Dysbiosis, Cancer"
SNAI2,"Associated with Dysbiosis, Cancer, Rare Diseases"
THBS1,"Cancer, Rare Diseases"
