Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pancreatic Neoplasm	2/144	3.0596902992034974E-4	0.017390970740873438	0	0	139.81690140845072	1131.4020951900786	SLC12A3;CXCL8
Cholestasis	2/185	5.044025015081611E-4	0.017390970740873438	0	0	108.26775956284153	821.9835544222173	EGR1;CXCL8
Hypermagnesemia	1/7	0.0013993412035435105	0.017390970740873438	0	0	1110.5555555555557	7298.29760572189	SLC12A3
Isolated Microphthalmia-Anophthalmia-Coloboma	1/7	0.0013993412035435105	0.017390970740873438	0	0	1110.5555555555557	7298.29760572189	ALDH1A3
Nocturia	1/8	0.001599128450752814	0.017390970740873438	0	0	951.8571428571429	6128.338526995007	SLC12A3
Mitochondrial Encephalopathy	1/8	0.001599128450752814	0.017390970740873438	0	0	951.8571428571429	6128.338526995007	SLC12A3
Stomach Neoplasms	2/333	0.0016220171811421652	0.017390970740873438	0	0	59.41087613293051	381.66050220775827	ALDH1A3;CXCL8
Hypomagnesemia	1/9	0.0017988858466888103	0.017390970740873438	0	0	832.8333333333334	5263.9961892645415	SLC12A3
Conn Syndrome	1/10	0.0019986133767566044	0.017390970740873438	0	0	740.2592592592592	4600.934595868677	SLC12A3
Bartter Syndrome	1/10	0.0019986133767566044	0.017390970740873438	0	0	740.2592592592592	4600.934595868677	SLC12A3
Microphthalmia	1/11	0.002198311030839341	0.017390970740873438	0	0	666.2	4077.18792037783	ALDH1A3
Hypokalemia	1/12	0.0023979788011638326	0.017390970740873438	0	0	605.6060606060606	3653.699524747979	SLC12A3
Metabolic Alkalosis	1/12	0.0023979788011638326	0.017390970740873438	0	0	605.6060606060606	3653.699524747979	SLC12A3
Gastric Cancer	2/411	0.002459329195679072	0.017390970740873438	0	0	47.88997555012225	287.71658702030226	ALDH1A3;CXCL8
Intrahepatic Cholestasis	1/16	0.0031963509494465996	0.017889847388331895	0	0	444.02222222222224	2551.238662207853	EGR1
Barrett Epithelium	1/16	0.0031963509494465996	0.017889847388331895	0	0	444.02222222222224	2551.238662207853	CXCL8
Delirium	1/17	0.0033958692395375514	0.017889847388331895	0	0	416.25	2366.4626333406177	CXCL8
Oral Submucous Fibrosis	1/18	0.003595357627375994	0.017889847388331895	0	0	391.7450980392157	2204.7852142154165	CXCL8
Parathyroid Adenoma	1/18	0.003595357627375994	0.017889847388331895	0	0	391.7450980392157	2204.7852142154165	SLC12A3
Down Syndrome	1/19	0.0037948161126764622	0.017889847388331895	0	0	369.962962962963	2062.2177011886433	CXCL8
Trisomy 21	1/19	0.0037948161126764622	0.017889847388331895	0	0	369.962962962963	2062.2177011886433	CXCL8
Chondrocalcinosis	1/21	0.004193643376627536	0.018300109999614372	0	0	332.93333333333334	1822.5387864867646	SLC12A3
Hashimoto Disease	1/23	0.004592351033521324	0.018300109999614372	0	0	302.6363636363636	1629.2014564159526	SLC12A3
Raynaud Phenomenon	1/24	0.004791660011821214	0.018300109999614372	0	0	289.463768115942	1545.9907779727164	SLC12A3
Hepatolenticular Degeneration	1/24	0.004791660011821214	0.018300109999614372	0	0	289.463768115942	1545.9907779727164	CXCL8
Liver Carcinoma	2/581	0.004861858306731097	0.018300109999614372	0	0	33.53540587219344	178.62079082841453	EGR1;CXCL8
Focal Seizures	1/25	0.00499093909080392	0.018300109999614372	0	0	277.3888888888889	1470.1975024182984	SLC12A3
Prostatic Neoplasms	2/618	0.005487591044463385	0.01907831372141942	0	0	31.461038961038962	163.76307358047612	EGR1;CXCL8
Iron Deficiency Anemia	1/28	0.005588596948698618	0.01907831372141942	0	0	246.53086419753086	1278.7622529681282	SLC12A3
Pericardial Effusion	1/31	0.0061859857715872765	0.01975524488345614	0	0	221.84444444444443	1128.183023929502	SLC12A3
Bright Disease	1/31	0.0061859857715872765	0.01975524488345614	0	0	221.84444444444443	1128.183023929502	CXCL8
Barrett Esophagus	1/34	0.0067831056106472404	0.020349316831941723	0	0	201.64646464646464	1006.8853706700453	CXCL8
Keratitis	1/34	0.0067831056106472404	0.020349316831941723	0	0	201.64646464646464	1006.8853706700453	CXCL8
Behcet Syndrome	1/38	0.00757884707428762	0.02206781942219042	0	0	179.8108108108108	877.9072583460236	CXCL8
Mesothelioma	1/43	0.008572851807857029	0.024248923685081313	0	0	158.36507936507937	753.6839332107746	EGR1
Vulval Varices	1/45	0.008970244665779415	0.024658930898158165	0	0	151.15151515151516	712.5044099532315	SLC12A3
Prostate Cancer	2/814	0.009397847885723096	0.024658930898158165	0	0	23.625615763546797	110.26723551785553	EGR1;CXCL8
Ventricular Fibrillation	1/48	0.009566110051223143	0.024658930898158165	0	0	141.4822695035461	657.8258626058753	SLC12A3
Psoriatic Arthritis	1/49	0.009764672150221917	0.024658930898158165	0	0	138.52777777777777	641.2429069487843	CXCL8
Thyroid Gland Follicular Adenoma	1/50	0.009963204403296228	0.024658930898158165	0	0	135.69387755102042	625.3936138885244	CXCL8
Hypoplasia Of The Optic Nerve	1/54	0.010757035030210377	0.025974304097337253	0	0	125.42767295597484	568.4627119975241	ALDH1A3
Thyroid Neoplasm	1/59	0.01174865214265672	0.027693251479119413	0	0	114.58620689655173	509.2230234816941	CXCL8
Graves Disease	1/61	0.012145090247431321	0.0279619519650163	0	0	110.75555555555556	488.52395875680094	SLC12A3
Cerebral Ischemia	1/67	0.013333689173978527	0.02976970633371556	0	0	100.65656565656566	434.58083948016025	EGR1
Vascular Diseases	1/68	0.013531684697143435	0.02976970633371556	0	0	99.14925373134328	426.61160877153185	SLC12A3
Alveolitis	1/83	0.01649804407439727	0.03443459923173387	0	0	80.95121951219512	332.2653689617683	CXCL8
Giant Cell Glioblastoma	1/84	0.016695563263870967	0.03443459923173387	0	0	79.9718875502008	327.29392805738144	CXCL8
