Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Epstein-Barr Virus Infections	3/234	6.270267096516998E-6	0.005071782906145557	0	0	256.68831168831167	3075.046812660079	EGR1;SLC12A3;CXCL8
Kaposi Sarcoma	3/323	1.649413218688848E-5	0.005071782906145557	0	0	184.4625	2031.3943631860877	EGR1;SLC12A3;CXCL8
Renal interstitial fibrosis	2/34	1.679398313293231E-5	0.005071782906145557	0	0	623.875	6859.187375478519	EGR1;CXCL8
Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome	2/40	2.334065334170721E-5	0.005286657981896683	0	0	525.2105263157895	5601.535147297049	EGR1;CXCL8
Vascular Diseases	3/401	3.1525233259047556E-5	0.005712372266539417	0	0	147.72361809045225	1531.1142752558173	EGR1;SLC12A3;CXCL8
Duodenal Ulcer	2/71	7.420797022969592E-5	0.011205403504684084	0	0	288.7971014492754	2746.067381368719	EGR1;CXCL8
Paroxysmal kinesigenic choreoathetosis	2/80	9.430853535391081E-5	0.01155538869347463	0	0	255.35897435897436	2366.9067205973074	EGR1;CXCL8
Kidney Diseases	3/639	1.2676349307780028E-4	0.01155538869347463	0	0	91.32075471698113	819.4382516939089	EGR1;SLC12A3;CXCL8
Ischemia of kidney	2/99	1.4459231219741042E-4	0.01155538869347463	0	0	205.1443298969072	1813.8025513292723	EGR1;CXCL8
Non-Small Cell Lung Carcinoma	4/2243	1.5781533447203308E-4	0.01155538869347463	0	0	71028.0	621785.1477921683	EGR1;ALDH1A3;SLC12A3;CXCL8
Enterovirus Infections	2/104	1.5959146051261374E-4	0.01155538869347463	0	0	195.0392156862745	1705.2070676522392	EGR1;CXCL8
M5b Acute differentiated monocytic leukemia	2/105	1.6267947008315154E-4	0.01155538869347463	0	0	193.1359223300971	1684.8653952660836	EGR1;CXCL8
Hyperalgesia, Thermal	2/109	1.7532524303600028E-4	0.01155538869347463	0	0	185.8785046728972	1607.638609565469	EGR1;CXCL8
Reperfusion Injury	2/110	1.785600901861422E-4	0.01155538869347463	0	0	184.14814814814815	1589.3063140007469	EGR1;CXCL8
Malignant neoplasm of stomach	4/2398	2.0620773053226898E-4	0.012454946924149047	0	0	70408.0	597526.3983745133	EGR1;ALDH1A3;SLC12A3;CXCL8
precancerous lesions	2/132	2.571416608104451E-4	0.014560646543391455	0	0	152.8153846153846	1263.154153333199	EGR1;CXCL8
Encephalitis	2/144	3.0596902992034974E-4	0.016276336360805038	0	0	139.81690140845072	1131.4020951900786	EGR1;CXCL8
Pulmonary Hypertension	2/151	3.363906377560332E-4	0.016276336360805038	0	0	133.2013422818792	1065.2427643444441	EGR1;CXCL8
Cachexia	2/153	3.453445696314992E-4	0.016276336360805038	0	0	131.42384105960264	1047.575216645913	EGR1;CXCL8
Allergic rhinitis (disorder)	2/163	3.9185893466919857E-4	0.016276336360805038	0	0	123.19875776397515	966.4460400208977	EGR1;CXCL8
androgen independent prostate cancer	2/163	3.9185893466919857E-4	0.016276336360805038	0	0	123.19875776397515	966.4460400208977	EGR1;CXCL8
Irritable Bowel Syndrome	2/167	4.1127799138912876E-4	0.016276336360805038	0	0	120.18787878787879	937.0136916294886	EGR1;CXCL8
Fibrosis	2/169	4.2116161089560003E-4	0.016276336360805038	0	0	118.73652694610779	922.878934255142	EGR1;CXCL8
Coinfection	2/171	4.311612281007957E-4	0.016276336360805038	0	0	117.31952662721893	909.1123505944175	EGR1;CXCL8
Ulcer	2/184	4.989829092599841E-4	0.016455171511582184	0	0	108.86813186813187	827.7177343681807	EGR1;CXCL8
Tuberous Sclerosis	2/197	5.716904815197441E-4	0.016455171511582184	0	0	101.54358974358975	758.217132986024	SLC12A3;CXCL8
Arteriosclerosis	3/1087	6.144506011134141E-4	0.016455171511582184	0	0	52.33948339483395	387.0390707933567	EGR1;SLC12A3;CXCL8
Colorectal cancer metastatic	2/208	6.370188433556973E-4	0.016455171511582184	0	0	96.06796116504854	706.9363934513171	EGR1;CXCL8
synovial sarcoma	2/217	6.930588591693363E-4	0.016455171511582184	0	0	92.0046511627907	669.2782322216302	EGR1;SLC12A3
Atherosclerosis	3/1134	6.964483205563837E-4	0.016455171511582184	0	0	50.03978779840849	363.76508638896723	EGR1;SLC12A3;CXCL8
Malignant neoplasm of urinary bladder	3/1144	7.147724522594592E-4	0.016455171511582184	0	0	49.5749342681858	359.0983324104059	EGR1;ALDH1A3;CXCL8
Pulmonary Emphysema	2/225	7.448249985604983E-4	0.016455171511582184	0	0	88.66816143497758	638.6201316630157	EGR1;CXCL8
Carcinoma of bladder	3/1162	7.485477544265374E-4	0.016455171511582184	0	0	48.75841242450388	350.93260573206135	EGR1;ALDH1A3;CXCL8
Anemia, Sickle Cell	2/231	7.848538389440871E-4	0.016455171511582184	0	0	86.31877729257641	617.1803840972816	EGR1;CXCL8
Adenocarcinoma of lung (disorder)	3/1187	7.971704482113273E-4	0.016455171511582184	0	0	47.66554054054054	340.06703628183004	EGR1;SLC12A3;CXCL8
Chronic myeloproliferative disorder	2/233	7.984259125026039E-4	0.016455171511582184	0	0	85.56277056277057	610.30798047735	EGR1;CXCL8
Bladder Neoplasm	3/1217	8.581958561369667E-4	0.016455171511582184	0	0	46.41350906095552	327.7108522605955	EGR1;ALDH1A3;CXCL8
Diabetic Retinopathy	2/247	8.9663335722793E-4	0.016455171511582184	0	0	80.61632653061224	565.6737609747423	SLC12A3;CXCL8
Diabetes	3/1268	9.688235522014745E-4	0.016455171511582184	0	0	44.421343873517785	308.25871993116095	EGR1;SLC12A3;CXCL8
