Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Charcot-Marie-Tooth disease type 1D ORPHA:101084	2/101	1.505037678013201E-4	0.0029348234721257417	0	0	200.97979797979798	1768.9282016775458	EGR1;CXCL8
Charcot-Marie-Tooth disease type 4E ORPHA:99951	2/101	1.505037678013201E-4	0.0029348234721257417	0	0	200.97979797979798	1768.9282016775458	EGR1;CXCL8
Intermediate generalized junctional epidermolysis bullosa ORPHA:79402	1/100	0.01985182675975813	0.021586976956947286	0	0	66.993265993266	262.5773759432504	ALDH1A3
Severe generalized junctional epidermolysis bullosa ORPHA:79404	1/100	0.01985182675975813	0.021586976956947286	0	0	66.993265993266	262.5773759432504	ALDH1A3
Exfoliative ichthyosis ORPHA:289586	1/100	0.01985182675975813	0.021586976956947286	0	0	66.993265993266	262.5773759432504	CXCL8
Kindler epidermolysis bullosa ORPHA:2908	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	ALDH1A3
Osteofibrous dysplasia ORPHA:488265	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	ALDH1A3
Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	ALDH1A3
UMOD-related autosomal dominant tubulointerstitial kidney disease ORPHA:88950	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	SLC12A3
Cryptogenic multifocal ulcerous stenosing enteritis ORPHA:468635	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	CXCL8
Arnold-Chiari malformation type I ORPHA:268882	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	ALDH1A3
Hereditary papillary renal cell carcinoma ORPHA:47044	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	ALDH1A3
Hereditary pediatric Behcet-like disease ORPHA:476102	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	CXCL8
Alopecia universalis ORPHA:701	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	ALDH1A3
Cytosolic phospholipase-A2 alpha deficiency associated bleeding disorder ORPHA:477787	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	CXCL8
Branchio-oculo-facial syndrome ORPHA:1297	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	ALDH1A3
Laryngo-onycho-cutaneous syndrome ORPHA:2407	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	ALDH1A3
Atrichia with papular lesions ORPHA:86819	1/101	0.020048840655282372	0.021586976956947286	0	0	66.32	259.28360753618125	ALDH1A3
