Source,Target,Pvalue_Adjusted
ALDH1A3,Non-Small Cell Lung Carcinoma,0.0115553886934746
ALDH1A3,Malignant neoplasm of stomach,0.012454946924149
ALDH1A3,Malignant neoplasm of urinary bladder,0.0164551715115821
ALDH1A3,Carcinoma of bladder,0.0164551715115821
ALDH1A3,Bladder Neoplasm,0.0164551715115821
ALDH1A3,Malignant Pleural Mesothelioma,0.0164551715115821
ALDH1A3,Hereditary Diffuse Gastric Cancer,0.0164551715115821
ALDH1A3,MICROPHTHALMIA ISOLATED 1,0.0164551715115821
ALDH1A3,Carcinoma breast stage IV,0.0164551715115821
ALDH1A3,Adenocarcinoma,0.0164551715115821
ALDH1A3,Rheumatoid Arthritis,0.0164551715115821
ALDH1A3,Malignant neoplasm of pancreas,0.0164551715115821
ALDH1A3,Pancreatic carcinoma,0.0165450527937978
ALDH1A3,Breast Carcinoma,0.0175222857405647
ALDH1A3,Polycystic Ovary Syndrome,0.0175222857405647
ALDH1A3,Malignant neoplasm of breast,0.0175222857405647
ALDH1A3,Autism Spectrum Disorders,0.0175222857405647
ALDH1A3,Glioma,0.0177325130049739
ALDH1A3,Congenital Abnormality,0.0180177241592742
ALDH1A3,Primary malignant neoplasm of lung,0.0180177241592742
ALDH1A3,Triple Negative Breast Neoplasms,0.0184493835527021
ALDH1A3,Hypoplasia of the optic nerve,0.0184493835527021
ALDH1A3,Mammary Neoplasms,0.0186816770301935
ALDH1A3,Autistic Disorder,0.0187362612294097
ALDH1A3,Meckel syndrome type 1,0.0187362612294097
ALDH1A3,Malignant neoplasm of lung,0.0187362612294097
ALDH1A3,melanoma,0.0187362612294097
ALDH1A3,Carcinoma of lung,0.0189414738389434
ALDH1A3,Choanal Atresia,0.0208289988964622
ALDH1A3,Stomach Neoplasms,0.022348925662808
ALDH1A3,Anophthalmos,0.0236888038230127
ALDH1A3,Low grade glioma,0.0249620484634904
ALDH1A3,Prostate carcinoma,0.0260777008127371
ALDH1A3,Primary malignant neoplasm,0.0273022996303848
ALDH1A3,Malignant neoplasm of prostate,0.0273022996303848
ALDH1A3,Glioblastoma IDH-Wildtype,0.0280140724995506
ALDH1A3,Respiratory distress,0.0336323236934447
ALDH1A3,Congenital ocular coloboma (disorder),0.0341777439157266
ALDH1A3,Pervasive Development Disorder,0.0376442018078108
ALDH1A3,Neoplasm Metastasis,0.0377659381579648
ALDH1A3,Malignant Neoplasms,0.0401691006732901
ALDH1A3,Abnormally small eyeball,0.0406115821951044
ALDH1A3,Decreased size of eyeball,0.0406115821951044
ALDH1A3,Cyst,0.044998363467988
ALDH1A3,Developmental delay (disorder),0.0494562333473772
ALDH1A3,Isolated Microphthalmia-Anophthalmia-Coloboma,0.0173909707408734
ALDH1A3,Stomach Neoplasms,0.0173909707408734
ALDH1A3,Microphthalmia,0.0173909707408734
ALDH1A3,Gastric Cancer,0.0173909707408734
ALDH1A3,Hypoplasia Of The Optic Nerve,0.0259743040973372
ALDH1A3,Intermediate generalized junctional epidermolysis bullosa ORPHA:79402,0.0215869769569472
ALDH1A3,Severe generalized junctional epidermolysis bullosa ORPHA:79404,0.0215869769569472
ALDH1A3,Kindler epidermolysis bullosa ORPHA:2908,0.0215869769569472
ALDH1A3,Osteofibrous dysplasia ORPHA:488265,0.0215869769569472
ALDH1A3,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,0.0215869769569472
ALDH1A3,Arnold-Chiari malformation type I ORPHA:268882,0.0215869769569472
ALDH1A3,Hereditary papillary renal cell carcinoma ORPHA:47044,0.0215869769569472
ALDH1A3,Alopecia universalis ORPHA:701,0.0215869769569472
ALDH1A3,Branchio-oculo-facial syndrome ORPHA:1297,0.0215869769569472
ALDH1A3,Laryngo-onycho-cutaneous syndrome ORPHA:2407,0.0215869769569472
ALDH1A3,Atrichia with papular lesions ORPHA:86819,0.0215869769569472
ALDH1A3,Autosomal recessive nail dysplasia ORPHA:280654,0.0215869769569472
ALDH1A3,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,0.0215869769569472
ALDH1A3,Brachydactyly type E ORPHA:93387,0.0215869769569472
ALDH1A3,Juvenile Paget disease ORPHA:2801,0.0215869769569472
ALDH1A3,Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289,0.0215869769569472
ALDH1A3,Griscelli syndrome type 3 ORPHA:79478,0.0215869769569472
ALDH1A3,Erythrokeratodermia variabilis ORPHA:317,0.0215869769569472
ALDH1A3,Isolated microphthalmia-anophthalmia-coloboma ORPHA:2542,0.0215869769569472
ALDH1A3,Cleft lip/palate ORPHA:199306,0.0216238829599905
CXCL8,Epstein-Barr Virus Infections,0.0050717829061455
CXCL8,Kaposi Sarcoma,0.0050717829061455
CXCL8,Renal interstitial fibrosis,0.0050717829061455
CXCL8,Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,0.0052866579818966
CXCL8,Vascular Diseases,0.0057123722665394
CXCL8,Duodenal Ulcer,0.011205403504684
CXCL8,Paroxysmal kinesigenic choreoathetosis,0.0115553886934746
CXCL8,Kidney Diseases,0.0115553886934746
CXCL8,Ischemia of kidney,0.0115553886934746
CXCL8,Non-Small Cell Lung Carcinoma,0.0115553886934746
CXCL8,Enterovirus Infections,0.0115553886934746
CXCL8,M5b Acute differentiated monocytic leukemia,0.0115553886934746
CXCL8,Hyperalgesia Thermal,0.0115553886934746
CXCL8,Reperfusion Injury,0.0115553886934746
CXCL8,Malignant neoplasm of stomach,0.012454946924149
CXCL8,precancerous lesions,0.0145606465433914
CXCL8,Encephalitis,0.016276336360805
CXCL8,Pulmonary Hypertension,0.016276336360805
CXCL8,Cachexia,0.016276336360805
CXCL8,Allergic rhinitis (disorder),0.016276336360805
CXCL8,androgen independent prostate cancer,0.016276336360805
CXCL8,Irritable Bowel Syndrome,0.016276336360805
CXCL8,Fibrosis,0.016276336360805
CXCL8,Coinfection,0.016276336360805
CXCL8,Ulcer,0.0164551715115821
CXCL8,Tuberous Sclerosis,0.0164551715115821
CXCL8,Arteriosclerosis,0.0164551715115821
CXCL8,Colorectal cancer metastatic,0.0164551715115821
CXCL8,Atherosclerosis,0.0164551715115821
CXCL8,Malignant neoplasm of urinary bladder,0.0164551715115821
CXCL8,Pulmonary Emphysema,0.0164551715115821
CXCL8,Carcinoma of bladder,0.0164551715115821
CXCL8,Anemia Sickle Cell,0.0164551715115821
CXCL8,Adenocarcinoma of lung (disorder),0.0164551715115821
CXCL8,Chronic myeloproliferative disorder,0.0164551715115821
CXCL8,Bladder Neoplasm,0.0164551715115821
CXCL8,Diabetic Retinopathy,0.0164551715115821
CXCL8,Diabetes,0.0164551715115821
CXCL8,Malignant Pleural Mesothelioma,0.0164551715115821
CXCL8,Pancreatitis,0.0164551715115821
CXCL8,Hypertensive disease,0.0164551715115821
CXCL8,Bacteriuria,0.0164551715115821
CXCL8,Megakaryocytic hyperplasia,0.0164551715115821
CXCL8,Myeloid Metaplasia,0.0164551715115821
CXCL8,Neonatal Early-Onset Sepsis,0.0164551715115821
CXCL8,Chronic Alcoholic Hepatitis,0.0164551715115821
CXCL8,Lesion of stomach,0.0164551715115821
CXCL8,Aortic Aneurysm Abdominal,0.0164551715115821
CXCL8,Anoxia,0.0164551715115821
CXCL8,Idiopathic pulmonary arterial hypertension,0.0164551715115821
CXCL8,Epithelioma,0.0164551715115821
CXCL8,Fibrosarcoma,0.0164551715115821
CXCL8,Hereditary Diffuse Gastric Cancer,0.0164551715115821
CXCL8,Bacterial keratitis,0.0164551715115821
CXCL8,Meningeal Neoplasms,0.0164551715115821
CXCL8,Fetid chronic bronchitis,0.0164551715115821
CXCL8,Bronchial Diseases,0.0164551715115821
CXCL8,Bronchiolitis Obliterans Organizing Pneumonia,0.0164551715115821
CXCL8,Bullous keratopathy,0.0164551715115821
CXCL8,Chiari malformation type II,0.0164551715115821
CXCL8,Hemorrhagic colitis,0.0164551715115821
CXCL8,Nose symptoms,0.0164551715115821
CXCL8,Temporomandibular Joint Dysfunction Syndrome,0.0164551715115821
CXCL8,Ulcerative colitis in remission,0.0164551715115821
CXCL8,Incontinence,0.0164551715115821
CXCL8,Fibroid Tumor,0.0164551715115821
CXCL8,Cholestasis,0.0164551715115821
CXCL8,Juvenile arthritis,0.0164551715115821
CXCL8,Diarrhea,0.0164551715115821
CXCL8,Aseptic Meningitis,0.0164551715115821
CXCL8,Bronchiolitis Viral,0.0164551715115821
CXCL8,fertility disorders,0.0164551715115821
CXCL8,Gram-Positive Bacterial Infections,0.0164551715115821
CXCL8,Rhinitis Allergic Perennial,0.0164551715115821
CXCL8,Peritonsillar Abscess,0.0164551715115821
CXCL8,Infection - suppurative,0.0164551715115821
CXCL8,Acute respiratory infections,0.0164551715115821
CXCL8,Diabetes Mellitus,0.0164551715115821
CXCL8,Uterine Fibroids,0.0164551715115821
CXCL8,Seronegative rheumatoid arthritis,0.0164551715115821
CXCL8,Chondromalacia,0.0164551715115821
CXCL8,TIBIAL MUSCULAR DYSTROPHY TARDIVE,0.0164551715115821
CXCL8,Pericytic Neoplasm,0.0164551715115821
CXCL8,Vaginal Diseases,0.0164551715115821
CXCL8,psychosocial stressor,0.0164551715115821
CXCL8,Asymptomatic bacteriuria,0.0164551715115821
CXCL8,Chronic idiopathic pulmonary fibrosis,0.0164551715115821
CXCL8,Urban cutaneous leishmaniasis,0.0164551715115821
CXCL8,Infections specific to perinatal period,0.0164551715115821
CXCL8,Intrauterine infection,0.0164551715115821
CXCL8,Idiopathic Pulmonary Fibrosis,0.0164551715115821
CXCL8,Chronic Kidney Diseases,0.0164551715115821
CXCL8,Chronic kidney disease stage 5,0.0164551715115821
CXCL8,Necrotizing fasciitis,0.0164551715115821
CXCL8,Chronic cough,0.0164551715115821
CXCL8,HIV-Associated Lipodystrophy Syndrome,0.0164551715115821
CXCL8,Immune reconstitution inflammatory syndrome [IRIS],0.0164551715115821
CXCL8,Plasma cell inflammation,0.0164551715115821
CXCL8,Postherpetic neuralgia,0.0164551715115821
CXCL8,Carcinoma breast stage IV,0.0164551715115821
CXCL8,Lung diseases,0.0164551715115821
CXCL8,Ischemic stroke,0.0164551715115821
CXCL8,Anxiety Disorders,0.0164551715115821
CXCL8,Rhabdomyosarcoma,0.0164551715115821
CXCL8,Leukemia Myelocytic Acute,0.0164551715115821
CXCL8,Adenocarcinoma,0.0164551715115821
CXCL8,Female Genital Diseases,0.0164551715115821
CXCL8,Leishmaniasis New World,0.0164551715115821
CXCL8,Small Fiber Neuropathy,0.0164551715115821
CXCL8,Hyaline Membrane Disease,0.0164551715115821
CXCL8,Congenital laryngeal adductor palsy,0.0164551715115821
CXCL8,Coprophilia (disorder),0.0164551715115821
CXCL8,Idiopathic urticaria,0.0164551715115821
CXCL8,Amebiasis,0.0164551715115821
CXCL8,Benign Prostatic Hyperplasia,0.0164551715115821
CXCL8,Immune Reconstitution Inflammatory Syndrome,0.0164551715115821
