Gene,Disease,Category
ALDH1A3,Autism Spectrum Disorders,Neurological Diseases
ALDH1A3,Intermediate generalized junctional epidermolysis bullosa ORPHA:79402,Rare Diseases
ALDH1A3,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
ALDH1A3,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
ALDH1A3,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
ALDH1A3,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
CXCL8,Junctional Epidermolysis Bullosa,Rare Diseases
CXCL8,Steroid-sensitive nephrotic syndrome,Rare Diseases
CXCL8,Epidermolysis Bullosa Simplex,Rare Diseases
CXCL8,Glycogen Storage Disease,Rare Diseases
CXCL8,Amyloidosis,Rare Diseases
CXCL8,Bipolar Disorder,Neurological Diseases
CXCL8,Autoimmune Diseases,Rare Diseases
CXCL8,Parkinson Disease,Neurological Diseases
CXCL8,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
CXCL8,Nephrotic Syndrome,Rare Diseases
CXCL8,Glomerulonephritis,Rare Diseases
CXCL8,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
CXCL8,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
EGR1,Amyloidosis,Rare Diseases
EGR1,Bipolar Disorder,Neurological Diseases
EGR1,Absence Epilepsy,Neurological Diseases
EGR1,Autoimmune Diseases,Rare Diseases
EGR1,Parkinson Disease,Neurological Diseases
EGR1,Epilepsy,Neurological Diseases
EGR1,Autoimmune Diseases,Rare Diseases
EGR1,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
EGR1,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
ALDH1A3,Autism Spectrum Disorders,Neurological Diseases
ALDH1A3,Intermediate generalized junctional epidermolysis bullosa ORPHA:79402,Rare Diseases
ALDH1A3,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
ALDH1A3,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
ALDH1A3,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
ALDH1A3,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
CXCL8,Junctional Epidermolysis Bullosa,Rare Diseases
CXCL8,Steroid-sensitive nephrotic syndrome,Rare Diseases
CXCL8,Epidermolysis Bullosa Simplex,Rare Diseases
CXCL8,Glycogen Storage Disease,Rare Diseases
CXCL8,Amyloidosis,Rare Diseases
CXCL8,Bipolar Disorder,Neurological Diseases
CXCL8,Autoimmune Diseases,Rare Diseases
CXCL8,Parkinson Disease,Neurological Diseases
CXCL8,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
CXCL8,Nephrotic Syndrome,Rare Diseases
CXCL8,Glomerulonephritis,Rare Diseases
CXCL8,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
CXCL8,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
EGR1,Amyloidosis,Rare Diseases
EGR1,Bipolar Disorder,Neurological Diseases
EGR1,Absence Epilepsy,Neurological Diseases
EGR1,Autoimmune Diseases,Rare Diseases
EGR1,Parkinson Disease,Neurological Diseases
EGR1,Epilepsy,Neurological Diseases
EGR1,Autoimmune Diseases,Rare Diseases
EGR1,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
EGR1,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
SLC12A3,Autism Spectrum Disorders,Neurological Diseases
SLC12A3,Epilepsy,Neurological Diseases
