Id,Type
Antibiotic-associated diarrhea,Disease
Cirrhosis,Disease
Vulval Varices,Disease
Hemimegalencephaly,Disease
Mammary Neoplasms Human,Disease
Fever,Disease
Neonatal Early-Onset Sepsis,Disease
Lymphohistiocytosis Hemophagocytic,Disease
Adenocarcinoma Endometrioid,Disease
Hepatitis B,Disease
Malignant Pleural Mesothelioma,Disease
Periodontal Diseases,Disease
Febrile Convulsions,Disease
Asymptomatic bacteriuria,Disease
Lymphoma T-Cell Cutaneous,Disease
Fibroid Tumor,Disease
Pulmonary Emphysema,Disease
Bronchial Diseases,Disease
Dermatitis Herpetiformis,Disease
Pyelonephritis,Disease
Congenital ocular coloboma (disorder),Disease
Meningitis,Disease
Eczema,Disease
Meckel syndrome type 1,Disease
Alopecia universalis ORPHA:701,Disease
Chronic rejection of renal transplant,Disease
Rett Syndrome,Disease
Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Disease
5q-syndrome,Disease
Ulcer,Disease
TIBIAL MUSCULAR DYSTROPHY TARDIVE,Disease
Cerebral Infarction,Disease
Kidney Failure Chronic,Disease
gastritis h pylori,Disease
Idiopathic hypercalciuria,Disease
Hypercalciuria,Disease
Congenital infectious disease,Disease
Hepatitis C,Disease
Graves Disease,Disease
Leukemogenesis,Disease
Hypocalciuria,Disease
Diabetes Mellitus,Disease
Infections specific to perinatal period,Disease
ARTHROGRYPOSIS MULTIPLEX CONGENITA DISTAL TYPE IIA,Disease
Niemann-Pick disease type C adult neurologic onset ORPHA:216986,Disease
Human papillomavirus 105 E7 protein (gene: E7),Pathogen
Conn Syndrome,Disease
Acute respiratory infections,Disease
Malignant neoplasm of endometrium,Disease
Hypoplasia Of The Optic Nerve,Disease
Bronchiectasis,Disease
Human papillomavirus 141 transforming protein (gene: E7),Pathogen
difficile (disorder),Disease
Rheumatism,Disease
Vitiligo,Disease
Vascular Neoplasms,Disease
Silicosis,Disease
Primary Myelofibrosis,Disease
Adenocarcinoma of pancreas,Disease
Chlamydia Infections,Disease
Cervical Squamous Intraepithelial Neoplasia,Disease
Nephrotic Syndrome,Disease
Pancreatic Neoplasm,Disease
Encephalomyelitis,Disease
Chronic granulomatous disease,Disease
Malignant Head and Neck Neoplasm,Disease
Immunologic Deficiency Syndromes,Disease
Leukemia Myelocytic Acute,Disease
Bipolar Disorder,Disease
Kaposi Sarcoma,Disease
Esophageal carcinoma,Disease
Malignant neoplasm of urinary bladder,Disease
Limb ischemia,Disease
Streptococcal pneumonia,Disease
Endometrioma,Disease
Pediatric systemic lupus erythematosus ORPHA:93552,Disease
Pseudohypoaldosteronism Type II,Disease
Adenocarcinoma Tubular,Disease
Aortic Aneurysm Abdominal,Disease
Liver carcinoma,Disease
Aortic Valve Insufficiency,Disease
Metastatic melanoma,Disease
Cyst,Disease
Ovarian Hyperstimulation Syndrome,Disease
Osteosarcoma,Disease
Nephritis,Disease
Parathyroid Adenoma,Disease
Cholera,Disease
synovial sarcoma,Disease
Chronic Airflow Obstruction,Disease
Barrett Epithelium,Disease
Decreased size of eyeball,Disease
Systemic Scleroderma,Disease
Lung Neoplasms,Disease
Liver neoplasms,Disease
Ovarian Cancer,Disease
Polyp of large intestine,Disease
Hepatolenticular Degeneration,Disease
Endometriosis,Disease
High density lipoprotein measurement,Disease
Middle Cerebral Artery Occlusion,Disease
Coinfection,Disease
Adenocarcinoma of lung (disorder),Disease
Gram-Positive Bacterial Infections,Disease
Leukocyte adhesion deficiency type 1,Disease
Lipoid nephrosis,Disease
Acute pyelonephritis,Disease
Behcet Syndrome,Disease
Gastric Cancer,Disease
Pulmonary Hypertension,Disease
Pediatric Crohn's disease,Disease
CATARACT ANTERIOR POLAR,Disease
Brain Diseases,Disease
Dental caries,Disease
Anoxemia,Disease
Germinoma,Disease
Appendicitis,Disease
Airway Obstruction,Disease
Hereditary Diffuse Gastric Cancer,Disease
Laryngo-onycho-cutaneous syndrome ORPHA:2407,Disease
Renal Cell Carcinoma,Disease
Multiple System Atrophy,Disease
Pouchitis,Disease
Gastro-esophageal reflux disease with esophagitis,Disease
Obesity,Disease
Hypokalemic alkalosis,Disease
Nasopharyngeal carcinoma,Disease
Chordoma,Disease
Fibrosis Liver,Disease
Malignant neoplasm of kidney,Disease
Intrahepatic Cholestasis,Disease
Leishmaniasis Visceral,Disease
Low grade glioma,Disease
Gastric Adenocarcinoma,Disease
Malignant neoplasm of lung,Disease
Adenocarcinoma of large intestine,Disease
Psoriatic Arthritis,Disease
Congenital bilateral aplasia of vas deferens,Disease
Fatty Liver,Disease
Edema,Disease
Atrial Premature Complexes,Disease
Pulmonary Edema,Disease
Synovitis,Disease
Pleural Effusion Malignant,Disease
Chronic kidney disease stage 5,Disease
Arthritis Psoriatic,Disease
Pemphigus,Disease
Adrenocortical carcinoma,Disease
Colitis,Disease
Chronic Alcoholic Hepatitis,Disease
Aggressive periodontitis generalized,Disease
Paroxysmal kinesigenic choreoathetosis,Disease
Intrauterine infection,Disease
Diffuse cutaneous leishmaniasis,Disease
Hairy Cell Leukemia,Disease
Medulloblastoma,Disease
Major Depressive Disorder,Disease
Primary biliary cirrhosis,Disease
Severe Acute Respiratory Syndrome,Disease
Congenital heart disease,Disease
Psychotic Disorders,Disease
Breast Cancer,Disease
Staphylococcus aureus infection,Disease
Hypertensive disease,Disease
Acute lymphocytic leukemia,Disease
Craniosynostosis,Disease
Bone Diseases,Disease
Luminal A Breast Carcinoma,Disease
Down Syndrome,Disease
Kidney Diseases,Disease
Monocytic leukemia,Disease
Severe Dengue,Disease
Constitutional Symptom,Disease
stage bladder cancer,Disease
Acute Coronary Syndrome,Disease
Squamous cell carcinoma of tongue,Disease
Adenocarcinoma of colon,Disease
Cytosolic phospholipase-A2 alpha deficiency associated bleeding disorder ORPHA:477787,Disease
Nocturia,Disease
ALDH1A3,Gene
Chronic sinusitis,Disease
Choanal Atresia,Disease
HIV-Associated Lipodystrophy Syndrome,Disease
Immune reconstitution inflammatory syndrome [IRIS],Disease
Osteoarthritis of hip,Disease
Peptic Esophagitis,Disease
Systemic Inflammatory Response Syndrome,Disease
Chronic Periodontitis,Disease
Carcinoma of bladder,Disease
Post-Traumatic Stress Disorder,Disease
Pancreatitis,Disease
Eosinophilia,Disease
Microphthalmia,Disease
Chronic Kidney Diseases,Disease
Idiopathic pulmonary arterial hypertension,Disease
Squamous cell carcinoma,Disease
Diabetic Nephropathy,Disease
Superficial spreading malignant melanoma of skin,Disease
Hormone refractory prostate cancer,Disease
Hypoplastic amelogenesis imperfecta ORPHA:100031,Disease
SLC12A3,Gene
Diarrhea,Disease
Primary peritoneal carcinoma,Disease
Lymphoid leukemia,Disease
Colorectal Neoplasms,Disease
Adenoma of large intestine,Disease
Bronchiolitis Viral,Disease
Renal potassium wasting,Disease
Ischemia of kidney,Disease
Immune Reconstitution Inflammatory Syndrome,Disease
Adenomatous Polyps,Disease
insulinoma,Disease
Embryopathies,Disease
Angiomyolipoma of kidney,Disease
Colonic Neoplasms,Disease
Autosomal recessive nail dysplasia ORPHA:280654,Disease
Chronic Lymphocytic Leukemia,Disease
Sarcoidosis,Disease
Central neuroblastoma,Disease
Renal Glomerular Disease,Disease
Pleocytosis,Disease
Peripheral T-Cell Lymphoma,Disease
Chondromalacia,Disease
Pain,Disease
Lesion of stomach,Disease
Primary malignant neoplasm,Disease
Biliary Atresia,Disease
Parainfluenza,Disease
Pseudomonas aeruginosa infection,Disease
Lymphangioleiomyomatosis,Disease
Persistent infection,Disease
Fatigue,Disease
Primary malignant neoplasm of lung,Disease
Sjogren's Syndrome,Disease
Bacteriuria,Disease
CHARGE Syndrome,Disease
Griscelli syndrome type 3 ORPHA:79478,Disease
Necrotizing enterocolitis in fetus OR newborn,Disease
Dyslipidemias,Disease
Invasive carcinoma of breast,Disease
Malignant neoplasm of mouth,Disease
Necrotizing fasciitis,Disease
Astrocytoma low grade,Disease
Fibrosis,Disease
Alcoholic Liver Diseases,Disease
Calcium pyrophosphate deposition disease,Disease
Cocaine-Related Disorders,Disease
Aplastic Anemia,Disease
Glioblastoma,Disease
Solid Neoplasm,Disease
Microphthalmos,Disease
Erythrokeratodermia variabilis ORPHA:317,Disease
Paresthesia,Disease
Arnold-Chiari malformation type I ORPHA:268882,Disease
Fibromyalgia,Disease
Streptococcal Infections,Disease
Irritable Bowel Syndrome,Disease
Allodynia,Disease
Malignant neoplasm of stomach,Disease
Rotavirus Infections,Disease
Nonalcoholic Steatohepatitis,Disease
Psoriasis vulgaris,Disease
Megakaryocytic hyperplasia,Disease
VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Disease
Restenosis,Disease
Gastroesophageal Reflux Disease,Disease
Chronic idiopathic pulmonary fibrosis,Disease
Vascular lesions,Disease
Pulmonary Fibrosis,Disease
Urinary Bladder Cancer,Disease
Severe Sepsis,Disease
Spinal Cord Diseases,Disease
Leukoencephalopathy Progressive Multifocal,Disease
Severe generalized junctional epidermolysis bullosa ORPHA:79404,Disease
PSEUDOHYPOALDOSTERONISM TYPE IID,Disease
Primary Sj??gren's syndrome,Disease
Enteritis,Disease
Malignant neoplasm of ovary,Disease
Bipolar I disorder,Disease
IGA Glomerulonephritis,Disease
Infection,Disease
Human papillomavirus type 124 transforming protein E7 (gene: E7),Pathogen
Autistic Disorder,Disease
Stomach Diseases,Disease
TARSAL-CARPAL COALITION SYNDROME,Disease
Undifferentiated carcinoma,Disease
Influenza,Disease
Fluid overload,Disease
Carotid artery occlusion,Disease
Periapical Periodontitis,Disease
Plasma cell inflammation,Disease
Hypernatremia,Disease
Eosinophilic disorder,Disease
Diabetes Mellitus Insulin-Dependent,Disease
Human papillomavirus 122 transforming protein E7 (gene: E7),Pathogen
Nose symptoms,Disease
Mouth Neoplasms,Disease
Thromboangiitis Obliterans,Disease
Chronic ulcer,Disease
Septicemia,Disease
Dyspnea,Disease
Cognition Disorders,Disease
Gardner Syndrome,Disease
Familial M??ni??re disease,Disease
Malignant neoplasm of large intestine,Disease
Giant Cell Tumor of Bone,Disease
Cervical Squamous Cell Carcinoma,Disease
Familial primary pulmonary hypertension,Disease
Glomerulonephritis,Disease
Carcinoma,Disease
Idiopathic urticaria,Disease
NONAKA MYOPATHY,Disease
Ischemia,Disease
Meningeal Neoplasms,Disease
polyps,Disease
Human papillomavirus type 52 early protein (gene: E7),Pathogen
Subfertility Male,Disease
Sezary Syndrome,Disease
Ischemic stroke,Disease
B-Cell Lymphomas,Disease
Secondary malignant neoplasm of lymph node,Disease
Steatohepatitis,Disease
Lung Cancer,Disease
Pruritus,Disease
Renal fibrosis,Disease
Psoriasis,Disease
Pneumonia,Disease
