Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Malignant neoplasm of breast	132/5054	2.2510900776853771E-4	0.40843803693793695	0	0	1.4800512048100747	12.430840240683837	MDC1;CDA;SLC23A2;KEAP1;CIB2;SAT2;CLDN2;FRY;IFI30;CLU;RRP9;CCND3;CDH3;KAT5;TUBB3;CDH1;LIPG;OIP5;KAT7;SYNPO;BTRC;SLC16A3;IER3;DDX17;STARD3;SCAF11;LMTK3;DYRK1B;CDC25C;RNF41;CCNE1;PLA2G10;TRIM13;PPIF;TXNIP;TBPL1;ADAM8;KIF20A;ABCG1;ZNF277;SMYD5;MRPL19;TNFRSF11A;HOXB13;CORO1A;KLK8;NDRG1;CTIF;CCNB2;BCL2L10;NUAK1;FAM83F;CCNB1;BCL2L11;SERPINH1;ZBED1;CD14;RAB11FIP3;SLC19A2;HEXIM1;PLK4;VAT1;PRRT2;CHKA;IQSEC1;SEC16A;TNFRSF10B;ARHGAP29;ISG15;NMI;NDC80;ZWINT;MLLT11;TP53I3;P4HA2;LPAR6;ANP32B;NES;MAP3K14;ADA;ITM2B;CDKN1C;HOTAIR;PTPRU;CDKN1A;CLIC3;PSIP1;CTCF;PPP1R13L;TMED1;APC2;FGFBP1;CERS5;SH2D3C;CCNA2;PITPNM1;NOS1AP;ATG4A;CEBPB;AKAP8;ATP2C2;NOL3;CBL;CENPA;LMF2;FSTL3;FGD3;ENOX2;CBS;CKB;S1PR2;SH2B3;MICA;PDLIM7;CDKN2D;SPAG9;GALNT6;CDKN2B;CDX2;GDF15;PTGES3;CCK;CDC42BPB;AKR1C4;ARID3B;MERTK;KLF4;PDZK1IP1;STK17B;TRIP10;SPRY2;EBAG9
Carcinoma of bladder	41/1162	2.7596673568642106E-4	0.40843803693793695	0	0	1.8933700152674808	15.516603171279266	CDKN1C;HOTAIR;MDC1;CDKN1A;CLIC3;CETN3;CIB2;PSIP1;CTCF;OMA1;HOXB13;CLU;HERPUD1;CCNB2;BCLAF1;CCND3;CCNB1;KAT5;CDH1;TMEM129;OIP5;KAT7;CD14;SLC16A3;CDKN2D;SPAG9;CDKN2B;SCAF11;GDF15;TNFRSF10B;ISG15;AKR1C4;KLF4;CLK3;RBX1;DHRS9;LPAR6;CCNE1;MAPKAPK2;TXNIP;TBPL1
Bladder Neoplasm	42/1217	3.677413297760537E-4	0.40843803693793695	0	0	1.8501888596700933	14.631535461030785	CDKN1C;HOTAIR;MDC1;CDKN1A;CLIC3;CETN3;CIB2;PSIP1;CTCF;HOXB13;CLU;NDRG1;HERPUD1;CCNB2;BCLAF1;CCND3;CCNB1;KAT5;CDH1;TMEM129;OIP5;KAT7;TPPP;CD14;SLC16A3;RALGPS1;SPAG9;CDKN2B;SCAF11;GDF15;TNFRSF10B;ISG15;AKR1C4;KLF4;RBX1;DHRS9;LPAR6;CCNE1;MAPKAPK2;TXNIP;TBPL1;EBAG9
Malignant neoplasm of urinary bladder	39/1144	7.5470248359693E-4	0.5071083164302358	0	0	1.8184827134196297	13.073412188187051	CDKN1C;HOTAIR;MDC1;CDKN1A;CLIC3;CETN3;CIB2;PSIP1;CTCF;OMA1;HOXB13;CLU;CCNB2;BCLAF1;CCND3;CCNB1;KAT5;CDH1;TMEM129;OIP5;KAT7;CD14;SLC16A3;RALGPS1;SPAG9;CDKN2B;SCAF11;GDF15;TNFRSF10B;ISG15;AKR1C4;KLF4;RBX1;DHRS9;LPAR6;CCNE1;MAPKAPK2;TXNIP;TBPL1
Reticulocyte count (procedure)	12/202	7.609668613899097E-4	0.5071083164302358	0	0	3.176220343605127	22.80818656303316	CCND3;HERC1;RIOK3;CDH1;PTGES3;EIF4A3;TESK2;TMCC2;ANP32B;S1PR2;CBL;SH2B3
Adenomatous Polyposis Coli	18/392	9.357666343168925E-4	0.5196624042573144	0	0	2.4352941176470586	16.984092917893168	APC2;CDKN1A;CDKN2B;CDX2;TNFRSF10B;KLF4;CLU;IQCJ-SCHIP1;CCNB1;BCL2L11;CDH1;CCNE1;CBS;PLA2G10;BTRC;NES;MAPRE2;MICA
Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse	16/349	0.0017951330500572114	0.7333611688795861	0	0	2.4236592613555965	15.324012576462973	CDKN1A;CDKN2B;CRADD;TNFRSF10B;ARHGAP29;CTCF;PDZK1IP1;CCNA2;CCND3;CCNB1;BCL2L11;TUBB3;CCNE1;TNFSF9;TUBGCP3;MAP3K14
Breast Carcinoma	124/4963	0.0022690341404914523	0.7333611688795861	0	0	1.3806707363981519	8.40607712916632	MDC1;CDA;SLC23A2;KEAP1;CIB2;SAT2;CLDN2;FRY;IFI30;CLU;CCND3;CDH3;KAT5;TUBB3;CDH1;LIPG;OIP5;KAT7;SYNPO;BTRC;SLC16A3;IER3;DDX17;STARD3;SCAF11;LMTK3;DYRK1B;CDC25C;RNF41;RBX1;CCNE1;PLA2G10;TRIM13;PPIF;TXNIP;TBPL1;ADAM8;KIF20A;ABCG1;SMYD5;MRPL19;TNFRSF11A;HOXB13;CORO1A;KLK8;NDRG1;CCNB2;BCL2L10;NUAK1;CCNB1;BCL2L11;SERPINH1;ZBED1;CD14;RAB11FIP3;SLC19A2;HEXIM1;PLK4;VAT1;PRRT2;CHKA;IQSEC1;TNFRSF10B;ISG15;NMI;NDC80;ZWINT;MLLT11;TP53I3;P4HA2;LPAR6;ANP32B;NES;MAP3K14;ADA;ITM2B;CDKN1C;HOTAIR;PTPRU;CDKN1A;CLIC3;CHM;PSIP1;CTCF;PPP1R13L;APC2;FGFBP1;CERS5;SH2D3C;CCNA2;PITPNM1;NOS1AP;ATG4A;CEBPB;ATP2C2;NOL3;CBL;CENPA;FSTL3;FGD3;CBS;CKB;S1PR2;SH2B3;MICA;PDLIM7;CDKN2D;SPAG9;GALNT6;CDKN2B;CDX2;GDF15;PTGES3;CCK;CDC42BPB;AKR1C4;ARID3B;MERTK;KLF4;PDZK1IP1;STK17B;TRIP10;SPRY2;EBAG9
Hydatidiform Mole, Partial	3/14	0.0024181527912596535	0.7333611688795861	0	0	13.526582278481012	81.49429470356112	CDKN1C;CIB2;CORO1A
Diffuse Large B-Cell Lymphoma	22/575	0.0027946547465831514	0.7333611688795861	0	0	2.0154957485283367	11.851209135836841	CDKN1C;CDKN1A;CDKN2B;MEF2B;PRRT2;HIP1R;TNFRSF10B;CIB2;PSIP1;CCK;CDC42BPB;CDC25C;CLU;BCL2L10;CCND3;CDH1;CCNE1;TXNIP;S1PR2;MAP3K14;ADA;PDLIM7
