Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human betaherpesvirus 5 tegument serine/threonine protein kinase (gene: UL97)	19/508	0.006679850338568098	0.8999095837312036	0	0	1.9594509283390258	9.814222891238868	PLK4;BRSK2;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;AATK;CLK3;SHF;CCNA2;CCNB2;NUAK1;CCND3;CCNB1;CCNE1;STK17B;MAPKAPK2;MAP3K14
Vaccinia virus Ankara Serine/threonine-protein kinase 2	16/414	0.009159679104366629	0.8999095837312036	0	0	2.0209950274934885	9.484416757469862	FANK1;LMTK3;TESK2;DYRK1B;CLK3;SHF;CCNA2;CCNB2;NUAK1;CCND3;CCNB1;CCNE1;TAOK2;MAPKAPK2;MAP3K14;SH2B2
Horsepox virus HSPV050 (Ser/Thr kinase; Provisional)	16/414	0.009159679104366629	0.8999095837312036	0	0	2.0209950274934885	9.484416757469862	FANK1;LMTK3;TESK2;DYRK1B;CLK3;SHF;CCNA2;CCNB2;NUAK1;CCND3;CCNB1;CCNE1;TAOK2;MAPKAPK2;MAP3K14;SH2B2
Human alphaherpesvirus 1 serine/threonine protein kinase US3 (gene: US3)	27/872	0.015875369652617242	0.8999095837312036	0	0	1.6154611716295315	6.692833743383377	FANK1;DIDO1;BRSK2;EIF4A3;TESK2;SHF;CCNB2;NUAK1;CCND3;CCNB1;SH2B2;PPFIA3;PLK4;CDKN2D;CDKN2B;RIOK3;LMTK3;DYRK1B;BAIAP2;MERTK;CLK3;CCNA2;CCNE1;STK17B;TAOK2;MAPKAPK2;MAP3K14
Macacine alphaherpesvirus 1 serine/threonine protein kinase US3 (gene: US3)	26/833	0.016212174136655762	0.8999095837312036	0	0	1.6277931006915298	6.709751488233962	FANK1;DIDO1;BRSK2;EIF4A3;TESK2;SHF;CCNB2;NUAK1;CCND3;CCNB1;SH2B2;PLK4;CDKN2D;CDKN2B;RIOK3;LMTK3;DYRK1B;BAIAP2;MERTK;CLK3;CCNA2;CCNE1;STK17B;TAOK2;MAPKAPK2;MAP3K14
Human gammaherpesvirus 8 ORF72	13/337	0.018028117201659883	0.8999095837312036	0	0	2.0090909090909093	8.068152825014918	PLK4;BRSK2;RIOK3;TESK2;DYRK1B;CDC42BPB;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;STK17B;TAOK2
Human alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3)	24/767	0.019875326467632695	0.8999095837312036	0	0	1.6288064718117763	6.38211362074251	PLK4;FANK1;CDKN2D;CDKN2B;BRSK2;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;CDC42BPB;MERTK;CLK3;SHF;CCNA2;CCNB2;NUAK1;CCND3;CCNB1;CCNE1;STK17B;TAOK2;MAPKAPK2;MAP3K14
Macacine alphaherpesvirus 1 tegument serine/threonine protein kinase (gene: UL13)	16/456	0.020987555515246288	0.8999095837312036	0	0	1.824083769633508	7.047941586493369	PLK4;BRSK2;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;CLK3;SHF;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;MAPKAPK2;MAP3K14
Human T-lymphotropic virus 3 envelope (gene: env)	4/53	0.0210327818715434	0.8999095837312036	0	0	4.0511758002693465	15.644316274680817	FCHSD1;IGSF8;CBL;COQ7
Human alphaherpesvirus 3 tegument serine/threonine protein kinase (gene: ORF47)	19/576	0.02245346252333853	0.8999095837312036	0	0	1.714115858135602	6.507315934502367	PLK4;FANK1;BRSK2;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;MERTK;CLK3;SHF;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;STK17B;MAPKAPK2;MAP3K14
Human betaherpesvirus 6 U69, ganciclovir kinase, phosphotransferase (gene: U69)	18/538	0.022859395822157326	0.8999095837312036	0	0	1.7382388663967612	6.567749652801128	PLK4;FANK1;CDKN2D;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;AATK;CLK3;SHF;CCNA2;CCND3;CCNB1;CCNE1;TAOK2;MAPKAPK2;MAP3K14
Human betaherpesvirus 6A tegument serine/threonine protein kinase (gene: U69)	18/538	0.022859395822157326	0.8999095837312036	0	0	1.7382388663967612	6.567749652801128	PLK4;FANK1;CDKN2D;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;AATK;CLK3;SHF;CCNA2;CCND3;CCNB1;CCNE1;TAOK2;MAPKAPK2;MAP3K14
Cowpox virus CPXV057 protein (gene: CPXV057 CDS)	14/387	0.023643684666798698	0.8999095837312036	0	0	1.879510165326184	7.038125093768154	FANK1;LMTK3;DYRK1B;ISG15;CCNA2;CCNB2;NUAK1;CCND3;CCNB1;CCNE1;TAOK2;MAPKAPK2;MAP3K14;SH2B2
Human betaherpesvirus 7 tegument serine/threonine protein kinase (gene: U69)	16/463	0.023761752150462508	0.8999095837312036	0	0	1.794862785059208	6.712208948381704	BRSK2;RIOK3;LMTK3;TESK2;DYRK1B;AATK;CLK3;SHF;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;STK17B;MAPKAPK2;MAP3K14
Human alphaherpesvirus 3 serine/threonine protein kinase US3 (gene: ORF66)	26/868	0.025550503999576948	0.8999095837312036	0	0	1.5572242229203381	5.710494201731388	FANK1;BRSK2;EIF4A3;TESK2;SHF;CCNB2;NUAK1;CCND3;CCNB1;SH2B2;PLK4;CDKN2D;CDKN2B;RASL10A;RIOK3;LMTK3;DYRK1B;CDC42BPB;MERTK;CLK3;CCNA2;CCNE1;STK17B;TAOK2;MAPKAPK2;MAP3K14
Monkeypox virus Zaire-96-I-16 Ser/Thr kinase (gene: C16L)	10/250	0.02863350167530273	0.8999095837312036	0	0	2.0792525773195876	7.387954221929496	PLK4;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;MAPKAPK2;LMTK3;TESK2;DYRK1B
Human T-cell lymphotropic virus type 2b env	4/59	0.029819396529348296	0.8999095837312036	0	0	3.6081218274111677	12.67387504521901	FCHSD1;IGSF8;CBL;COQ7
Human T-lymphotropic virus 4 envelope glycoprotein (gene: env)	4/60	0.031464943848916	0.8999095837312036	0	0	3.543509789702683	12.256579558610648	FCHSD1;IGSF8;CBL;COQ7
Human herpesvirus 3 strain Dumas serine-threonine protein kinase	26/887	0.03212593577639811	0.8999095837312036	0	0	1.5213180472818553	5.230430809883522	FANK1;BRSK2;EIF4A3;TESK2;SHF;CCNB2;NUAK1;CCND3;CCNB1;SH2B2;PLK4;CDKN2D;CDKN2B;RASL10A;RIOK3;LMTK3;DYRK1B;CDC42BPB;MERTK;CLK3;CCNA2;CCNE1;STK17B;TAOK2;MAPKAPK2;MAP3K14
Ectromelia virus ERPV serine/threonine kinase	16/482	0.03268437441237353	0.8999095837312036	0	0	1.719973934341505	5.883786871720182	FANK1;CDKN2B;EIF4A3;TESK2;DYRK1B;CLK3;CCNA2;CCNB2;NUAK1;CCND3;CCNB1;CCNE1;TAOK2;MAPKAPK2;MAP3K14;SH2B2
Human adenovirus 11+34 encapsidation protein IVa2 (gene: IVa2)	4/62	0.034913339340430345	0.8999095837312036	0	0	3.420969718186592	11.476964463321629	ABCA7;ISG15;CBL;ABCG1
Human adenovirus 34 maturation protein IVa2 (gene: IVa2)	4/68	0.04652367623285461	0.8999095837312036	0	0	3.099302030456853	9.508019955255802	ABCA7;ISG15;CBL;ABCG1
Human adenovirus 35 IVa2	4/68	0.04652367623285461	0.8999095837312036	0	0	3.099302030456853	9.508019955255802	ABCA7;ISG15;CBL;ABCG1
Human immunodeficiency virus 1 capsid (gene: gag)	3/42	0.050739936587285116	0.8999095837312036	0	0	3.8097370983446934	11.356986202240764	SYNCRIP;PPIF;PSIP1
Human T-lymphotropic virus 2 p21E envelope protein	3/43	0.053769815339829906	0.8999095837312036	0	0	3.7143037974683546	10.857069798362614	IGSF8;CBL;COQ7
Human immunodeficiency virus nef protein (gene: nef)	8/206	0.054462217932519395	0.8999095837312036	0	0	2.01025641025641	5.850344831451051	FCHSD1;SNX18;DOCK4;SH3PXD2A;PPP1R13L;NOXA1;TRIP10;BAIAP2
Papiine alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3)	24/855	0.05772387862124184	0.8999095837312036	0	0	1.4495260526264986	4.134170569836372	PLK4;FANK1;CDKN2D;DIDO1;CDKN2B;BRSK2;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;MERTK;CLK3;SHF;CCNA2;CCNB2;NUAK1;CCND3;CCNB1;CCNE1;STK17B;TAOK2;MAPKAPK2;MAP3K14
Cercopithecine alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3)	23/816	0.06003563578865446	0.8999095837312036	0	0	1.4547524169819253	4.091952275823892	PLK4;FANK1;CDKN2D;DIDO1;BRSK2;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;MERTK;CLK3;SHF;CCNA2;CCNB2;NUAK1;CCND3;CCNB1;CCNE1;STK17B;TAOK2;MAPKAPK2;MAP3K14
Human papillomavirus 122 transforming protein E7 (gene: E7)	3/45	0.06008311762695824	0.8999095837312036	0	0	3.5370705244122966	9.946335628268178	DIDO1;CCNB1;PHF14
Human betaherpesvirus 6 U31, large tegument protein (gene: U31)	4/76	0.06494183429608517	0.8999095837312036	0	0	2.753807106598985	7.529633615132657	MIDN;ISG15;HERPUD1;OASL
Human betaherpesvirus 6A large tegument protein (gene: U31)	4/76	0.06494183429608517	0.8999095837312036	0	0	2.753807106598985	7.529633615132657	MIDN;ISG15;HERPUD1;OASL
Papiine alphaherpesvirus 2 tegument serine/threonine protein kinase (gene: UL13)	14/450	0.06735654313886763	0.8999095837312036	0	0	1.602661506116208	4.32358845934315	PLK4;BRSK2;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;MAPKAPK2;MAP3K14
Human betaherpesvirus 6B large tegument protein (gene: U31)	4/77	0.06747614377426273	0.8999095837312036	0	0	2.7159446491899035	7.3221356306416165	MIDN;ISG15;HERPUD1;OASL
Human mastadenovirus B encapsidation protein IVa2 (gene: IVa2)	4/77	0.06747614377426273	0.8999095837312036	0	0	2.7159446491899035	7.3221356306416165	ABCA7;ISG15;CBL;ABCG1
Human papillomavirus 111 E7 protein (gene: E7)	3/48	0.07016859218467632	0.8999095837312036	0	0	3.300759493670886	8.769637624536648	DIDO1;CCNB1;PHF14
Monkeypox virus Zaire-96-I-16 B3R (gene: B3R)	7/181	0.0705384224719534	0.8999095837312036	0	0	1.9989417056177794	5.300389265071279	CCNA2;CCND3;CCNB1;CCNE1;EIF4A3;MAPKAPK2;TESK2
Crimean-Congo hemorrhagic fever virus full_polyprotein 1..3945 (gene: RdRp)	6/146	0.07196960164666365	0.8999095837312036	0	0	2.1277696793002914	5.599250270784388	FARP2;MIDN;UBXN11;ISG15;HERPUD1;OASL
Dugbe virus L protein	6/147	0.07384336942308907	0.8999095837312036	0	0	2.1125705601389493	5.504955502165022	FARP2;MIDN;UBXN11;ISG15;HERPUD1;OASL
Human alphaherpesvirus 2 tegument serine/threonine protein kinase (gene: UL13)	13/417	0.07503146263729153	0.8999095837312036	0	0	1.6045647421885045	4.155578389823952	PLK4;RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;MAPKAPK2;MAP3K14
Cercopithecine alphaherpesvirus 2 tegument serine/threonine protein kinase (gene: UL13)	12/377	0.0753820508922592	0.8999095837312036	0	0	1.638469728156718	4.235749140505338	PLK4;CCNA2;NUAK1;CCND3;CCNB1;RIOK3;CCNE1;EIF4A3;LMTK3;TESK2;DYRK1B;MAP3K14
Human immunodeficiency virus 1 Nef (gene: nef)	4/81	0.07811555749818479	0.8999095837312036	0	0	2.574329224075417	6.563422371283358	DOCK4;SNX18;SH3PXD2A;NOXA1
Japanese encephalitis virus hypothetical protein	4/82	0.08089896798401006	0.8999095837312036	0	0	2.5411948457633735	6.38997220212956	IGSF8;MAFB;WFIKKN1;COQ7
Human alphaherpesvirus 1 tegument serine/threonine protein kinase (gene: UL13)	13/424	0.08285227286674615	0.8999095837312036	0	0	1.57666129490947	3.9269841413588007	RIOK3;EIF4A3;LMTK3;TESK2;SHF;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;STK17B;MAPKAPK2;MAP3K14
Human betaherpesvirus 7 large tegument protein (gene: U31)	4/85	0.0895385814314434	0.8999095837312036	0	0	2.446700507614213	5.904097931606857	MIDN;ISG15;HERPUD1;OASL
Human adenovirus 21 DNA polymerase (gene: E2B)	1/5	0.09562679916877269	0.8999095837312036	0	0	12.341309823677582	28.968783356610405	NME6
Human adenovirus 21a DNA polymerase (gene: E2B)	1/5	0.09562679916877269	0.8999095837312036	0	0	12.341309823677582	28.968783356610405	NME6
Human gammaherpesvirus 8 ORF36 (gene: ORF36)	14/480	0.10028867275903816	0.8999095837312036	0	0	1.4971387696709586	3.442973807391336	PLK4;RIOK3;EIF4A3;LMTK3;TESK2;SHF;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;MAPKAPK2;TBPL1;MAP3K14
Salivirus NG-J1 3D	3/56	0.10041179562790552	0.8999095837312036	0	0	2.8013852400286603	6.4389155988122875	HEXIM1;MAFB;BAG2
Vaccinia virus Ser/Thr kinase (gene: F10L)	13/439	0.1012961993795666	0.8999095837312036	0	0	1.5199561002377904	3.4802531905154472	FANK1;LMTK3;TESK2;DYRK1B;CCNA2;CCNB2;NUAK1;CCND3;CCNB1;CCNE1;MAPKAPK2;MAP3K14;SH2B2
Human immunodeficiency virus 2 full_polyprotein 1..1550 (gene: gag-pol)	8/237	0.10208502440482935	0.8999095837312036	0	0	1.7353487851304445	3.959977841936335	TCERG1;IGSF8;SYNCRIP;SEC23A;PPIF;PSIP1;CBL;SIRPB1
Human T-cell leukemia virus type I gp46 SU (gene: env)	3/58	0.10866857461717845	0.8999095837312036	0	0	2.699240506329114	5.990836437025115	IGSF8;CBL;COQ7
Human T-lymphotropic virus 2 hypothetical protein (env propeptide)	3/58	0.10866857461717845	0.8999095837312036	0	0	2.699240506329114	5.990836437025115	FCHSD1;CBL;COQ7
Yaba-like disease virus 142R protein (gene: 142R)	5/127	0.1098347988539981	0.8999095837312036	0	0	2.0314520502231677	4.487026333849372	CCNA2;CCNB1;EIF4A3;LMTK3;MAP3K14
Human betaherpesvirus 6B Phosphotransferase (gene: U69)	14/489	0.11181088184301714	0.8999095837312036	0	0	1.4680811403508771	3.216487074496649	RIOK3;EIF4A3;LMTK3;TESK2;DYRK1B;SHF;CCNA2;NUAK1;CCND3;CCNB1;CCNE1;TAOK2;MAPKAPK2;MAP3K14
Molluscum contagiosum virus subtype 1 MC069R (gene: MC069R)	2/29	0.1129124143598142	0.8999095837312036	0	0	3.6616161616161618	7.986507928557335	IGSF8;SIRPB1
Human papillomavirus 159 E7 protein (gene: E7)	1/6	0.11362829707185776	0.8999095837312036	0	0	9.872544080604534	21.47103306971816	CCNB1
