Genes,DisGeNET_Term,DisGeNET_Pvalue_Adjusted,GeDiPNet_Term,GeDiPNet_Pvalue_Adjusted,Orphanet_Term,Orphanet_Pvalue_Adjusted,Virus_Host_Term,Virus_Host_Pvalue_Adjusted,Host organism(s)_Intact,Confidence value(s)_Intact,Taxid interactor A_Intact,Taxid interactor B_Intact
AATK,,,,,Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385; 1p36 deletion syndrome ORPHA:1606,0.0155394890951578; 0.0184072076199886,,,,,,
ABCA7,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395; Idiopathic CD4 lymphocytopenia ORPHA:228000; Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530; Susceptibility to infection due to TYK2 deficiency ORPHA:331226; Adult-onset dystonia-parkinsonism ORPHA:199351; Barth syndrome ORPHA:111; Infantile neuroaxonal dystrophy ORPHA:35069; Megaconial congenital muscular dystrophy ORPHA:280671; Proximal myopathy with focal depletion of mitochondria ORPHA:521305; Intermediate osteopetrosis ORPHA:210110,0.0036432528126817; 0.0081550609410495; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
ACAP3,,,,,Otospondylomegaepiphyseal dysplasia ORPHA:1427; Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641; Autosomal recessive spastic paraplegia type 46 ORPHA:320391; Familial lipase maturation factor 1 deficiency ORPHA:535453; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231; Spinocerebellar ataxia type 21 ORPHA:98773; 1p36 deletion syndrome ORPHA:1606; Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924; Adult-onset dystonia-parkinsonism ORPHA:199351; Charcot-Marie-Tooth disease type 2P ORPHA:300319; Charcot-Marie-Tooth disease type 4B3 ORPHA:363981; Congenital thrombotic thrombocytopenic purpura ORPHA:93583; Infantile neuroaxonal dystrophy ORPHA:35069; Cushing syndrome due to macronodular adrenal hyperplasia ORPHA:189427; Lymphangioleiomyomatosis ORPHA:538; Oculocutaneous albinism type 2 ORPHA:79432; Tuberous sclerosis complex ORPHA:805,0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
ACOT7,,,,,PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066,0.0155394890951578,,,,,,
ADAM8,,,,,Idiopathic CD4 lymphocytopenia ORPHA:228000; Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918; Susceptibility to infection due to TYK2 deficiency ORPHA:331226; Megaconial congenital muscular dystrophy ORPHA:280671; Proximal myopathy with focal depletion of mitochondria ORPHA:521305; Intermediate osteopetrosis ORPHA:210110,0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
AGPAT2,,,,,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960; Multiple endocrine neoplasia type 1 ORPHA:652,0.0414176838632111; 0.0473879273649914,,,,,,
APC2,,,,,Otospondylomegaepiphyseal dysplasia ORPHA:1427; PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231; Spinocerebellar ataxia type 21 ORPHA:98773; 1p36 deletion syndrome ORPHA:1606,0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886,,,,,,
ARID5A,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918; Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691; Susceptibility to infection due to TYK2 deficiency ORPHA:331226; Familial isolated pituitary adenoma ORPHA:314777,0.0036432528126817; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111,,,,,,
ATG16L2,,,,,Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395; Susceptibility to infection due to TYK2 deficiency ORPHA:331226; VPS11-related autosomal recessive hypomyelinating leukodystrophy ORPHA:466934; Adult-onset dystonia-parkinsonism ORPHA:199351; Barth syndrome ORPHA:111; Infantile neuroaxonal dystrophy ORPHA:35069; Megaconial congenital muscular dystrophy ORPHA:280671; Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533; Proximal myopathy with focal depletion of mitochondria ORPHA:521305; Intermediate osteopetrosis ORPHA:210110,0.0081550609410495; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
ATP6V0D1,,,,,VPS11-related autosomal recessive hypomyelinating leukodystrophy ORPHA:466934,0.0155394890951578,,,,,,
