Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Autosomal dominant centronuclear myopathy ORPHA:169189	12/105	1.205576708365891E-6	0.0036432528126817227	0	0	6.521477519638977	88.87829881499756	SPSB3;STARD3;IQSEC1;RASA4;SH2D3C;ARID5A;DYRK1B;TUBGCP6;TCAP;ABCA7;RASGRP2;SH2B2
Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395	11/101	5.397128352779335E-6	0.008155060941049574	0	0	6.162273901808786	74.74618577773653	KIAA0513;SNX29;ATG16L2;USP20;RASA4;SH2D3C;PLEKHM1;TUBGCP6;ABCA7;CLK3;C2CD2L
Autosomal dominant spastic paraplegia type 12 ORPHA:100993	10/101	3.339825221062559E-5	0.01441850259721579	0	0	5.5259431290359124	56.95593444833053	SEMA6C;CTIF;CDC34;FXR2;TMCC2;EVI5L;GAS2L1;PPFIA3;PDLIM7;SH2B2
Charcot-Marie-Tooth disease type 4G ORPHA:99953	10/101	3.339825221062559E-5	0.01441850259721579	0	0	5.5259431290359124	56.95593444833053	DRAP1;FXR2;PNMA1;USP20;SNPH;TSPAN5;KATNB1;TMCC2;EVI5L;GAS2L1
Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135	10/101	3.339825221062559E-5	0.01441850259721579	0	0	5.5259431290359124	56.95593444833053	PLK4;CCNA2;CCNB2;CCNB1;OIP5;KIF20A;CDC25C;CENPA;NDC80;ZWINT
Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031	10/101	3.339825221062559E-5	0.01441850259721579	0	0	5.5259431290359124	56.95593444833053	DRAP1;FXR2;PNMA1;USP20;SNPH;TSPAN5;KATNB1;TMCC2;EVI5L;GAS2L1
Otospondylomegaepiphyseal dysplasia ORPHA:1427	10/101	3.339825221062559E-5	0.01441850259721579	0	0	5.5259431290359124	56.95593444833053	APC2;SEMA6C;ACAP3;NUMBL;KIFC2;SGSM2;TAOK2;EVI5L;RAB11FIP3;PPFIA3
Mosaic variegated aneuploidy syndrome ORPHA:1052	10/103	3.959177967532478E-5	0.014955794772353936	0	0	5.406551380113069	54.80561145742678	PLK4;CCNA2;CCNB2;CCNB1;OIP5;KIF20A;CDC25C;CENPA;NDC80;ZWINT
21q22.11q22.12 microdeletion syndrome ORPHA:261323	9/101	1.8605792631239126E-4	0.015539489095157828	0	0	4.906393204426065	42.14323138039584	PLK4;CCNA2;CCNB2;CCNB1;KIF20A;CDC25C;CENPA;NDC80;ZWINT
Adult-onset autosomal dominant leukodystrophy ORPHA:99027	9/101	1.8605792631239126E-4	0.015539489095157828	0	0	4.906393204426065	42.14323138039584	PLK4;CCNA2;CCNB2;CCNB1;KIF20A;CDC25C;CENPA;NDC80;ZWINT
