Source,Target,Pvalue_Adjusted
AATK,Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385,0.0155394890951578
AATK,1p36 deletion syndrome ORPHA:1606,0.0184072076199886
ABCA7,Autosomal dominant centronuclear myopathy ORPHA:169189,0.0036432528126817
ABCA7,Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395,0.0081550609410495
ABCA7,Idiopathic CD4 lymphocytopenia ORPHA:228000,0.0155394890951578
ABCA7,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530,0.0155394890951578
ABCA7,Susceptibility to infection due to TYK2 deficiency ORPHA:331226,0.0155394890951578
ABCA7,Adult-onset dystonia-parkinsonism ORPHA:199351,0.0414176838632111
ABCA7,Barth syndrome ORPHA:111,0.0414176838632111
ABCA7,Infantile neuroaxonal dystrophy ORPHA:35069,0.0414176838632111
ABCA7,Megaconial congenital muscular dystrophy ORPHA:280671,0.0414176838632111
ABCA7,Proximal myopathy with focal depletion of mitochondria ORPHA:521305,0.0414176838632111
ABCA7,Intermediate osteopetrosis ORPHA:210110,0.0414176838632111
ACAP3,Otospondylomegaepiphyseal dysplasia ORPHA:1427,0.0144185025972157
ACAP3,Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641,0.0155394890951578
ACAP3,Autosomal recessive spastic paraplegia type 46 ORPHA:320391,0.0155394890951578
ACAP3,Familial lipase maturation factor 1 deficiency ORPHA:535453,0.0155394890951578
ACAP3,Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231,0.0155394890951578
ACAP3,Spinocerebellar ataxia type 21 ORPHA:98773,0.0155394890951578
ACAP3,1p36 deletion syndrome ORPHA:1606,0.0184072076199886
ACAP3,Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924,0.0414176838632111
ACAP3,Adult-onset dystonia-parkinsonism ORPHA:199351,0.0414176838632111
ACAP3,Charcot-Marie-Tooth disease type 2P ORPHA:300319,0.0414176838632111
ACAP3,Charcot-Marie-Tooth disease type 4B3 ORPHA:363981,0.0414176838632111
ACAP3,Congenital thrombotic thrombocytopenic purpura ORPHA:93583,0.0414176838632111
ACAP3,Infantile neuroaxonal dystrophy ORPHA:35069,0.0414176838632111
ACAP3,Cushing syndrome due to macronodular adrenal hyperplasia ORPHA:189427,0.0414176838632111
ACAP3,Lymphangioleiomyomatosis ORPHA:538,0.0414176838632111
ACAP3,Oculocutaneous albinism type 2 ORPHA:79432,0.0414176838632111
ACAP3,Tuberous sclerosis complex ORPHA:805,0.0414176838632111
ACOT7,PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066,0.0155394890951578
ADAM8,Idiopathic CD4 lymphocytopenia ORPHA:228000,0.0155394890951578
ADAM8,Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918,0.0155394890951578
ADAM8,Susceptibility to infection due to TYK2 deficiency ORPHA:331226,0.0155394890951578
ADAM8,Megaconial congenital muscular dystrophy ORPHA:280671,0.0414176838632111
ADAM8,Proximal myopathy with focal depletion of mitochondria ORPHA:521305,0.0414176838632111
ADAM8,Intermediate osteopetrosis ORPHA:210110,0.0414176838632111
AGPAT2,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960,0.0414176838632111
