Gene,Disease
AGPAT2,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960
CCNA2,Small cell lung cancer ORPHA:70573
CCNB1,Small cell lung cancer ORPHA:70573
CCNB2,Small cell lung cancer ORPHA:70573
CDA,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960
CDC25C,Small cell lung cancer ORPHA:70573
CEBPB,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960
CENPA,Small cell lung cancer ORPHA:70573
ITPRIP,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960
KIF20A,Small cell lung cancer ORPHA:70573
KLF4,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960
PLIN3,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960
PLK4,Small cell lung cancer ORPHA:70573
SLC16A3,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960
TCIRG1,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960
ZWINT,Small cell lung cancer ORPHA:70573
