Gene,Disease
ABCA7,Adult-onset dystonia-parkinsonism ORPHA:199351
ACAP3,Adult-onset dystonia-parkinsonism ORPHA:199351
ATG16L2,"Adult-onset dystonia-parkinsonism ORPHA:199351, Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533"
CORO1A,Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533
KIFC2,Adult-onset dystonia-parkinsonism ORPHA:199351
NXF1,Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533
OSBPL7,Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533
PAN2,Adult-onset dystonia-parkinsonism ORPHA:199351
PGS1,Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533
REC8,Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533
SGSM2,Adult-onset dystonia-parkinsonism ORPHA:199351
SH2D3C,Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533
TUBGCP6,Adult-onset dystonia-parkinsonism ORPHA:199351
USP20,"Adult-onset dystonia-parkinsonism ORPHA:199351, Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533"
