Gene,Disease
ACAP3,"Charcot-Marie-Tooth disease type 2P ORPHA:300319, Charcot-Marie-Tooth disease type 4B3 ORPHA:363981"
CCNA2,"Citrullinemia type II ORPHA:247585, Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391"
CCNB1,"Citrullinemia type II ORPHA:247585, Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391"
CCNB2,"Citrullinemia type II ORPHA:247585, Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391"
CCND3,Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088
CDC25C,"Citrullinemia type II ORPHA:247585, Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391"
CENPA,Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391
EHD1,Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088
KIF20A,"Citrullinemia type II ORPHA:247585, Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391"
KIFC2,"Charcot-Marie-Tooth disease type 2P ORPHA:300319, Charcot-Marie-Tooth disease type 4B3 ORPHA:363981"
LMF2,"Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088, Charcot-Marie-Tooth disease type 2P ORPHA:300319, Charcot-Marie-Tooth disease type 4B3 ORPHA:363981"
PLK4,Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391
RPUSD1,Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088
SGSM2,Charcot-Marie-Tooth disease type 2P ORPHA:300319
SLC19A2,Citrullinemia type II ORPHA:247585
SPSB3,Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088
STARD3,"Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088, Charcot-Marie-Tooth disease type 2P ORPHA:300319"
TCIRG1,Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088
TLCD1,Citrullinemia type II ORPHA:247585
TUBGCP6,Charcot-Marie-Tooth disease type 4B3 ORPHA:363981
USP20,Charcot-Marie-Tooth disease type 4G ORPHA:99953
YIF1B,Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088
ZWINT,"Citrullinemia type II ORPHA:247585, Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391"
