Id,Type
Lymphangioleiomyomatosis ORPHA:538,Disease
Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135,Disease
PITPNM1,Gene
Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530,Disease
APC2,Gene
21q22.11q22.12 microdeletion syndrome ORPHA:261323,Disease
LMTK3,Gene
Microcephaly-short stature-limb abnormalities syndrome ORPHA:572773,Disease
CDH3,Gene
Oculocutaneous albinism type 2 ORPHA:79432,Disease
SEC16A,Gene
ZWINT,Gene
CDKN2B,Gene
ATG16L2,Gene
OASL,Gene
CDC34,Gene
SH2D3C,Gene
Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069,Disease
DDX17,Gene
SEMA6C,Gene
Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918,Disease
KIF20A,Gene
Susceptibility to infection due to TYK2 deficiency ORPHA:331226,Disease
Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome ORPHA:314394,Disease
PRSS16,Gene
PLEKHM1,Gene
GAS2L1,Gene
IER3,Gene
NXF1,Gene
TLCD1,Gene
Currarino syndrome ORPHA:1552,Disease
TMCC2,Gene
ITPRIP,Gene
USP20,Gene
NDC80,Gene
NUMBL,Gene
Congenital thrombotic thrombocytopenic purpura ORPHA:93583,Disease
Mutilating hereditary sensory neuropathy with spastic paraplegia ORPHA:139578,Disease
CDA,Gene
ZNF516,Gene
CORO1A,Gene
Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031,Disease
Autosomal dominant centronuclear myopathy ORPHA:169189,Disease
PTPRU,Gene
TMEM129,Gene
RASGRP2,Gene
SGSM2,Gene
TRAM2,Gene
CDC25C,Gene
RASA4,Gene
TNKS1BP1,Gene
UNC119,Gene
FGD3,Gene
MAPKAPK2,Gene
Adult-onset autosomal dominant leukodystrophy ORPHA:99027,Disease
Infantile neuroaxonal dystrophy ORPHA:35069,Disease
TPPP,Gene
TRIM47,Gene
CAMK2N2,Gene
ZNF628,Gene
TRIP10,Gene
Spinocerebellar ataxia type 21 ORPHA:98773,Disease
Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088,Disease
Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583,Disease
MIDN,Gene
RHPN2,Gene
Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385,Disease
SNPH,Gene
X-linked intellectual disability Snyder type ORPHA:3063,Disease
RNF24,Gene
CCNB1,Gene
OIP5,Gene
BRSK2,Gene
ZNF598,Gene
CKB,Gene
ARID5A,Gene
PNMA1,Gene
CEBPB,Gene
1p36 deletion syndrome ORPHA:1606,Disease
YIF1B,Gene
AATK,Gene
NOXA1,Gene
PPFIA3,Gene
ACAP3,Gene
Autosomal recessive spondylocostal dysostosis ORPHA:2311,Disease
Cushing syndrome due to macronodular adrenal hyperplasia ORPHA:189427,Disease
ENTPD2,Gene
SERPINH1,Gene
CTIF,Gene
LMF2,Gene
CCND3,Gene
SLC19A2,Gene
NUAK1,Gene
Antley-Bixler syndrome ORPHA:83,Disease
Crisponi syndrome ORPHA:1545,Disease
SPSB3,Gene
ADAM8,Gene
NON RARE IN EUROPE: Metabolic syndrome ORPHA:411969,Disease
Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577,Disease
TUBB3,Gene
VASN,Gene
HERC1,Gene
CLSTN3,Gene
DRAP1,Gene
TNFSF9,Gene
AGPAT2,Gene
KIFC2,Gene
PRRT2,Gene
Constitutional megaloblastic anemia with severe neurologic disease ORPHA:319651,Disease
Autosomal recessive spastic paraplegia type 46 ORPHA:320391,Disease
SYNPO,Gene
RAB11FIP3,Gene
TCAP,Gene
ZNF653,Gene
Autosomal dominant Charcot-Marie-Tooth disease type 2F ORPHA:99940,Disease
C2CD2L,Gene
ATP6V0D1,Gene
Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924,Disease
FXR2,Gene
IQSEC1,Gene
SLC16A3,Gene
Paroxysmal exertion-induced dyskinesia ORPHA:98811,Disease
TCIRG1,Gene
CENPA,Gene
ISG15,Gene
DAZAP2,Gene
Autosomal dominant spastic paraplegia type 12 ORPHA:100993,Disease
PDLIM7,Gene
CDC42BPB,Gene
KLF4,Gene
X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612,Disease
TUBGCP6,Gene
CCNA2,Gene
Incontinentia pigmenti ORPHA:464,Disease
WDR6,Gene
Familial lipase maturation factor 1 deficiency ORPHA:535453,Disease
Barth syndrome ORPHA:111,Disease
Charcot-Marie-Tooth disease type 4B3 ORPHA:363981,Disease
Large congenital melanocytic nevus ORPHA:626,Disease
