Source,Target,Pvalue_Adjusted
AATK,Acute myelomonocytic leukemia,0.7880542567584415
AATK,Ovarian Mucinous Adenocarcinoma,0.7880542567584415
AATK,Metastatic melanoma,0.7940665326856218
AATK,Psoriasis,0.8019075543217649
AATK,Adenocarcinoma of lung (disorder),0.8098851543361193
AATK,Ovarian Adenocarcinoma,0.7765582368651238
AATK,Anxiety Disorder,0.8507213163251659
AATK,Lung Adenocarcinoma,0.9350723667380212
AATK,Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385,0.0155394890951578
AATK,1p36 deletion syndrome ORPHA:1606,0.0184072076199886
AATK,Usher syndrome type 1 ORPHA:231169,0.2661730864557679
AATK,Beckwith-Wiedemann syndrome due to CDKN1C mutation ORPHA:231120,0.5867963421058087
AATK,Infant acute respiratory distress syndrome ORPHA:70587,0.5867963421058087
AATK,Intrauterine growth restriction-short stature-early adult-onset diabetes syndrome ORPHA:436144,0.5867963421058087
AATK,Spinocerebellar ataxia type 13 ORPHA:98768,0.5867963421058087
AATK,Familial short QT syndrome ORPHA:51083,0.795266832401002
AATK,Adult hypophosphatasia ORPHA:247676,0.8922466888454011
AATK,Childhood-onset hypophosphatasia ORPHA:247667,0.8922466888454011
AATK,Infantile hypophosphatasia ORPHA:247651,0.8922466888454011
AATK,Odontohypophosphatasia ORPHA:247685,0.8922466888454011
AATK,Perinatal lethal hypophosphatasia ORPHA:247623,0.8922466888454011
AATK,Prenatal benign hypophosphatasia ORPHA:247638,0.8922466888454011
AATK,Human betaherpesvirus 5 tegument serine/threonine protein kinase (gene: UL97),0.8999095837312036
AATK,Human betaherpesvirus 6 U69 ganciclovir kinase phosphotransferase (gene: U69),0.8999095837312036
AATK,Human betaherpesvirus 6A tegument serine/threonine protein kinase (gene: U69),0.8999095837312036
AATK,Human betaherpesvirus 7 tegument serine/threonine protein kinase (gene: U69),0.8999095837312036
AATK,Yaba monkey tumor virus ankyrin repeat protein,0.8999095837312036
AATK,Yaba-like disease virus 11L protein (gene: 11L),0.8999095837312036
AATK,Monkeypox virus Zaire-96-I-16 B5R (gene: B5R),0.8999095837312036
