Id,Type
Enlargement of skull bones,Disease
Coloboma of eyelid,Disease
Sparse and thin eyebrow,Disease
Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome ORPHA:391408,Disease
Mammary Neoplasms Human,Disease
Griscelli syndrome type 1 ORPHA:79476,Disease
Autosomal recessive intermediate Charcot-Marie-Tooth disease type A ORPHA:217055,Disease
Human mastadenovirus D fiber (gene: L5),Pathogen
Frontorhiny ORPHA:391474,Disease
Congenital muscular dystrophy without intellectual disability ORPHA:370980,Disease
Osteogenesis imperfecta type 3 ORPHA:216812,Disease
Norovirus Hu/GII.4/NIHIC11.3/2013/USA capsid protein VP1 (gene: VP1),Pathogen
NEK9-related lethal skeletal dysplasia ORPHA:464366,Disease
Kallmann Syndrome,Disease
Hereditary Malignant Neoplasm,Disease
Primary pigmented nodular adrenocortical disease ORPHA:189439,Disease
DISP2,Gene
Thymus Hyperplasia,Disease
Craniodiaphyseal dysplasia ORPHA:1513,Disease
Multiple tumors,Disease
Mutilating hereditary sensory neuropathy with spastic paraplegia ORPHA:139578,Disease
Carnitine palmitoyl transferase II deficiency neonatal form ORPHA:228308,Disease
Autosomal recessive spastic paraplegia type 76 ORPHA:488594,Disease
Anorexia,Disease
Distal myopathy Tateyama type ORPHA:488650,Disease
Large pinnae,Disease
Intermediate generalized junctional epidermolysis bullosa ORPHA:79402,Disease
Osteomyelitis,Disease
Intellectual disability-severe speech delay-mild dysmorphism syndrome ORPHA:391372,Disease
BAG2,Gene
Partial atrioventricular septal defect ORPHA:1330,Disease
Oculocerebrofacial syndrome Kaufman type ORPHA:2707,Disease
Aspartate aminotransferase measurement,Disease
Decreased width of tooth,Disease
Language Disorders,Disease
Lymphoma Intermediate-Grade,Disease
Poor speech,Disease
Familial renal glucosuria ORPHA:69076,Disease
Periodontitis,Disease
High Palate,Disease
Wide nose,Disease
Thrombocythemia,Disease
Atypical Gaucher disease due to saposin C deficiency ORPHA:309252,Disease
Autoimmune Diseases,Disease
Cholesterol gallstones,Disease
SARS coronavirus 2-O-ribose methyltransferase (2-o-MT) (gene: orf1ab),Pathogen
Sanfilippo syndrome type A ORPHA:79269,Disease
Mild global developmental delay,Disease
X-linked Alport syndrome-diffuse leiomyomatosis ORPHA:1018,Disease
X-linked intellectual disability Sutherland-Haan type ORPHA:93950,Disease
Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924,Disease
Metastatic malignant neoplasm to brain,Disease
Severe neonatal hypotonia-seizures-encephalopathy syndrome due to 5q31.3 microdeletion ORPHA:314655,Disease
Multiple system atrophy parkinsonian type ORPHA:98933,Disease
Tumor Immunity,Disease
Abnormality of the skeletal system,Disease
Lethal left ventricular non-compaction-seizures-hypotonia-cataract-developmental delay syndrome ORPHA:478049,Disease
CD14,Gene
Congestive Heart Failure,Disease
Zollinger-Ellison Syndrome,Disease
Eczema Infantile,Disease
Combined oxidative phosphorylation defect type 13 ORPHA:319514,Disease
Rhinosinusitis,Disease
Atypical Mole Melanoma Syndrome,Disease
Salivary Gland Neoplasms,Disease
Sarcomatoid Renal Cell Carcinoma,Disease
Vaccinia virus Ankara serine/threonine-protein kinase-like,Pathogen
Klippel-Trenaunay-Weber Syndrome,Disease
Lung Neoplasms,Disease
Renal Artery Stenosis,Disease
Platelet Count measurement,Disease
Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Disease
Human adenovirus 28 single-stranded DNA binding protein (gene: E2A),Pathogen
Common acute lymphoblastic leukemia,Disease
Diabetes Mellitus,Disease
Combined oxidative phosphorylation defect type 30 ORPHA:478042,Disease
Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency ORPHA:319581,Disease
Familial multiple trichoepitheliomata,Disease
Fatty acid measurement,Disease
SNUPN,Gene
Cerebellar Vermis Agenesis,Disease
Familial isolated hyperparathyroidism ORPHA:99879,Disease
Restrictive dermopathy ORPHA:1662,Disease
Depressed nasal root/bridge,Disease
Vaccinia virus Ankara 54.4k ankyrin repeat protein f1,Pathogen
Fundus albipunctatus ORPHA:227796,Disease
Influenza A virus (A/California/07/2009(H1N1)) hemagglutinin (gene: HA),Pathogen
Human papillomavirus type 97 E7 protein,Pathogen
Decreased serum leptin,Disease
Microcephalic osteodysplastic dysplasia Saul-Wilson type ORPHA:85172,Disease
Stickler syndrome type 2 ORPHA:90654,Disease
Papillary Renal Carcinoma,Disease
Thrombocytopenia due to platelet alloimmunization,Disease
Developmental Regression,Disease
Multiple malignancy,Disease
Thin upper lip vermilion,Disease
Decreased tendon reflex,Disease
Acute myeloid leukemia with NPM1 somatic mutations ORPHA:402026,Disease
Congenitally uncorrected transposition of the great arteries ORPHA:860,Disease
Human calicivirus NLV/GII/Langen1061/2002/DE major structural protein,Pathogen
Sclerosing Cholangitis,Disease
Glaucoma Primary Open Angle,Disease
Pontocerebellar hypoplasia type 2 ORPHA:2524,Disease
Secondary malignant neoplasm of prostate,Disease
Cernunnos-XLF deficiency ORPHA:169079,Disease
Cholera,Disease
Nasal and nasal-type NK/T-cell lymphoma,Disease
White-Sutton syndrome ORPHA:468678,Disease
Papillon-Lefevre ORPHA:678,Disease
Atypical hypotonia-cystinuria syndrome ORPHA:238523,Disease
Infection by Wuchereria bancrofti,Disease
Skin Neoplasms,Disease
Von Willebrand disease type 1 ORPHA:166078,Disease
Milroy disease ORPHA:79452,Disease
Congenital vertebral-cardiac-renal anomalies syndrome ORPHA:521438,Disease
Isolated trigonocephaly ORPHA:3366,Disease
Dilated ventricles (finding),Disease
Microcephaly-capillary malformation syndrome ORPHA:294016,Disease
Long foot,Disease
Autosomal semi-dominant severe lipodystrophic laminopathy ORPHA:280365,Disease
Isolated sulfite oxidase deficiency ORPHA:99731,Disease
Intellectual disability-seizures-hypophosphatasia-ophthalmic-skeletal anomalies syndrome ORPHA:369837,Disease
Lethal intrauterine growth restriction-cortical malformation-congenital contractures syndrome ORPHA:2570,Disease
AMYOTROPHIC LATERAL SCLEROSIS 1 AUTOSOMAL RECESSIVE,Disease
Mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency ORPHA:319600,Disease
Specific language impairment,Disease
Spinocerebellar ataxia type 26 ORPHA:101112,Disease
Short neck,Disease
Intramucosal Adenocarcinoma,Disease
Eating Disorders,Disease
Luminal A Breast Carcinoma,Disease
Developmental Disabilities,Disease
Neutropenia,Disease
Decreased projection of mandible,Disease
Dengue virus 4 membrane glycoprotein precursor M (gene: flavivirus polyprotein),Pathogen
Endometrial stromal sarcoma ORPHA:213711,Disease
Oxidative Phosphorylation Deficiencies,Disease
Klinefelter's syndrome - male with more than two X chromosomes,Disease
Abnormality of the metaphysis,Disease
Autosomal recessive omodysplasia ORPHA:93329,Disease
Pontocerebellar hypoplasia type 3 ORPHA:97249,Disease
Vascular Diseases,Disease
Juvenile rheumatoid arthritis,Disease
West Nile virus SA381/00 non-structural protein 5,Pathogen
Immune Reconstitution Inflammatory Syndrome,Disease
SLC23A2,Gene
Pediatric failure to thrive,Disease
Glutaric acidemia type 3 ORPHA:35706,Disease
Optic atrophy-ataxia-peripheral neuropathy-global developmental delay syndrome ORPHA:543470,Disease
Electroencephalogram abnormal,Disease
Thrombocytosis,Disease
Overlap syndrome,Disease
Autosomal dominant deafness-onychodystrophy syndrome ORPHA:79499,Disease
Infantile nystagmus,Disease
Inflammatory abnormality of the eye,Disease
VAT1,Gene
Congenital factor XII deficiency ORPHA:330,Disease
Lymphoblastic Leukemia,Disease
Alagille syndrome due to a NOTCH2 point mutation ORPHA:261629,Disease
Dentatorubral pallidoluysian atrophy ORPHA:101,Disease
Thiamine Deficiency,Disease
Myelomonocytic leukemia,Disease
Macrocephaly-intellectual disability-left ventricular non compaction syndrome ORPHA:466791,Disease
Abnormal auditory evoked potential,Disease
LIG4 syndrome ORPHA:99812,Disease
Xq27.3q28 duplication syndrome ORPHA:261483,Disease
Mandibular hyperplasia,Disease
D-glyceric aciduria ORPHA:941,Disease
Myelomonocytic Leukemia,Disease
Pancreatic Cancer,Disease
Methylmalonic aciduria due to transcobalamin receptor defect ORPHA:280183,Disease
Human adenovirus 2 DBP,Pathogen
Blau syndrome ORPHA:90340,Disease
Benign Neoplasm Of Stomach,Disease
MODY ORPHA:552,Disease
SPOCK2,Gene
Silver-Russell syndrome due to a point mutation ORPHA:397590,Disease
Memory performance,Disease
Congenital sialidosis type 2 ORPHA:93400,Disease
Adenocarcinoma Tubular,Disease
Norovirus Hu/GII/20477/2010/VNM capsid protein VP1 (gene: VP1),Pathogen
Muckle-Wells syndrome ORPHA:575,Disease
Neonatal diabetes mellitus,Disease
Hereditary motor and sensory neuropathy types I-IV,Disease
Distal amyotrophy,Disease
Intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome ORPHA:457279,Disease
Gamma-glutamyl transpeptidase deficiency ORPHA:33573,Disease
Isolated congenital breast hypoplasia/aplasia ORPHA:180188,Disease
Genetic hyperferritinemia without iron overload ORPHA:254704,Disease
Neurological conditions associated with aminoacylase 1 deficiency ORPHA:137754,Disease
Cardiomyopathies,Disease
Atrial septal defect-atrioventricular conduction defects syndrome ORPHA:1479,Disease
Abnormal social interactions,Disease
Congenital Cerebral Hernia,Disease
Human papillomavirus type 32 early protein (gene: E7),Pathogen
Amyloidosis Familial,Disease
Hypersensitivity,Disease
Banna virus strain JKT-6423 vp12,Pathogen
