Gene,Disease,Log2FoldChange,FoldChange,Regulation
SNAI2,"Myopathic Ehlers-Danlos syndrome ORPHA:536516, Autosomal recessive generalized dystrophic epidermolysis bullosa, Familial primary localized cutaneous amyloidosis ORPHA:353220",-1.96078766346563,3.89274451850007,DownRegulated
THBS1,Familial primary localized cutaneous amyloidosis ORPHA:353220,-1.65834882045538,3.15655047428427,DownRegulated
CPA4,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Familial primary localized cutaneous amyloidosis ORPHA:353220",1.36724517153439,2.5797748708952,UpRegulated
LAMA3,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403",-1.33548508913701,2.52360320674219,DownRegulated
CCND1,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Kindler epidermolysis bullosa ORPHA:2908, Autosomal recessive generalized dystrophic epidermolysis bullosa",-1.31210218738609,2.48303085213007,DownRegulated
COL5A2,"Myopathic Ehlers-Danlos syndrome ORPHA:536516, Autosomal recessive generalized dystrophic epidermolysis bullosa",1.3039111319156,2.46897312366156,UpRegulated
AMOTL2,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945, Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658, Myopathic Ehlers-Danlos syndrome ORPHA:536516, Autosomal recessive generalized dystrophic epidermolysis bullosa, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403",-1.29121901595926,2.44734758662218,DownRegulated
KITLG,"Kindler epidermolysis bullosa ORPHA:2908, Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945, Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658, Myopathic Ehlers-Danlos syndrome ORPHA:536516",1.25134553226345,2.38063349728464,UpRegulated
PLSCR4,"Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658",-1.24894158036734,2.37666996870888,DownRegulated
S100A14,"Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403",1.23908478123259,2.36048739869772,UpRegulated
ITGA2,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Autosomal recessive generalized dystrophic epidermolysis bullosa, Familial primary localized cutaneous amyloidosis ORPHA:353220, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403",-1.22696185173048,2.34073538755029,DownRegulated
PRSS23,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Familial primary localized cutaneous amyloidosis ORPHA:353220",-1.19546340172509,2.29018382293456,DownRegulated
IL22RA1,"Severe generalized junctional epidermolysis bullosa ORPHA:79404, Kindler epidermolysis bullosa ORPHA:2908, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403",-1.18597656085554,2.27517349120862,DownRegulated
COL12A1,"Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504, Severe generalized junctional epidermolysis bullosa ORPHA:79404, Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945, Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658, Myopathic Ehlers-Danlos syndrome ORPHA:536516, Autosomal recessive generalized dystrophic epidermolysis bullosa, Familial primary localized cutaneous amyloidosis ORPHA:353220",-1.13550126766213,2.19694882982902,DownRegulated
EHF,"Severe generalized junctional epidermolysis bullosa ORPHA:79404, Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403",1.11629526482228,2.16789557408849,UpRegulated
PLK2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,1.10237874165923,2.14708415931243,UpRegulated
LIFR,"Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945, Charcot-Marie-Tooth disease type 1A ORPHA:101081, Charcot-Marie-Tooth disease type 1E ORPHA:90658, Myopathic Ehlers-Danlos syndrome ORPHA:536516",-1.0449542507579,2.06330092831586,DownRegulated
